哇~鸡哥声音好听啊~~
未完待续--
你说你惹他干嘛
不是，人家只是不想理你，你真惹啊
豪大大鸡兄
熟悉的BGM
弹无实发
鸡哥说话了
大型要饭现场前方大型要饭现场
卧槽，避弹术
鸡哥有点马东锡的感觉
《扇的物种都变了》
老米，我要玩这个角色
盗窃，入室抢劫，故意杀人，最后还畏罪潜逃
看来还有下文   嘿嘿嘿
怀疑是鸡哥未来女友
牛逼牛逼牛逼牛逼牛逼我了
我来承包空屏
感觉镜头晃得太凶了 星哥
←难蚌，这是绝区零，铁牛魔，想黑之前先自己弄清楚别丢人现眼了
100%
99%
鸡哥：让着你还以为我怕你？
还真是简啊
山
wok，吗喽！
羡慕狮哥
大灭
吓LZ一跳
动物界的马东锡
这是zzz的简，是麦片兄妹哒！
狮子怕鸡哥打死对面
不咧啊！
这不是地虎吗，不找你羊哥了
简？？
我嘞个鸡希人
收手吧阿祖，里面全是鸡哥！
那玩意不是叫法天相地吗？
绝区零我要这个！
等会儿
马东锡？！
鸡哥概念版：战力永远在对面的两倍以上，而且是群体有效
鸡哥：蹬鼻子上脸是吧！
大帝！
真没见过黑手嗷
第三下  再一再二，不再三
金面猴王
SS级代理人鸡哥！
新角色？
大圣，噢不，小圣，小圣饶命！小圣饶命
不愧是我家坤哥
我记得简她的鞋前面好像有刀来着
老婆
你把我惹毛了
鸡哥女朋友吗，
我敲，没想到啊
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈
鸡哥让路不是害怕，而是慈悲
《你说你们惹他干啥》
哈哈哈哈哈哈哈哈哈哈
丸辣！
狮子？我以为狗子
小鸡不好惹
FNAF的监控！！！
联动？好评
转瞬即逝
凭什么啊！我也想吃！
闪避键都快按烂了
本，这人你认识吗？
四刀流狮子
搜索：六丁六甲，从不吃素
厉不厉害你坤哥
银墓里面那个猴子
有续集，好耶
怎么回事，捂肚子了
触发斩杀
香
事不过三
大圣，不，小圣饶命
黑神话：加特林佛——悟空
有点凉了
莫拉塔！
虎哥 小亮给他整个活
黑笑话：马喽（doge）
狮子：我和鸡哥合砍三十个人
丑怎么了？？
物理击破位
马东鸡
已经知道甲方是谁了
没人鸡哥使出全力真是抱歉了
鸡哥今天拿马东锡的剧本
哦豁，丸辣
卧槽 偷星九月天？！
老大是白虎，传下去
德國的科技世界第一！！！！！！
雞哥CP要來了嗎？！
好机会
六丁六甲！顿顿吃肉！
我就说吧世界就是个巨大的绝区零
《虎 先 锋》
致敬传奇铁驭安德森上校
除了那只狮子，就数你最会逗我开心
没错了，她是鸡哥女朋友
难道鸡哥的女朋友要来了、
鸡可忍狗不能忍啊！
帅
欧欧欧
战斗鸡：跟你闹着玩呢？
阿斯玛回来了，孩子们
是甲方吧
好痛啊
好耶！热乎的！
ssvgg！
像《功夫》，虽然不知道哪段。（doge
不认识啊，见面就扒我衣服
本
简有玫红色指甲油
这不会是鸡哥女朋友吧
你说你惹他干嘛
1剑3连啊
王老吉队集合
羡慕
懂了，简不如鸡哥，不抽了
鸡哥的胸！！QQ弹弹的，让我埋埋！！
你为什么要奖励他！
鸡哥是双开门啊！！好宽阔的胸啊
蓄力完成
是你嘛地虎！
是山诶
天命人开广智现状
鸡霸
难道鸡哥的官配出现了？？？
山！
这不是土佐犬么？？
红毛猴子臂力惊人。。。。双持加特林
画的太丝滑太帅了
加里奥
无敌帧
真·九月
山：横扫架势！
不是库丘林嘛
halo！！！！
偏铝酸钠！
出现了坤希人。
为什么奖励他？
為什麼要獎勵他 踢踢我的
在现场，我是简的内内
享口福了狮子上辈子积多少德啊吃这么好
欧拉！
前面那个，那不是猫
详略得当
这使鸡哥cp，吗·1
大声发
印第安纳琼斯这么干的时候可是触动机关了
为什么奖励他！！！
啊？
碎丸腿
零人区
大哥榜第三位
力速双A
专属BGM
明日方舟-山
为什么要奖励狮兄
从他站的姿势就可以看出来，他强的要命
懂不懂概念神的含金量啊
火  线  艾  丽  都
鸡哥  简姐牛笔
新角色？？！？？！
这个BGM。。
米哈游，ZZZ我要玩到鸡哥
鸡哥好帅
双厨狂喜
谁开的枪
好多希人
马东锡附体
狮兄四棍流啊
哟~~~~~~~~~~~~~~
神马东鸡！
"""北"""
这老大头上怎么红的，是红温了吗
我去，还是个连续剧
我还以为是猴子偷桃呢
草，阿祖啊
代号黄昏(bs)
马东锡？
丸辣！
啊鸡哥声音变了这是（
鸡哥可是战力天花板
卧槽
鸡哥：我是不是给你们脸了
广告
狮夷帅
还有故事
不叫女侠，该打
虎先锋客串
寡姐，同场面
细节：鸡哥注意到她了
山哥不守懒门了
好特写
厉不厉害你坤哥。
收手吧阿祖，鸡哥是概念神
啊？
公鸡中的战斗鸡
绝区零
鸡希人
这声音好像豹姐
他们都不看身形的吗
懂不懂剑魔开大招的含金量啊？
这可是这个号里最强战斗力，你惹谁不好惹我鸡哥
好多希人
鸡哥在，安心啦
海嗣给我尝尝
我也想吃
丝袜女侠
给我鸡哥战斗曲都干出来了
又有新成员了
你说你惹他干嘛
怎么最近全是这种广告…
本？
山？
打工的你出来玩什么命啊
丸辣
马东鸡
恶霸？
暴雪？冻雪！
双开门大冰箱
这不马东锡么。
打工的你拼什么命呐
马东锡揍拦路胖子的既视感。
我去！
鸡哥！！！！！！
丸辣
难道鸡哥的春天也来了？
鸡哥bgm地铁回归！
马东鸡
我寻思他们不要了呢
快递侠即视感
你说你惹他干嘛
出列！
woc出主线了
这是还有续集的意思吧，快端上来吧！
77抽出了，
子弹我都抓得住
这个是绝区零里的邦布吗？
哈哈哈哈
这个射钩爪音效是ac嘛  听着好像XD
没事，你惹它干嘛..
我也想被绑！
鸡霸
鸡哥生蚝那一集就说话了
六丁六甲，从不吃素
你确定 要惹鸡哥？？？
阿西吧！
我瞎了
说了多少遍，脖子比头粗的人不能惹
狮子还是一样菜，哈哈哈哈哈
大鸡哥
僵尸的感觉
小学
为什么奖励他！
迈阿密热线，启动！
莫拉塔
boss开启二阶段
《碰到开关了》
黑菜鸟：马枪
热乎乎的
所以 绝区零   是要联动鸡哥了吗
求BGM
丸辣！
啊？
咱不惹事也不怕事
什么时候进卡池？
哈哈哈哈
鸡哥居然说话了？
我就说怎么看这个袖子这么眼熟呢
白虎先锋
鸡哥～！！！
我也要吃
一看丝袜就知道是谁
武器大师
大圣，阿不，小圣饶命
seng seng!
FW狮哥
卡點卡爽了
画风意外的匹配呀
提鸡不加吧，文明你我他
你为什么要奖励他呀！！！
在现场，我是手枪
怪盗联盟？
碇司令
男妈妈！
遇到鸡哥你们倒霉了
马东鸡【doge】
鸡东锡
午夜熊？
丧彪
我是伪装大师
月下女郎是在致敬偷星九月天吗？
你说你惹他干嘛
为什么要奖励他
前排提示，是广子，女的是一个游戏角色，别刷cp了，我可不想看到星有野的视频变成战场
我出了
区区数百魏军，看我一击灭之！
卧槽 老歌bgm回归 入坑曲
间谍过家家？
细节：狮兄在发抖
你说你们招惹谁不好招惹他干嘛
鸡哥，救我！
我寻思修好卖我同学呢
没穿靴子是吧 狮哥真就尝上了
黑吗喽
这不偷星九月天吗？？九月？小雪？！
最羡慕狮兄的一集
也该轮到鸡哥了
s级物理强攻角色鸡哥
前方高闪警告
有点文化，是法天象地，文盲
鸡哥的CP？
正义执行
鸡哥说话了
这是联动角色，什么叫安排的cp啊
大制作
莫拉塔！
你说你惹谁不好
看了這麼久有人正面戰贏過雞哥嗎
双厨狂喜！！！
md三星五费加里奥，其实你们这些小兵能打的
鸡哥本来就会说话呀，之前有人贩子的时候不就说了大爷吗
这里复刻了马东锡犯罪都市3的年轻人
连载？
为什奖励狮哥？！
原来你也？！
.
雪豹闭嘴
毫无悬念
狮哥：我流汗只是怕他开友伤而已
星有野现在有工作室 配音怎么可能全是一个人完成
《找死》
暗裔鸡哥：大灭冷却完毕。我没想到我的同族竟然如此弱小
武器大狮
这是老鼠
大灭！！！！！
六丁六甲！从不吃素！
为什么要奖励他！！！！！
不二子啊这是
？啊？
你抓谁？
鸡叔，出个角色感觉不错啊
闪避指导：陇奈
梦幻联动
鸡哥对象要来了？？？
我来烩烩你
这镜头帅啊
鸡东熙
我们也有自己的b兜侠
蓝拳 俯冲摆动
昴日星官有点本事
是法天相地！
为什么奖励他？
挂腊肠
切我鸡哥镜头是吧
丸辣！
阿祖！
哈哈哈哈
卧艹！这不是马东锡的那个场面吗？
拽什么，有种出来单挑啊
安                德森
阿祖 收手吧！外面全是鸡哥
所以说尽量走前面，先过去就没事了。。
为什么奖励他
赚翻啦
真的描边
狗子，你路走窄了啊
鸡哥是不是鸡希（西）人？
青钢影？
鸡哥终于说话了QAQ~
哈哈哈哈哈
狮子:哥咱不是不动手吗？
丸辣！！！鸡哥怒啦
阿祖收手吧
3小时前，热一热能吃。！。！（指的视频）
呀吼！
投降吧阿祖
邦布？
月薪几百 你玩什么命啊你
触发闪避反击了
真可恶还没抽到
牟日星君
从他的站姿就看出来这人强的要命
马东鸡
全盛姿态
↓是鼠！
好歹留条裤衩子呀
鸡哥之前教豹姐打拳的时候就说过话了
巴掌降临
为毛喽喽就他有台词
事不过三，，，
疯狂的石头是吧
虎先锋
这不马东锡揍保安吗
雉希人
阿祖
打完来个，捏捏
这是什么梦幻联动
星穹铁道商单买了这么多？
老马啊啊啊啊啊啊啊啊！！！
老马香蕉拳！！！
山-星有野版
能闪加特林的速度已经超越肉体极限了
厉不厉害你坤哥
这是你自找的
山？还是山狮？
特有的三段闪避，小子
今天结婚。来要个祝福
看到你不说？！
开场邦布
感谢你送的极限闪避
毛加（）
热乎的
四刀流
说虎先锋的是还没打到寅虎吧
六丁六甲，从不吃素
变种人是吧
大圣啊!!!
我鸡哥需不需要女朋友啊？
这么慢早触发警报了w
楼上：太久没打扫了，地板都长吗喽了
莫名其妙的合作
艹，有搭档
你说你惹他干嘛
《人善被人欺，鸡善被撞咪咪》
传下去，狮哥中之人罕见露脸
这剧情？啊？
神马东锡?
《你可以撞击，但不能持续撞鸡》
这是官方cp吧
s级代理人鸡哥是吧
鸡哥对象？
你这嗨涩会咋都滑着走啊？
狮哥满头大汗，鸡哥一脸淡然
鸡哥又不是没说过话，大惊小怪
三小时，热热还行
这用的什么牌子牙膏啊推荐下
你说你惹他干嘛
神马东鸡!
鸡哥会说话！！！
疯狂的兔子
狼哥也可以吗？下次试试
大马猴
山褚同款推人
这是要给鸡哥陪cp啊
成龙片段？狗哥拿这几个棒球棍
我丢！！！鸡哥！！帅帅帅帅帅帅帅帅帅！！！！
帅
热知识：简是鼠希人
不会是鸡哥官配吧
猴子，你关友伤了没
米哈游，代理人我要鸡希人
狮子：你们猜我为什么抖得像筛糠？
这个出场镜头？山褚？？？
鸡哥用的凯西格斗术
我来助你！
承包空瓶
马东鸡
这就是马东锡那个电影里面 ktv那段 犯罪都市
伏 鸡 甚 尔
好好看的猫！以后是狮子的女朋友吗？
吗喽：该踏马醒来了天命人
简！
鸡东锡
虎先锋
鸡哥威武
豪意叠满了
阿祖
马东锡：这才对啊！
你说你惹他干什么
鸡哥救我！
细节月亮
热血鸡哥
弹幕呢
白寅虎
寅虎，我知道是你
神马东鸡
你也有uncle ben？
你说你惹他干嘛
你好
偷星九月天
狮子：鸡哥和我嘎嘎乱杀，鸡哥乱杀我嘎嘎。
六丁六甲，从不吃素
桐生一鸡
飞起来！
绝区零我需要鸡希人
幽默组cp
要出大电影了吗
鸡哥，不需要对象
对劲了
狮兄大削
鸡哥上次送狗哥平板就说过话
怎么奖励狮子啊？
阿祖收手吧
窜天猴
安德森上校
绝区零联动我靠
阿祖！
其实是老鼠
碇源堂
雷暴哥
肉身成圣！
脚底传送带（dog
啊！出来了！
呼咧！
安德森!你怎么又卡墙了
米哈游！看见没？我要这个虎希人！
这是那个被噶了蛋的老虎吗
鸡希人
你说你惹他干嘛？
夺命剪刀腿！
感觉是广子
我记得，简脚尖有刀来着
双开门冰箱鸡哥
。。。赔钱虎
告上天庭 告上天庭
这不是艾达吗？
鸡哥牛逼！！！
绝区零！！！
那个简得弹幕，真的是，你挡住了！！！
鸡哥过生日也说过话呀
不懂就问，这是山哥吗？
简是血界战线里的人狼？
鸡哥：还以为能多挨几拳
大作阿阿
地虎！
带虎字的没有弱的
简？
還是你雞哥威武
獅哥 : 不吃別扒拉
我是简的gou
我来烩烩你
战力天花板鸡哥！
金并！
雪豹团长！
早啊
热乎的
金  并 ？
陆地战列舰不是吹的
鸡哥100％
经典音乐限时返场！正义执行！
马东锡
什么偷星九月天？
好机会，我冲
阿祖怎么没了？！？！
我去鸡哥说话了
七步之内拳块！
山
你说你惹他干嘛
万一这丝袜是师兄自己穿的呢
寅虎？
我嘞个绝区零的简，啊！！！
六丁六甲，从不吃素
狮兄:你猜我在抖什么
六丁六甲，从不吃素
鸡哥的cp吗
支仓破了！！！
是绝区零的邦布耶！！！
我不拦你笑死我了
简·杜
马东锡既视感
特鲁
鸡哥yyds
简·杜
哈哈哈
武器大师
豹姐吗？
省油游戏联动
收手吧，阿祖，这是鸡哥
脸上没疤，不是山，谢谢
wc，简的鞋尖可是有刀子的
鸡哥CP也来了?
不是?鸡哥说话了?鸡哥说话了?说个锤子啊，我滴鸡哥毁了
怎么奖励狮哥
众所周知，闪避有很长的无敌帧
不是第一次说，救猫弟那集就有说
鸡哥胸让我摸摸！！！！
基因隔离啊，鸡哥
简
金并
ZZZ
只剩鸡哥没对象了，难道这位是……
是不是丢语音了啊（
ZZZ
粥?，山
鸡哥！
嵌入拳
有点像偷星九月天
想吃
白虎（是这样的
简.杜
哇，好帅。
狮哥：昂？
哎！延边！
鸡哥:给脸不要脸
过道的各位都是迈克尔杰克逊吗？我看各位走路都不抬脚
帅不过三秒，兄弟们doge
三千块钱你玩什么命啊
配音不都是星有野么=_=
戴面具的是彦祖
羡慕狮子
阿祖收手吧
大马猴哈哈哈哈
这些八毛钱一斤
长颈鹿踹狒狒
企鹅別鹤
安德森上校
袋鼠扣牙
“
好帅！
感觉比游戏好看（）
中岛敦
我去，寅虎！
看看扒衣服视角
你以为你是阿祖啊？
收手吧阿祖
鸡哥也要处CP啦？
啊啊啊啊好帅鸡哥
55分钟前！！！最早的一次！！！！！！
鸡哥激发我练肌肉的心
六丁六甲，冲不吃素
地虎？？？？
偏偏惹他，我替你们感到悲哀
Freddy:该交电费了（不是
zzz的商单？
六丁六甲 从不吃素
山?
广智救我！
六丁六甲，从不吃素
武器大师
狮子：鸡哥这棍铁的呢
什么赛博朋克
47分钟，天照热热还能吃
《重装武者弁庆》
怒意值已蓄满！！！
49分钟前好早
山狮牢大
为什么要奖励他
致敬安德森上校
马东鸡
黑社会 悟空 VS 绝区圆
阿祝，收手吧，外面全是鸡哥
剑魔开大了
鸡哥怒意值90%
马东鸡
马东鸡！
鸡哥怒意值60%
狱卒
鸡哥怒意值30%
忍无可忍，无须再忍
鸡哥BGM上线
《人的反应速度是子弹的7倍》
不是哥们别搞错了，那是法天象地
不是哥们，这熊是怎么藏住的
简姐
失败的man
天鸡将军，启动
拓子哥的感觉
狮兄皮套
100%！
丝袜还有破洞
简!!!!!!!!!!!
邦布
《衣服》
5000+
鸡哥！
中弹了最后？
狮子：我们仨真强
酱紫偷懒？
收手吧阿祖，外面全是鸡哥
上面屏幕还玩午夜熊后宫是吧
婴儿般的睡眠
沙发战神圣子
卧槽，魔人啾啾
描边大师
zzz
不是棒球棍去哪里？
动作指导马东锡
别喊狙击手了，炊事班都看见了
S级强攻代理人——鸡哥   天鸡不可或缺
鸡哥：给你们脸了是吧
玩具熊的午夜后宫即视感
碇源堂（确信）
简杜不愧是卧底中的卧底！
六丁六甲！
是谁在客串简？
羡慕狮哥
《我  来  助  你》
太早了都没破万
是简啊
简小姐啊啊啊啊
中国马东锡
什么时候可以抽鸡哥？
鸡哥是马东锡的人设吧
狮哥怎么削的这么惨了
星野换头像了？
卧槽，鸡哥说话了!
半小时！！
《谁要揍我？出列！》
开大灭了
阿祖，收手吧
极限闪避
鸡哥的春天？
狮子：换人换人啊
《谁要揍我》
鸡哥！
热乎的
狮哥:这是俺拾嘞
闪避反击反爽了（乐
收手吧阿祖！这是鸡哥啊！
叶师傅切他中路
第三次，事不过三，开打
怎么还有阿祖的事儿啊
安德森上尉
第二次
坏蛋联盟即使感
第一次
简•杜
马东鸡
为什么奖励狮弟
感谢甲方催更
乱磕啥cp，这不绝区零的简吗
大比兜子飞起来！
众所周知：加特林从来都是打不中人的
这么能打，那必须鸡哥CP
吗喽日常挨揍
鸡希人
邦布！
鸡哥：你这小狗，真令我欢喜
《你惹他干嘛》
懂不懂肌哥的含金量啊
山哥
极致的灵敏和极致的数值
鸡哥声优也是狮子吧？
绝区零新角色
羡慕
食物特写
简姐姐  简姐姐
鸡犬不宁
鸡哥：道歉不会说？
鸡哥好感度满了
阿祖你住手啊
描边大师
鸡哥又开大灭了
强攻物理主c
马东锡那一段吗
热乎的
热乎的
这绝对是犯罪都市3里马东锡一巴掌干翻壮汉的那个场面吧
蛙趣，这不会是绝区零新角色吧？
卧槽，鸡哥说话了！
鸡希人
细节狮子抖抖抖
鸡东锡
扒扒我的
狮哥，也是值了
马东锡即视感
zzz 简•杜
《鸡哥，救我鸡哥》
狮子是个置物架
跟对人，走对路
星有野你一定要误入歧途啊
鸡西人啊？我佳木斯的
为什么狗的块头比熊大
转  瞬  即  逝
不愧是我鸡哥
最早的一集！
黑笑话：马喽
故意的，鸡哥要有对象了？
食物特写
为什么要奖励他
狮子：我们一起大杀四方！
剑魔对线狗熊
马东鸡
肚子疼？这是假的狮哥吧？
好耶，是联动！
你还真别说，绝区零的世界观里说不定还真会有和鸡哥差不多的鸡希人
阿祖，收手吧，外面全是成龙
比博燃~
fnaf?
狮哥你怎么立了？？？？？？
看他站姿就感觉好强！
啥虎先锋，这是寅虎
邪眸白虎（doge）
yysyzzz的世界观有个鸡哥并不突兀
我嘞个双开门大鸡哥啊
鸡哥也要组cp啦？！
你说你惹他干嘛！
马东鸡
狮兄得了便宜还卖乖（doge）
嗨丝塞嘴，这么奖励狮子？
鸡哥应该加点火属性暴击
？过程呢！
绝区零里面要是有鸡哥高级得整个S级代理人（）
你说你们惹他干什么
你也想当天命人？
我直接结芬！
黑熊精
投降吧，阿祖！
还有续集？
@狮姐
狮子：看我和鸡哥我们两个多厉害（doge~
狮兄：基操，勿6（doge）
美女你谁
丑人多作怪！！告五人！！
狮哥：你猜我流汗是在怕谁
虎先锋个damn，这不寅虎吗
阿祖面具！
成龙打特鲁
《烩烩你》
《转瞬即逝》
他简直是超人
莫拉塔S
哈哈哈哈，神他喵虎先锋
6
像剑心那个片段
动作指导：永带妹
新鲜
啊？鸡哥说话了？
桐生一马既视感
17分钟前
好飒
卧槽！耗子！
黑熊精（doge）
还不是你们的人不讲道理，瞎装逼
进入主线了
无人区
这么靠前，第一次啊。
我最讨厌别人用枪指着我的头
黑科技：马骝（doge）
《TMD》
逼兜超人
100%
寅虎兄弟，六丁六甲
90%
虎先锋
哇~鸡哥好帅阿 鸡哥
致敬巨石强森
寅虎？
早~
狮子：我不干净了呜呜呜呜
社会你虎哥
羡慕狮哥
法相天地
好看！爱看！
开大了
大鸡霸
有续集？！
《谁要揍我！哎！》
狮哥嘴里这东西？？？
你说你惹他干嘛
虎先锋（白毛限定）
羡慕狮哥
这是绝区零里的新角色，一个老鼠人
鸡哥：我要打十个！
定！3段蓄力戳棍！！！
有白虎！
山？
阿祖倒下了
狮子同款配音
这个系列终于更了！！！
你说你惹他干嘛？
这是谁的cp
阿祖，收手吧！那可是鸡哥！
来晚了一会
不用狙击手了，都看到了
猴子天花板
丸辣
毛加
白虎诶
想起成龙历险记小蛇了
哈哈哈哈哈哈哈哈哈哈哈
我鸡哥不惹事，也不怕事
这女的鸡哥cp吗
鲨完了
最早的一次
阿祖
近战角色移动可以挡子弹
100%
狮哥都在发抖⌓‿⌓
鸡哥牛逼
70%
致命伤（bushi）
40%
双厨狂喜
无人区
鸡哥强的可怕
好耶，是连续剧
10%
哇哦～
马东鸡了？
我还以为快慢刀嘞
为什么奖励他
成龙历险记？
狮哥：我寻思这玩意能卖两块钱呢
八尾人柱力
雷恩加尔
虎哥？
简的鞋底下是有铁片的
我找到安德森上校了！
这是山吗？
《大丈夫能屈能伸》
鲁邦剧场版？
丸辣
ssvgg
桐生一鸡
最早的一次
鸡哥：来吧，展示（doge）
六丁六甲从不吃素
这段是不是马东锡电影里的
鸡希人是吧
强击！！！！！！
第一眼以为是狼叔但又像山
等会？狮哥嘴里的是？
卧槽？
为什么奖励狮哥
天命人。。。寄
7分钟，最早一次了
被奖励了
马东鸡
最早的一次
热乎的快
鸡东锡
双持金克丝
？为什么要奖励他？？？我也想吃！
老子在叠狂暴，你以为我在发呆？
舒服了
早
《大恩大德》
绝对有续集
前方音量小，请调高音量（doge）
致敬传奇无头铁驭安德森上校
为什么要奖励他！
虎先锋（
立正了
猫科动物？
哈哈哈
虎先锋（白化病版）
刚出的简就看见发视频了（）
阿祖收手吧！！！
简！！！
懂不懂加里奥开大的含金量？
喧响值满了
还得是我坤哥
原始博士
哈哈哈哈
相位不规范，死法安德森
我超，FNAF的监控
怎么又联动了？
想谈
这是和空子联动了吗？哈哈哈哈
我要打十个！！！！！
羡慕狮兄有好吃的
连载！！！一人血书
嘴里的袜子给我吃啊wow
这里复刻马东锡的电影啊
虎哥，外面都是黑马喽
新角色吗?!
地铁bgm！爷青回！
大狮子能屈能伸
蓄力中...20%
狮子小伙儿立正了
暴只因伤害
安德森
寅虎是吧
啊，这么菜？
偷星九月天！
这里来个虎先锋不是两个游戏都推广了
旭旭宝宝
感谢甲方爸爸催更
送一条袜子给你
为什么奖励他
看见狮子的两颗葡萄了
羡慕狮子
羡慕狮哥，我也想吃
阿祖 投降吧 外面都是鸡哥
二人血书求联动鸡哥
黑神话吗喽
你说你惹她干嘛
歇后语：鬼泣开二觉——鸡哥（破音）！！！
地虎：我看到了天行健的回响（Doge）
终极技能准备就绪（100%）
黑社会：吗喽
山？
为什么要奖励师兄啊啊啊啊啊啊（震怒
嘴里塞得啥？羡慕啊
虎先锋，是你吗？
为什么奖励他
打了他就不能打我了哟
火钳刘明
为什么奖励狮哥
鸡哥说话了！
羡慕狮哥
为什么要奖励狮哥
三分钟 凉了
好帅
双厨狂喜
所以鸡哥单身吗
精神小伙立正了哈哈哈
神马鸡哥
羡慕猴系人
苏醒了，猎杀时刻
鸡哥帅死了
seng seng？
我靠，被奖励了
鸡哥上来的感觉就是不一样
我丢！！！
狗子:丸辣！
为什么要奖励他！！
第一第一
剑魔新皮：鸡哥
转瞬即逝
烫的
姐姐好帅
简老婆！
你说你惹他干嘛？
一拳撂倒
阿祖收手吧！这里都是姬霓太美！
鸡哥Hi~ o(*￣▽￣*)ブ
为什么要奖励师哥？
彦祖收手吧 外面全是鸡哥
大丈夫能屈能伸
鸡哥威武
我预定一个代理人鸡哥
丸辣
3分钟
鸡哥太帅了
战力巅峰！
鸡哥的设定就是战力天花板吧
敢这么对我鸡哥？！！！！！
卧槽！热乎的！
鸡哥:我看你这头里的东西该洗一洗了。
哈哈哈哈哈
早！
↓阿祖，你又在玩组枪啊，休息一下吧（昏睡拳）
wow～
来辣！
鸡哥发力！
你说你惹他干嘛
一人血书，求联动鸡哥
把鸡哥惹急了，没有一个能活着走出去的
烫嘴烫嘴
两分钟！！
把鸡胸肉撞坏了
鸡哥nb
zzz
