天命人[漂泊浪客]
龙头肩的抬胳膊不戳眼睛？
这个打寅虎给的
袁天罡？
这套就是至尊宝悟空穿的
帅
星云卧槽
我草这套也太帅了我想要这套
BGM卡点了
果山之家，吗喽的衣柜
回血衣，穿脱扔一边
起立
盾狗大人
模型公司：来活了
我凑，这我得站起来看！
全体起立
卧槽ntr
全都帅
这身好看
为啥没有三味真火套
我第一套金甲
北海龙王的藕丝步云履，西海龙王的锁子黄金甲，南海龙王的凤翅紫金冠，东海龙王的定海神珍铁
八戒套
孙walker，这是走秀？
这套如果放在腾讯直接抽到吐血
还有一套大圣套装。在花果山一个宝箱里一整套
我现在穿的这套
鞋呢
猴哥果然是光脚的不怕穿鞋的
冷面小青猴
为什么都没鞋？
帅
轮椅套装
up的衣服都是默认阶，升阶之后款式变化很大
帅的离谱
等的就是这套
原装正常
大圣
亚托克斯
黑猴暖暖
这下看懂了
恭迎大圣！！！！！
大♂为
海澜之家，猴哥的衣柜
差一个真 齐天大圣套
唯一真神
毒伤套唯一真神
空空T台
毒伤流
黄风大王的也算是低调奢华了
毛好看
帅帅帅帅帅帅帅帅！
正在用
百戏帅
齐天大圣！
大不净者（
真神
用的这套
这才是真神
一股不良帅的味道
猴哥经典文武袖
面罩很帅
龙鳞用到第五章
牛大力
还是这个金典
全体起立
这下看懂了
最喜欢的一套
白展堂套
噔 噔蹬蹬 蹬蹬蹬蹬
要来哩！
牛魔套装
拉亚斯特
棍子不变的？
这套披风很帅
大圣套 无敌
满级行者套外观会变
牛魔王叫大力王
猴哥穿鞋不好立棍
是我们的齐天大圣孙悟空！！！！！
毒敌大王那一套呢？
绝杀，不用转身大圣您已经拿下我了
真神！！！
好帅啊这套！！！！
世界是个巨大的暖暖
奇迹猴猴
原皮
好的，我们会一套不落的偷思密达
帅!
这个4豆能出一个分身 如果打的多个怪出多个分身 用了好久
流云护手
我嘞个闪耀空空
最熟悉的一集
大帅
齐天大圣
大力！我要大力！大力出奇迹！
肯定是火焰山夜叉最帅啊，最有成就感的应该是大圣套装
青铜霸气啊！
鼠鼠吗喽
我的！
我居然猜对了他叫龙鳞！！
帅！
这个帅
这是我
无敌！
牛头套！
闪耀空空
不良帅
鞋子呢？
行者孙！
真神登场！
没有86版经典小黄人吗
颈椎不太好的感觉
神！
玩过游戏吗？那个游戏不穿模的？
大圣套。
藏锋，高手就用藏锋
变高了？
还得是黑熊套
牛头猴
好兄弟套装
给我猴哥整个藕丝步云履好吗
还有一套
身披黄金锁子甲脚踏藕丝腹云履头顶紫金凤翅冠手拿定海神针铁
就这个，牛魔王套
好用，爱用
这下看懂了
这个好像个侠客！
行者要升到满级才好看
哇呜
这个初始没有20年演示里的好看
这都穿着还会减移速
神仙的飘带
非常唐朝
这个好看
奇迹空空
T台秀
就差另一套大圣。
不良人 套装
大帅
开门，我是齐天大圣！
有一说一，这套有点像李星云的内套
蕴蓝色这套真的帅
金刚不坏你问他脚硌不硌？
这套放腾讯没3000下不来
唯一真神！
大圣
马雷基斯
全体起立
还在用这套
帅
差个鞋子
唯一真神
大帅。。。
就不能给俺猴哥穿双鞋吗
不良人套
猪哥那套会穿鞋
这一套闪身减法术cd，非常好用
[前方高能]
猴的脚掌和手掌一样可以抓握，穿鞋子不方便
真正的齐天大圣
唯一真神
唯一真神
看不大懂
帅
赤脚的不怕穿鞋的，不服就战的悟空
今天是穿搭猴
最帅
衣服这么多套，就是不穿鞋是吧
这个最帅
真神
齐天大圣！
典藏版
大圣
大圣唯一的靴子在花果山
最帅没有之一
我还是喜欢行者
还有一件的
扣一送地狱火（）
我是布洛特亨德尔，你也可以叫我寻血猎犬
唯一真神！
腾讯：两万块钱红装，高级外观齐天大圣
这套我穿了最久
这套穿到我死都不脱了
穿模不是很正常？幽默弹幕说这话怕不是没玩过几个游戏
还有一套真齐天套
杀气
熏雾空
就是不穿鞋
齐天大圣！
恭迎真神降临
齐天大圣
就等这套呢
帅帅帅
腾讯来搞，买不到，要抽，抽到你卖血
帅
大圣套
一直没穿鞋
没有鞋子吗
我在等那一套
沙鸥翔集，锦鳞游泳
什么影之刃零联动
唯一真神
兄弟牛魔王装备被你搞来了
神
大帅 是你吗大帅
最帅的
空佬
这套真帅啊
这个
唯一真神。
怎么没有毒敌大王的那一套呢
这个这个
这个莫名想到弼马温哈哈哈哈
唯一真神
唯一真神
还得是大圣啊
齐天大圣
白衣秀猴
全体起立！！！
就叫你孙悟松罢
初见雏形
真魔人（
造梦西游？
猴子穿啥衣服，毛就行
我在等一个最帅的
好帅
好看
大力哈哈哈
这个没鞋
真齐天大圣
恭迎大圣
奇迹空空
2077
越看越是斗战神了
轮椅套
有经典皮肤就好了
这下看懂了
全体起立
好!好!好!
这游戏只有一套有鞋子，那就得最后那一套凡品齐天大圣套
这套这套！！！
唯一真神
你还用说嘛？
好多穿模，
目前在用的一套
你说黑神话悟空得出多少周边？？
这位更是宠爱戒指
漂泊吗喽
真神登场！
笑面小黑猴
这套是帅但是看下身又不太协调
唯一真神！！！
我感觉要来力！
选不过来了 都爆帅
这套最帅
下海套
数值套
天呐，这简直就是我
奇迹猴猴
差了鞋子
帅帅帅帅帅帅帅帅帅帅
帅
帅
大圣
这套光着脚
唯一真神
吗喽走秀
视频同款点击购买
天命所归
天海大师？
鞋子呢
奇迹吗喽
恭迎大圣
天命人没鞋穿
行者升到最高 很帅 还有拖尾 跑起来还加攻击 核爆必备
都差不多
大圣归来！！！
大圣就是大圣，哪一款都很帅
唯一真神
帅
大圣！！！
斗战神
卧槽
太帅了
帅啊
战神套
没藕丝步云履。
牛魔王？？
玄铁的文武袖特别帅！
玄铁的文武袖特别帅！
最后帅翻了
帅！
穿鞋影响立棍抓力
全体起立！！！
者行孙
齐天大圣
绍康
就在前方不远处
快来了么
毕竟猴子的脚跟人脚不一样，穿鞋子肯定会难受
帅帅帅
升阶升满会改变外型
恶魔马喽
最帅的一套
起立
恭迎齐天大圣
真神登场
唯一真神！！！
这个帅，这个帅
我正在等待某位故人的登场
真神
齐天大圣
奇迹黑猴
芜湖～
鸡皮疙瘩！鸡皮疙瘩啊！
吕布套装
齐天大圣!!!
唯一真神，可惜不是真套装
帅
大圣
真神啊
帅！
孙行者，者行孙
大力哥：天马流星拳！钻石星辰拳！
黑猴的衣柜
齐天大圣
我现在穿的这套
有面具的都喜欢
亢金龙限时返场
这套这好看，特别是面具，真喜欢
来了
为什么要搞个牛头
这是什么怪兽造型啊？
唯一神
豪华
恭迎大圣
帅
假如手里不拿这根棒子。。。。。所以没有哪个男人能拒绝如此直的一根棒子
唯一真神
老白套装
中国独有的颜色！中国风拉满
这个我穿了好句
孙行者，行者孙，者行孙
这套不戴头盔是真的帅。
这套像暗黑破坏神里面的
真神
我在穿
地狱男爵
孙悟空的虎皮袄呢
唯一真神
吗喽男模
？
西游男模
小圣饶命，我笑死了
全体起立！
暖暖你麻比呢
全体起立
大圣！
藕丝步云履呢
起鸡皮疙瘩了
鞋子没有，披风没有，差评！
这个帅
还有一个隐藏的
唯一真神！
！
都好帅啊
恭迎大圣
好帅！
真神登场
恭迎大对
齐天大圣
齐天大圣!
我现在就是这套，一直没换，已经在第三章了
是游戏内效果吗？感觉前面穿模好严重
法国套装
龙鳞帅
唯一真神
紫猴猴  可爱捏
全体起立
恭迎大圣
黑闪耀.悟空
必须是这套。
经典
黑神话：猿猿
T台得多走两步呀
不良人天暗星
帅
还有一个回花果山箱子里的真大圣套呢？
齐 天 大 圣
最帅～
大圣！
唯一真神！！！
这下看懂了
这下看懂了
最后一个，绝对是凡品但一点不凡的大圣套
大圣归位
日本面具
因为是吗喽
唯一真神
要来力！
真神！
恭迎大圣
吃俺老孙一棒！
唯一真神
