虎头留着下酒，剩下的交给大圣
灵吉菩萨好像就是那个无头僧
？？？？
帅炸了
秦腔观关中的 这是陕北的 还有区别
梦想终结者——虎先锋
立棍能躲吧
看的最舒服 最流畅的
来都来了
+
传下去 纯黑被浪里个波掏空了 （
悟空要是没有被压500年，区区黄风怪
我到要看看最后的战大圣残躯怎么个无伤
完，还得回去
大猫
渣男
3000多个人
磕一个
帅
牛逼
黄袍员外
哥布林
左右闪就行
啊，这里还有个修狗，我都不知道
朱子真
识破仙人
眉山六怪
猫科都是近视眼
哈哈哈哈
帅
帅
我就想看你打碧水金睛兽怎么无伤
三周目是不是就可以全点满了
沙旋风林舸瑞（doge
太帅了
置底挡字幕思慕
千呼万唤
虎先锋快乐套
又看一集
吟游诗人
真的好qiang
帅
太帅了
进度条过半
帅
难度嘛 身上的箭已经提示的很明显了[doge]
太帅了。
当这段说书一起，鸡皮疙瘩也起了，这才是我们老祖宗的东西，文化认同
金渐层
？
打碟音寺
我硬闪过去的
盖亚！！！！！！
..........
牛批
是细狗
帅
我开始期待少爷打大圣了
Yes Yes Yes
这。。
这我学集贸
打隐藏的龙用的
宫崎英高的门
这我学集贸
盖亚！！！！
为什么更新慢
不是，这跟我打的不是一只虎啊
之前打的时候没注意现在很好奇没头怎么唱的歌
x
公公音
就好像以前不是两脚羊一样
陕北说书人
因为就是人变鼠
】
==】【【】】
他们本来是人，后面被人变成了鼠
这里把各个打坐点剪辑在一起了
古希腊掌管识破的神
无敌
TP只会TP小骊龙里面的入口侧，这里剪辑了
额我在吃饭
第三章双马尾壁我把技能全交了
盖亚！！！
一周目本来就不能全成就，说锤子呢
龙虾
啊 ？
黑魂？
我超，炫狗
poi一击！
帅
666
得！胜！
帅啊
骂的真难听
买了醒酒石里面就是登仙散
终于来了
具有较强的自我反思能力
后期太多招能破了
一周目就是不能全成就，别云了，必须二周目才会解锁一些武器装备
得！胜！
6666666666666
曹操？
感觉我又行了
白衣的衣服我穿了就没脱下来过。。。都打完小黄龙了。。
徒手攀岩
小蛙？小蛙！
杨子荣
你这faker
？
催更催更
是不是因为在更早的版本里孙悟空就是个白衣秀士
6666666666666666
牛逼
辛苦辛苦
沙二郎好可怜啊！
啊…？还能这样？
我记得我也是识破收的尾哈哈
流畅的离谱啊少爷
可以看别的主播玩猴子被怪暴打
啊？还能这样逃课吗？！
片尾有一部分是另一个视频，整体还是纯黑剪辑的
大圣请受吗喽一拜
？？？有脏东西！
终于
这不给沙国王整个达斯维达头盔
喜欢露天餐厅是吧
帅！
牛逼
真大圣，不需要广智来救
《咬牙切齿》
森中人配音，老森！
虎先锋，你正手不精，反手无力，怎么可能是我的对手！
帅！
很难打喷嚏
体力防御优先 技能一个不升
这玩意我打了十几次才过。。。虎先锋三次就过了
不吹，我是第一集看纯黑用大头打硬直，后面野外boss都能这么一套秒（广智出来！）
闪耀的灯球
猫咪歪头，可爱捏
一嘴一个嘎嘣脆
WC 学不会呀
看得出来是真的嘿嘿
【绝命毒师】海森堡狗
枯萎～
三石找了半个小时
那...那我谢谢你？
《顺便》
芥末帅？
《咱们》
前期：这不就是只炼丹的修狗嘛，后期：狗哥什么时候再给我个好丹药
啊？？
打mc里的骷髅音效
帅帅
我作为观众已经很满意了！！
?????
帅
龙龙乍一看像猪八戒
让我想到了怪奇物语里面的艾迪
天命人因为大圣，人脉真的很可以啊
猫怎么动作捕捉呀？
他是不是瞎呀？
好看？
猴哥借鉴
哈哈哈哈哈
想科普拼音，各自还标的不一样
大王叫我来巡山，我把人间转一转
这虎先锋是真做了好事的
不推荐这样打啊，这样打boss很多技能看不着（狗头）
温馨提醒，没打过大头的，可以用石双双变身结束那一段倒地撞也一样。
帅
全程无伤这4个字就很值我的三连
帅
帅
我勒个豆识破用的太帅了
六丁六甲，从不吃素
浪里个浪在小西天吧
鲨卷风
鸭脖，好吃~
翻译，这次素材没装成
别挡字幕啊！！！
白衣修士升到最高级，最后打大圣的时候直接无敌
卧槽
21级，右上角升级会显示啊
错过了这只狗，到黄眉了还没练过一颗丹
帅
卧槽！好像恐怖游戏突然串出来
你搁这搁这呢
？
来了
渣男
那倒是
帅晕
龙珠必须二周目也打完才有用，拿来做武器的
你配的音吧
不打老大吗
还是别了
帅你NB
太有操作了 思路好清晰啊
你好
辛苦了
辛苦了
太厉害了
就玩这么帅的吗
太帅了吧！
太丝滑了
帅帅帅
真的强
太吊了
6
这也能无伤吗 逆天
英文是翻译出来了国外的押韵，而且说话还带口音，直接就让老外瞬间理解了，这段翻译做的也是挺良心的
佛头抢去英国
会用识破的话铜头铁臂反而没那么好用，反正我也喜欢隐身，特别是后面把隐身蓄力点出来后
掉毛啊大圣
右边还有那种超大型甲虫幼虫来泡酒
为什么沙子和雷总是结合在一起，塞尔达也是
轻击再按重击就是识破，一个怪打个几十遍所有招式记清楚也能这么简单（总之就是非常难
帅黑
好帅
牛啊
打虎先锋3次过，但这个卡了我好久
老二是陪他最久的
当时炼丹用完了去黑风山买的
马哥跟老牛混的
帅
我一直以为是狐狸
露天餐厅
黄风岭，八百里，全是耗子加特林
隔着自我介绍呢
这个铜头铁臂可以跳A破
帅
原型首身在大英博物馆
《黑鹰精》
我用识破打小黄龙被教育了
八倍镜~
少消耗气力
就这操作
主要是因为有识破了吧，铜头铁臂就有点鸡肋（对纯黑来说）
小钻风
太强了
给大圣爷跪了
盖亚！！！
帅啊
这学个集贸
老虎，还得是寅虎
请看纯黑新之助！
你是真牛逼，不会拿了定分珠再打吗…
啊？
怎么总觉得再骂人
帅
鸹貔
说的真下饭！
我雷哇机油哒
居然不是小钻风
帅
原来在这
纯黑少爷赛高！！！！！！！
沙门洲际导弹发射基地
帅
肚子上有伤口，原因是一碗面，怎么能给两碗的钱
哪里清晰明了我怎么没看到
先三连再看
一周目就没法全成就哥
这曲子真的上头
广智都没来？
捣罐
本来ed就是要燃，而且歌名叫go to the west
二周目拿不就行了
放下执念吧少爷
这是佛，这是道，猴哥一出三界浩！！不是哭，不是笑，一世之后游科到！！猪鹅叫，大鳄嚎，金箍现世起身傲！！黑白摇，泡菜耗，尽早灭鬼永世笑！！
在这里刷到了50级
帅
@徐静雨进来学技术
帅
骂我？
因为游戏爱上你秦腔
秦腔！！！
秦腔！！！
厉害 我一直躲电圈打了十来次
寅虎：六丁六甲……
帅
帅
反雷电将军特训
汉中热面皮
这我学个集贸
猴先锋
转瞬即逝
到宇宙中心了
这他么8岁？
猴子头上有根毛笔，我还以为是我电脑问题
似似似
素质虎
给虎先锋干沉默了
讲究
类似于弹反是吧
我已经五体投地的满意了
4次过的虎先锋，寅虎比虎先锋难多了
帅
啊？
帅
不到两分钟啊～！
虎先锋：我顶多用点蛋白粉
帅
讲究！
圆明园
《圆明园》
极地沙尘暴！
广智！！！
打坐不去吗？
就这么简单
俺武松来也
溜
广智没上都打败了，强的呀批
我突然觉得我又行了
这技能招式用的真是行云流水
帅
帅
这龙会打碟，招式有点上头
第三章简直噩梦
woc学到了
小骊龙来了
我都是直接隐身躲过去
这是二郎神那边的兄弟  梅山七圣
这里虎先锋腿是穿模在地里的，站起来就是把腿从地里拔出来hhh
一山更比一山高
黄风岭，八百里，遍地耗子架大狙
好吐槽
来了来了！
蓝条满了哈哈哈
帅
牛啊
4小时过的
虎先锋一家雀氏有点惨
有两个模型
1.5倍无敌
3.
这是梅山兄弟的一个
原来是旗袍！！！
状态回满之后会相当于调息出怪吗
看来高手都善用这识破招数
卧槽 这里不知道
雀氏帅
不是哥们
盖亚！！！！！
666666666666666666666
这个没用嘴，用什么发声的
你咋知道人味
这识破招数真滴强，被up练精了
无意义的讯息当然不需要翻译 但是歌词是包含通关信息的 所以得翻译 音频不用翻译而已
盖亚
是是是，轻松躲开
虎先锋要来力
这立棍真6
帅
雀氏帅!
这识破太丝滑了
农夫三拳
我的识破vs天命人的识破
当心眼睛！（bushi）
《就 这 么 简 单》
能识破多次的都是高手
小电龙
帅
真就父慈子孝
'
中文歌曲就好了感觉有点遗憾
东北虎
父慈子孝来了
说一周目不能全成就的是云嘛
来呀！快活啊
卡我最久的BOSS
说一周目不能全成就的看看老e动态OK嘛
牛批
我还是喜欢你无头说书的样子
广智救我
黑神话：广智
主攻还是主防
无伤失败
前方记得先上台子上的远程，否则土地庙有概率被打出来
这边周围怪太多了
直接进入主线
还是个莲花冠?
一周目不可能全成就，会卡材料，所以不必在意一周目不能全收集
666
到底是大还是小？
我直接无伤棍花
帅
666
四只蛙 浪里个波 波里个浪 浪里个浪 波里个波
真帅
金佛流苏
啊？
翻译？那是他们自己改考虑的，没有英化组吗？
帅！！
熟练得让人心疼
东北虎
帅！！！
我打集贸啊
那应该会喜欢第三章的隐藏
.0
这里好像狮驼岭
.0
灵吉说唱菩萨
太燃了，我明天也让我爸去取经
前面那个西乡人别走
瘦猴合理
虎先锋头都被锤爆了
后面有路？？？？？
spa
太肝了
帅
小马龙
6666
要来力 虎弟
要来力
前面的你没文化就多读点书，山西陕西之间文化很相近的
花花世界迷猴眼
阿黑是想给我们看剧情吧？
这我学集贸啊
讲究
帅
原来彩蛋是这样被发现的
彩蛋
帅
空腹就走了？
无伤，唯手熟尔
啊？？？
BOSS打的不会还手？
要来了吗
可以开记录了
赏你食便
少爷你又在让boss上班
你哪儿有容错啊！！？
蛙趣
还是不懂识破是啥
村没有售价，我爹入口即化。
这是红楼梦里的好了歌
丸辣————————————————————————————
进度条危
帅
、
9000+人正在观看
一睹芳容
只在虎伥那里打出一次无伤连招
人，法地地，法天天，法道道，法自然
见切
容易硬直
来自新世界
帕帕
离婚咋了
豪吃豪吃
我姓石
这陕西rap好上头
小……小跩龙？
断尾啊，拿素材啊
我感觉现在强得可怕，上号
不是，你俩也不是一般大小啊
啊？
想知道它哪里发声，没有头
帅
帅
辛苦辛苦
卧槽
这辈子能看到无伤二郎神么
我来助你
6666666
师父!!!!
太帅了
半个月？不要啦
帅啊!
牛逼啊
SPY
这我学个集贸哇！！！
石双双的腿太涩了
这段故事在人物志里面有，而且写的贼有意思，有山海经的感觉
啊 这里居然有个门啊
原声
难道说。
辛苦了
唉唉唉，说好的全程无伤的喂！
shuai
电波直接站石头上就能躲过，但要注意不要让小骊龙破坏石头
盖亚！
嘴脸
帅！
不是你说的？
算你厉害
无伤被破了
注意他这里说的是老衲
只有汉中是面皮，其他地方是米皮
循环了好几次了
太帅了！
帅
哈哈哈哈哈哈
太鼓の达龙
帅
太帅啦
《赏你便士》
啊？？
别打我哈哈
所以为啥一身箭
山中无猴子老虎称大王
很简单，我成尊不就是了
来了来了
来啦来啦来啦
《我妻善逸》
帅
辛苦了
《我妻善逸》
《我妻善逸》
这个应该是三国王，是个英将，但脑子出问题了
无伤穿这个一会会说……减少体力消耗
他们变成这样不就是你干的
他们变成这样不就是你干的
《好了歌》四大名著梦幻联动
哈哈哈哈哈
盖亚！！！
艺术
哥们我这辈子都打不出来你这样的
半小时快慢刀挑战
盖亚
盖亚！！！！！
帅
盾牌能不能点了？
这只算比较难缠的
辛苦你了
山西的小曲
丝滑
你，满分
广智又失业了
？
我没用立棍式，都是拉着他到角落打，等捶地了再跑去石头上蹲着
盖亚！
皮
盖亚！
帅
盖～亚～
刑天？
太丝滑了
这个加章节末的的动画，有隐喻的
帅
学不会
开元通宝
帅！
帅
我打妙音全靠搅棍过的
原来是纯黑配的音
帅
要是铜头铁臂耗蓝15我就换了 可惜和聚形散气一样消耗 特别是点满技能后 逃命加满续一棒槌
盖亚！
请收下我的膝盖
丸辣
露天餐厅哈哈哈哈
修狗
这我还学个集贸啊
助你一臂之力
壁画有惊喜
帅帅帅帅帅帅帅帅帅
帅！！！！！！！
看纯黑打得就是很享受
讲话自带猪音收尾？
哪知道是和尚的
帅
说的虎先锋
灵吉：都看我干嘛？
灵吉：是吗？我不到啊
鲨卷风～
原来黑神话的黑是纯黑的黑
越是追求完美 越是搜不干净
？
帅
帅
菇
初见这只精英怪时吃了俩投技.....深感耻辱
西内！！！！
脚上应该还有一个快板
红温了对面
快活
这骂的是虎伥
[前方高能]
我了个看破王啊
？？？？
[前方高能]
太帅了
跟你说了是为了有剧情才不杀两个的，还搁这少少少，人家自己玩不会全成就啊，用得着你教
盖亚！！！！
盖亚！
师
好帅！！！
这目押恐怖
神露天餐厅
哥 太帅了
就那么简单
玛拉顿公主向你问好（
啊？？？
帅帅帅
看懂了，我现在认为我的理论强得一批，实操就洒洒水啦
国王和大王 啥区别
咱们打的是一个游戏吗？
开局就没了无伤
喜欢我快活林么
这也能无伤
古大唐掌管识破的神
]\ewtewwqz我们、
黄风岭，八百里，每只小怪配把狙
少爷好帅好帅
啊
雷佳音！
黄风岭，八百里，全是鼠怪带连狙
一想到虎先锋被叫成毛团就有点蚌埠住
进度条危~！
红楼乱入
帅
虎皮用来做裙，剩下的留给八戒
辛苦了
大龙虾
有md孩子像块宝？
帅的一批
这不仅得无伤，还得帅；无伤不少次才来的视频吧。
帅
破棍接斩棍，好帅啊
那有那么多无伤，只是唯手熟尔
哈利路亚~！
窃格瓦拉
破棍式！
太帅了
黑哥是真喜欢Nano的歌，10年前刺客信条枭雄的ED也是Nano的Saber
耳听怒
啊？
红楼梦  好了歌
6
帅！
太帅了！！！！！！！！！！！！！！！！
你的马喽，我的马喽好像不一样
满地都是石粼粼
这是陕北说书，不是山西的，
hhhhhhhhh
这一期这么长？？
盖亚！
不是…哥们？
突然快活6
啊？
啊？
小老虎，你的猴宝贝来咯
帅
生肖 虎神是打铁的 打着切磋名义 回回挑战 回回被虐
黄风岭，八百里，全是耗子架大狙
鼠金妹？哪有妹
?能买？我把狗狼和青蛙打完才造的。
这两个大哥鼠打掉不会刷新，就是弓箭手烦得很
蓋亞！！
他要变巨人了
啊？
感觉雪地最烦，白茫茫的最容易迷路
这么快
哈哈哈哈
帅！
这娃没少折磨我
卧槽
盖亚！]
淦
俺也一样
快活快活快活
帅
啊？
我都快忘了我是爱看少爷的无伤攻略才爱上少爷的了
哈哈哈嘴角！
币 比赞多！
帅
太无敌啦！
头在国外的博物馆
我嘞个1.2万天命人同时观看
小金片 我可太需要了
狗哥后边对我真的好
这才是识破
盖盖盖盖亚亚亚亚亚
心急吃不了猴屁股
盖亚
盖亚
nb
可人心 嘎然而止（doge
你们为什么要问他，学得会吗
帅
猴头快递终于来了
当年听的片尾小星星
帅
帅
[ohhhhhh]
666666
牛逼
狗狗是我们的好朋友
盖亚~
黄风怪帮了石母他们，石精就帮黄风怪守门了
旁边小亭子里有宝箱
帅
好了好了
帅
近 视 眼
《瓜怂》
科目三
虎怅要来了
看不懂别玩？对，钱打款不是打款到你银行卡里
无伤没了
我打小丽龙打得心态有点崩
上号
东北虎
凯多。。
雷鸣八卦
腹语？
他真的试图教会我怎么打。。。
纯黑神话
古希腊掌管识破的神
没头怎么说话
帅
请问   这跟我玩的是一个游戏吗？
帅！！！！
大圣残躯的时候白衣装也可以
帅
帅
哈哈哈哈哈哈
太鼓达人
帅！
？
修脚
辛苦啦
帅
曾经打了5个小时的我，必须说一声·帅！
弹射起步的哈哈哈哈
?
帅
因为猴儿这一套轻攻击在第三四下开始转棍的时候是冲击力最弱的，几乎不会造成硬质，怪物就能还手
老三是不是小张太子
陕北说书 参考张长锁先生
经费展示
贴心修勾，空巢老龙，酒蒙子猴，不吃素虎
浮屠界无伤太难了
反正一周目也拿不完全成就，二周目回来再嘎嘎乱鲨，打狂暴二弟跟切菜一样
真大圣对这种小妖就像你看到了路边的小虫子一样
甘肃
这么转场？
四大天王:什么？没处决？
这虎先锋为什么头顶尖尖的！
那我问你：这虎先锋是男的女的？
帅
真叫人摸不着头脑
你还吃过人呀
帅
配音真好
帅四了
您猜这沙大郎现搁哪儿呢？
提前续个三层棍，一棍盾就爆了
帅
帅！！！
本次对战未消耗一个广智
《很好应对》
白衣套打大圣很好用
退寸也挺好用的吧
辛苦了啊
帅！
虎先锋！！！
好了歌
终于来了！！！
包括后期二郎飞天红光一击都能识破
猿魔VS文太
帅
落地式钢管脚手架
外卖到了
奥楚蔑洛猴
西安人德夸奖
虎先锋:今天打BOOS
经典老大配莽夫
虎先锋:跟着纯黑混，我算是吃不到猴头了
牛逼啊 学集贸啊
666
帅！
老大
前来学习
开局怎么有点突兀
帅
定风珠怎么来的啊
P-6\\
不是，都没有嘴巴，怎么唱出来的
辛苦了
红红火火恍恍惚惚
斷頭，這題法國熟悉
《燃冬》
还有快速回城这玩意？？我每次都是自己跑回去
nb
太帅了吧，上号上号
我兄弟曹大仙操作更厉害！
帅
帅
父亲，好吃
红楼梦也来了
你们纳塔地图开完了没有？！
《我只是想拿回家去吃》
拿到杨戬的枪戳棍真滴强了不止一点
真帅
塞尔达
这我学集贸
跪下
我焯，虎先锋
山西哒
666
你也没了
？？哈哈哈哈哈
这个无伤真的难
虎头留着下酒，剩下的交给大圣
三连了
我慢慢走被它们吓一跳
真帅啊
跑图跑的人晕了
哈哈哈哈哈哈哈
但是你会少一个精魄
什么游戏王躲陨石（错乱）
土地爷爷下班了
啊啊啊啊啊
不讲武德啊你
帅！
这段哭腔听的人有点心疼，嗨。。。
我也射了
狗哥后面还会定期免费送丹药
啊？
已三连
不打无伤还是很简单的
纪念传奇父亲砂锅王
帅
2333
盖亚！
充电加更
毛团可爱捏
其实这边才是主路，石先锋那边不是的，从桥这边顺路推是可以轻松把佛眼收齐看斗蛐蛐的
dragon ball
学集贸啊
电肚蛙
其实这父子仨好像没干什么坏事
我早以加入月影宗门下，满级开始打第一关
滑溜
帅
修狗？
这句说的是泾河龙王被砍头
打大盾大家可以提前奔跑蓄力三棍势盾牌耐久立马见底补俩下就碎可以不费蓝
软弱无力！
太强了
+.
黄风岭八百里，尽是耗子架大狙
无头亮血条我敲爆你
牛哇
切格瓦拉
我的肝比你的还黑
当年大唐子民被匈奴（陕甘宁）称之为两脚羊
盖亚
先杀那个没所谓的，下个周目换顺序杀就行，全成就必须打二周目的避水金晶兽
不够看呀不够看
鼠都尉：我门动了，不玩了
帅
前面的，初版是冯骥写的，但是终版是评书又润色过的
印度狂怒
帅
为什么要翻译，让老外强行听
ED讲究
原声大碟
注：这也是打坐的地方（在虎先锋那）
这不是陕北话，怎么都刷山西话
来骗，来偷袭
心疼
太鼓达人小骊龙
啊？
纯帅 就硬帅
spa！
这个狗哥特别好  后期还送你丹药吃
卧槽……
你再骂
哥布林
这个竟然也能
奥格瑞玛
体术虎
古今酱香在何方
啊这
浮屠塔怎么做无伤啊
红楼梦联动
识破天王
辛苦了
艺术
完美主义
我不玩了 我门动了
盖亚！！！！！@@@
什么邪咒
干尸：哎呀，人家摔倒了
非人哉
脑子：会了。手：闭嘴。
非常简单
玩孙吧玩的
哈哈哈哈哈
这我学集贸啊
我很自信了，我要上号
帅的掉渣
出生登场
《嘴脸》
啊
差不多30多级，小西天打完50
慕容鼠鼠
这不去买个不求人？
心急吃不了臭豆腐
？？?
识破大王
浮屠界：你好
太帅了
来力
《很慢》
啊？
1.1万正在观看
渣男
太帅了
啃老
帅帅帅
啊这
讲究
原声大碟
哈喽来喽来喽来喽来喽喽来喽来喽来喽来喽喽来喽来喽来喽来喽～～～～～～～
黑少爷试图教会我们
太追求完美了，辛苦
帅的
牛逼
多少？！
Yeah~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
帅，这就是纯大圣黑
似你不是你
帅
东北虎
虎配大刀更好看，类似西游释厄传的虎力大仙。
漏天餐厅
超神无敌
半个月一期可以等！
这以身借箭的牛逼
帅！
师父呀
6666
？？？？？
帅帅帅
啊？？
讲究
简单
为什么不打？因为他善
鄂巨
来嘞....
师父!
这他喵那是天命人简直就是美猴王
父慈子孝
哈哈哈
家乡龙
呱？？？？
不像演的
虎先锋预警
帅
急中生智了
帅！！！
青春没有售价，今天尝尝我爸
两脚猴
捣蒜泥
灵吉也不是好东西
可以啊
你要偷我得美味蟹宝配方吗
广志
黄风岭，八百里，全是耗子起大狙
帅
纯黑nb！
？？？？？？
天杀的毛团
你是最大得妖怪啊
1.1w+
网卡下载太慢了】
家人们觉得好看就点个赞吧
熊枇
终于等到你！！！
修狗
3002--
现实中佛头在英国
兄弟别回头
歌词大意
元神锚点
三弦
好帅
虎先锋：卧槽~是人是鬼？
无头
不翻译
水只会让我的铠甲更强；你是黑犀
圆神光链
帅
这位更是啃老
《别一不小心给它杀了》
横戌点戍空心戊
帅啊
All my money back my home
上号上号
父慈子孝大戏即将上演
這啥
帅
？？？？？？？？？？？？？？？？
我谢谢你啊
我刚在想雷电小蝌蚪怎么无伤，原来解法就是不然他放招。。。
nengba
哈哈哈哈哈
一口没尝到
暖暖哈哈哈哈
这也能无伤？？
我用这套2次过了大圣残躯
摸哈哈
摸哈哈哈
你老追着我打，我怎么用那招...
处女座
菜人
这个龙是真的简单，你打两个小时？？？前面那位？
心不狠，怎么能占着佛位呢
啊？？？
顶级双压
mc  hotdog（
广智放假了
《捷德奥特曼》
太流畅了我去
帅
既然有避凶药，那就一定有避运药
石敢当比石先锋好打
冷知识：纯黑有麒麟臂
更正：纯黑胸肌超大
帅
猪哥
啊
纯怒少爷
你好
啊就是mv裡那個
、
大圣爷爷！您快收了神通吧！
广智：那我走？
???
你往前走两步还不知道自己为啥一身箭吗（
获得百特曼的精魄
盖亚！
开始捣罐了
Yeah~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
流畅
只狼 就有处决动画，黑猴好像还真没有
狗子可爱捏
这是灵吉菩萨
完了，关键技能来了
原来叮的一声是暴击了啊
啊？
你们全收集是没有二周目嘛？
开饭！
帅
这个乐器是三弦吧
盘丝洞 3周目了还迷路…
盖亚！！！！！！！
大圣爷爷！快收了神通吧！
这么穿吃不到加成啊
《不小心把它杀了》
玉
猴头留着下酒
来了来了~关键剧情~
DongDongDong
无有因，头悬市曹何故？
nb
帅！
你是真大圣，我是真吗喽
虎皮来做衣服，剩下的交给土地
这个猛的一批
少爷快活～
火烧屁屁喽
666666666666
不是无伤过么？咋中了这么多箭。
太棒了，少爷 真的辛苦
歌曲不翻译
先杀老头就无伤了
握草
nb
陕北说书
就喜欢英文歌 用英文歌合适 不喜欢你别看 哪那么多要求
就喜欢英文歌 用英文歌合适 不喜欢你别看 哪那么多要求
大哥
甘肃银川青海那边全是这种景观，很没看头
翻译，来，翻，都给我学中文
all money back my home
艾伦野鸽
小曲
有家长说老虎说脏话会教坏小学生
这外卖不兴尝啊
这啥
沙韦骡
橘猫
硬功夫
电吉菩萨
1
沙太郎
这章里的佛基本都身首异处
老二孩子永远被忽视，真的
素质堪忧
这蛙蛙，老子采个莲他就跳过来蹬我，那你说我一个泼猴杀他没问题吧？
问中文BGM的 请去看前两期简介 别啥都不看就跑出来叫
虎先锋
逆天可爱
是龙珠！
简直就是电影
好了，学生家长有素材了
艹
不说了，投币
帅
这段陕北小调我是不会跳过的
猪脚饭行吗
来晚了~
宇宙中心
你让我感觉这游戏很简单
all money back in my home
帅！
来了，跳起来送GP了
这配音听得我好爽
这该不会是土地吧？
虎边留着下酒doge
两个都杀想无伤太难了
想要全成就必须先杀国王
还好我有月影菩萨
石头记
马上到达宇宙中心枕石坪
可爱捏
帅
打甲虫很帅
啊？？?
烦请各位过剧情穿的像个猴！
帅!
666
baby！
盖亚
我这关路线完全不一样，就莫名其妙到了各种地方。。
帅
哈基米哈基米
SPA
16圈
叫狗哥
舞风沙的设定吧，天命人会捂眼 移动和攻击频率都降低
这里也有儒迷哈哈
帅！
菩提老祖
盖亚！
gp
帅
纯黑童心未泯
戌狗
黑变形记
帅！
辛苦了少爷
无敌
原来是程昱
假面骑士疾蝠
灵吉：对啊怎么会是呢
帅
帅
要变巨人了
冷知识：猫科动物是近视眼
盖亚
为什么不说话
还能买？？？
帅
啊？？？
帅
帅啊
啃 老
帅
这里我看着地图还差点迷路
国外肯定不翻译，你玩国外游戏cg会翻译中文吗
纯
汉中面皮
包变脸的，老弟
建议先打老的jpg
我也选择聚形散气
帅
帅！
aka无头说唱
少爷为啥不开播秀一波
巨人来了
看的都赏心悦目
嘴脸哈哈哈
优雅x2
大猫没吃到猴头
希儿开E了
大橘
卧槽，我打黄风才40
帅
虎哥吃不到呀
珍贵的宝箱
...
这不是亲家母你坐下的曲调吗
币比赞多
boss ：林黛玉倒拔垂杨柳
咱别要求这么高行不？让我们这种苦手怎么想？只能我比你帅，你游戏天赋比我高？
简单，手不会
哈哈哈哈 黑红楼
爽啊
速通无伤模式不在乎
少个精魄
w
看到直接三连
