真正的热爱后面忘了，反正不舍昼夜
铁根儿：我真不打了吗？
真神登场
八宝粥
嚎池！
舟哥，我最爱的皇片剪辑员
怎么给我干守望来了
铁根表示没剪过这么秀的素材
铁根：我跑了，我真的跑了吗/张飞，看看你的守护了些什么
已经开始笑了
正片开始
已经开始笑了
正片开始
唯一真神
铁根一张嘴画风就直接跑偏了，笑死了
别人剪的视频都感觉很有手法暂且咱剪的还有全是侥幸
哎，我真不打了吗，说白了有什么实力啊
是的
正片开始
这还是国际服的素材
我咋感觉铁根玩就是感觉他在乱点，其他选手都不会有这样的感觉
bgm一响，真正的热爱…
正片开始
原始人之神
独自开朗的铁根
真神登场
太对味了
已经开始笑了
难绷
哈哈哈哈哈哈真绷不住了
帅啊
这位更是重量级
这是在玩兰陵王吗
《现在》
哈哈哈哈哈
对味儿
目前到这就铁根的最好，前面几个要不系统生成太明显，要不就太刻意
青莲有团战失利之力，我不敢上。
哈哈，哈哈哈哈哈哈哈哈！
川！！最帅的男人！！
哈哈，哈哈哈哈！
都闪的我眼睛疼
铁根er！！！
我勒个国服夹子啊
确实帅
味太冲了（doge）
逆风局起手！
好忙，但不知道在忙什么
哈哈哈哈哈绷不住
抽象
对味了
这个赞给铁根了
主角登场
无人区？
看到牢八屏幕直接白了（喜）
熟悉的ai
哈哈哈哈哈哈哈
天才
666
6
哈哈哈哈哈哈哈
哈哈哈哈哈哈
哈哈哈哈哈
爽也
八宝粥出品，避暑黄平
怎么没有奥义图？
陌生
老板战死，怎么办，那就打！！！
还有高手
笑死我了
我就知道
这种我评价是 吃史风格
八饱舟
根大厨
@撸sir兰陵君  猪都比你勤快
这个最帅
味太冲了
抽象
大洞
我真不打了吗？
八宝粥永远的神。
清廉，铁根，八宝粥
一出来就笑了
出音味来
谁家悠子
来了来了
终于知道为什么推荐搜索是佐悠了
鱼味太冲了
跳伞03：27
03：28
正片03：28
跳伞03:08
弹幕就知道佐优？
真神降临
我以为铁根会以对面受害者角度剪
左左幻听
这剪的越努力越倒霉。。
天天见，我对抗路真的他妈射手都能来抓我。。。。
蛋生蛋~
真吵
我真不打了吗！
《嘎矫情》
比本人剪的好
上菜！！！
有一股想按冲水键的美
空降成功谢谢总部
6
铁根：张飞，你看你都保护了什么？
好尬、
这样不好看
第一句就没绷住
伤感街霸，三杀预定
鱼总我的超人
横扫饥饿做回自己
鱼总我的超人！！！！
侠级霸剪
《你真的以为我不打了吗？》
尬
我真走了吗
根儿
这奶音
蛋生蛋
近因效应
要来力。。。。。。。。
我嘞个帅啊
原来铁根秀操作的素材是这样来的。
怎么一股子左左味
挖槽，男娘
终于听懂了
这位更是重量级
奥义图呢
什么动静
情感区博主一只鱼
正片开始
想看佐悠的
来了来了 最好看的
南娘
帅帅帅
哈哈哈失利起手
一听声音就绷不住了
已经开始笑了
我要看哪吒大王
好帅…
铁根：这波碰巧、意外、运气，全杀了！
已经开始笑了家人们
观赏牛魔
这个一技能砸地帅
纳救达!
厨神大会
伤感神王，彻底疯狂
玛德笑的我放了个p
好应当的视频
左右：直接一个后入
我怎么感觉这就是铁根本人的素材
毕竟在对抗路的视频
听到声音开始笑了
青莲
初音未来
+3.20
你以为我真的走了吗？笑话（doge）
对胃了
火舞：压力马斯内
出音了
.
农场主小曲
夹冒烟了
夹起来了
左悠亲传
极具特色
铁根！！！
莲和粥
全场最佳
笑死我了
悠子
鱼总！！！
老八
铁根
声音一出就笑了
私夹子
尼玛，纯真的味
笑死了，好神金
哈哈哈哈
疑似第五人格入侵
我还以为点开悠子的视频了
怎么感觉悠里悠气的
史王
你如果不说名字我都认他成佐悠了
不愧是鱼子哥
《队友团战失利》
大赛区up主
左呦亲传
雀食蟀
这不是佐悠？
音效库限时免费
开局对胃了
还挺秀
常见，但镜头是灰色的
呕出来了
好熟悉
厉害
笑死了
对味儿啊
《厨师来了！！！！》
没有痞老板不是很认可（
青莲队友天天失利
出音味来
开口跪了
笑死我啦 唯一真神
王者荣耀硬被他剪成了和平精英的老鼠
音乐指导：左悠
大厨那味儿挠一下就上来了
逆天了，八宝粥的评论被人举报封了
音效库限时免费
出音味来
直接剪出来兰林旺大招的感觉
人声鼎沸
侠极霸剪
我真不打了吗？
厨师！！！
专属BGM
开饭了
皇片开始
一股子佐佑味
铁根和青莲
味太冲了，不知道还以为兰陵王改版了呢
剪辑神
忘川声音怎么越来越像那个玩猴子和那个赶海的了。。
铁根儿会先换素材。
失利起手
铁根
++++++++++++++++++++++++++++++++++++++
神王的小曲
细节旋转国标
铁根
已经开始笑了
提示：不用提前笑
我看了半天还以为飞过去的是哪吒
加油
正片开始
八宝粥
果然是emo BGM
看到八宝粥我就知道稳了（
最喜欢的片来了
这歌一响甚至话都不用讲hhh
这很八饱舟
铁根：不打了……诶，兄弟们，丹砂！
bgm：everyone dies in their nightmares
铁根：丹砂兄弟们
hhhhh
五大菜系
我的韩信一定会贪第四下平a击飞然后就被火舞打死了。。。。
哈哈哈哈哈哈哈哈哈哈哈
你想要韩信跳枪的课程？
话
为什么没有佐悠
铁棍
出音味来
出音未来
男夹子
我的根永远的神
首先，铁根打不出这个操作，所以应该先把铁根排除在外
接下来，兄弟们，端好碗！
正片开始
青莲
笑死了
by全靠歌人是个哑巴是吧
八宝粥
当然是牢八
哈哈哈哈哈哈哈哈哈哈哈哈哈
死夹子
烂
对胃了
开幕雷击
铁根会说：错了错了哥，（一转攻势）我错哪儿了？
听见bgm就想笑
铁根：OK兄弟们
肯定是根啊
一般
明厨亮灶啊，兄弟们
哈哈哈
哮喘
不好，这饭有毒
我了个初音未来啊
干扰：怎么就不属于他了？
好帅
@佐悠
hhhhhh
还得是牢八啊
帅啊
哈哈哈哈哈哈
对味了
想要佐悠剪的+1
已经开始笑了
太松弛了
画风突变
正片开始
我在等一位厨师）
青莲是真的帅
跳伞：02：44
情感区博主来了哦
蓟县
蓟县
起手式：兄弟们
侏罗纪素菜
很忙，但是不知道忙什么
我嘞个鱼洞King啊
我真不打了吗
必须是莲子
好应当的视频
开始了
铁根
对味了
男的女的？？？
我真不打了吗？
开始了
哈哈哈哈哈哈
大厨的食力
字幕对味了
音效库限时免费
我真不打了吗？！
桑启：没我不行。
我感觉铁根打不出来呢
铁根味太对了哈哈哈哈
杰瑞
我真的走了吗～
八饱舟
刚出来我就没绷住
听到铁根声音就想笑
诶？咋回事
味儿太冲了
八宝粥！必须的！原始人起洞
招笑嘣
特效音限免吗
这韩信怎么一股兰陵王的味道
五种菜系（doge）
长枪形态兰陵王
出音味来
hhhhhhhh哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈
还是老八抽象
正片开始
抽象区登场
不做无法实现的梦
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
蛋增大～
八饱舟！
正片开始
第二个
男娘？
期待八包洲
完美闪避
还是保守了（
一开口就开始笑了
一看到片头就开始蚌埠住了
片头识人
嗯?熟悉
.
正片开始
音效库限时免费
刚兄弟们就绷不住了
这下看懂了
如果素材是我打的我选择青莲，不是我打的我选择铁根。
bgm给我整笑了
铁根：当然啊，兄弟们这个火舞是我.
情感区一只鱼hhh
对味了
为什么不侮辱夏洛特了，这不对味啊（bushi
帅
重量级青莲？
青莲夺舍成功
非常好视频，使我国标旋转
豪赤
对味
对胃了
男夹子。。
牢素材
你国标落下啦
说词啊，说词啊
包是铁根啊
听到铁根就是忍不住笑了
队友团战失利…
我就知道
没配音还是差点事
什么是系统自动生成的剪辑风格吧
八宝粥
素材提供者国服孙膑
真神登场
我要看八饱的
出音味来
不錯比前一個好
我很少用人生鼎沸形容一个视频
味太对了，哈哈哈哈
八饱舟
青莲
鱼子哥！！
八饱粥
一股子鱼味
青蓮！！
.00
大象爽，狼爽
蛋生蛋
一只鱼的，感觉舒服
佐悠
根
不打了不打了，我真不打了吗？？？
扫了一眼，清酒就是up，怎么玩这么花
破案了，素材其实是铁根的
对面诗人？
铁根:接下来是幻想时刻
八宝粥
不愧是我大厨
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
还得是你我才爱看
八饱肘
我的妈呀~绝美
有点娘啊
没让我失望
不能光看人头啊
看到开头就已经绷不住了
看到八饱舟，就知道已经有史吃了
哈哈哈
正片开始
这个好
《硬信》
厨王登场。
已经在笑了
正片开始
长枪形态兰陵王
青莲啊啊啊！！！
怎么处理是指烹饪方式
八宝粥
这个特写笑死了哈哈哈哈哈哈哈哈哈
铁根！
已经开始笑了
开场更难蚌了
开场就蚌埠住了
我嘞个八饱舟
小当家
铁根
省流：韩信有红有蓝，拿二杀不是问题
什么奋变剪辑啊我去
开始笑了
这位更是史莱姆王（史王
我的妈呀，绝美……不好意思，走错了
"wc,铁根说了才发现有干扰"
OW起手
bgm正确
必须是川子
忘川忘川忘川！
有点意思啊 这类视频
铁根：我真不打了吗
鱼！
必须是老八呀。
八宝粥
动作指导：佐悠
这味道太对了，还是厨子做的好吃
这时应该出现佛祖（bushi
青莲
根：我不打了，我真不打了吗？
大厨开灶！！！！
怎么一股悠子味儿？
开饭了
最后一个
还是这个味
还是这个小曲
这个bgm是什么啊
出音味来
已经开始笑了
我嘞个铁根er
包铁根
八饱舟
铁根:这就是韩信大王
他还是喜欢他的构思
要战便战那就来(欲寒)
没有剪辑就是最好的剪辑
它可能没救过一只鱼，但确实救过一只鱼
铁根
青莲的滤镜剪得晕乎乎的。
暖场已经结束，接下来是高潮部分
已经开始笑了
烧0
哈哈哈哈哈哈哈哈哈哈哈不愧是鱼
每日失利（1/1）
帅啊我的川
我靠啊开头就赞停下来笑了三分钟
非常期待铁根
鐵跟
我不打了吗？我真不打了吗？哎哎，真不打了，真不打了。不是，我真不打了吗？
高端食材往往只需要简单的烹饪
我很难想八饱粥会怎么样？
你喊啥 吓我一跳
青莲
铁根：张飞！你都保护了些什么！我真不打了吗？
八宝粥
盲猜铁根压轴
可以说一模一样
家人们对位了，对位了啊
12：10 逆风吗？
兄弟们，真的好想笑
又短又小
真短~
漏一句：我真的不打了吗？
我跑了，我真的跑了吗张飞
对味了
《12  10 逆风局》
？？？
你猜我为什么会回来
还得是青莲
我怎么也开始笑了
怎么没有郎中的小曲
盲猜铁根：我真不打了吗？
莲味扑鼻只能说是
蛋生蛋～
五坨
莲子味太冲了
哈哈哈哈哈哈一个字不差
八宝舟
找苏打锋
最帅青莲！
八爆肘
我在等铁根(doge
青莲会剪
主要他空了一次a，然后对面又玩的很菜，所以就能让大家感觉很搞笑
我嘞个公式起手
对味儿了
我真不打了吗()
出音味来
我以为给我拉了多大的，原来给我了个帅的
经典失利起手
没绷住
初音未来
那当然是喂饱了
对胃了
尿检！（不是）
居然还敢让八宝粥来剪
磊哥：王者荣耀是我玩过最好玩的游戏。
铁根
初音未来
这不是佐悠的风格吗
八饱舟
我听到了[跃迁]的回响！
怎么少的了我林决弟弟（）
鱼哥不爱说话吗
太味儿了
我还以为这火舞是哪吒呢
招笑
铁根er
nb
太对味儿了
夹冒烟了
砍到音道了
辰同学？！
是左悠老师的话此时还在片头
铁根！！！
饭里有毒！……
不玩对抗
太对了
这人叫啥？现在就去关注
牛啊
我是盲人，请问是左悠吗（
这饭里有毒
盲猜：我真的不打了吗？（
磊呢？
对呀，对呀，这不左右吗
铁根不说我都没发现放干扰了
正片
哎哟我勒个帅啊
高端的食材往往只需要最朴素的剪辑方式
佐悠？？？
正片开始
不是我不喜欢其他人的，主要是我就看过铁根儿的，感觉铁根儿的才是最真实的
《活全家音乐》
伤感玄武苏烈，蘸豆预言欲裂
招笑
笑死我了
还有蓝老头的四连斩和被钢爹围殴的惨叫声
佐悠
抽象，我喜欢
铁根：错了错了错……哎，我错哪了？说白了，你有什么实力？
明白，不同蜂嗝
磊哥：韩信将兵，不可战胜的
蛋生蛋！！！
佐悠：迂回一下
全搁这听音效了
音效库限时免费
八饱粥！
八宝舟
正片开始
力量哥又来了，之所以有这波就是因为对面越塔
笑拉了
还是青莲剪得帅
开始笑了
帅的
期待八饱粥
铁根er
佐悠:这种操作我打不出来，不知道怎么配/doge
八饱粥？（doge）
会猴叫
一换二，队友团战失利
悠子亲传弟子（确信）
铁根：没剪过这样的
铁根儿：我不打了，我真不打了吗，一顿把玩啊
必赢的
唯一真神
上蹿下跳形态兰陵王
出音味来
对未了
上来就有一股那对味儿了
铁根：给这澜是一顿把玩
为什么没有lufee？！
笑死我了
铁根er
厨神登场
舒服了
这里也有极道？
我笑晕了这个音效是想干嘛
青莲声音变成熟了一点
帅帅帅川川
川川最帅！
忘川！！
史，豪赤
铁根
最后一个抽象哥hhhhhhhhhhh
哎呀兄弟萌，这给对面是一顿把玩儿啊！！！
我真不打了吗！！！（激动）
每日说实话（1/1）
这味，正！
八饱舟！！！！！
《队友团战失利》
蓝老头！！？？
正片开始，原始人大师登场。
唉对啦～对咯～
-+
抽象流主播：3:28
常见，天天挨打
极道万岁
这跟佐悠好像！！！
尬
铁根！
下次找佐悠剪，我都不敢想有多抽象
青莲稳赢
已经开始笑了。
你吼辣么大声干啥
笑死了赛博文风
队友团战失利
以多欺少，看我坚毅不倒。
青莲的
伤感神王
众所周知
我们王者也有自己的史吃
一股兰陵王的味道
真的很常见，基本都是三个人一起越塔
八包舟
没那味
铁根：你直直直接给我坐下
经典团战失利
韩信大王飞天大炮。
6
6
6
不行了我真的笑得想死
我得了个一种听bgm就想笑的病
笑死
HHHHHHHH
铁根
我真打不了了吗
火舞你去马戏团吧
对抗路日常打2个起步 队友还能被乱杀
情感区博主
看到牢粥就进来了
磊哥:对面像入机，尽力了，尽力了
笑喷了，这个注意观察，后面接一个二技能空掉哈哈哈
还有DLC
喜欢以多欺少？
上菜
我很少用人声鼎沸来形容一个视频
八宝粥？
熟悉的bgm
哈哈哈哈哈哈哈哈哈哈哈哈
已经想笑了
跳伞2:44
3次败方mvp.....
铁根儿:帅吧，我是火舞
\
每日失利
农场主の小曲
逆风了，开工！
夜幽？（不是）
诱敌深入
出音味来
帅的啊
有一种很美的抽象感
还藏了一手名刀司命
薄纱了！
八宝粥
铁根：这个就是韩信大王
厨师长
看到现在才发现那团红是火舞不是关羽OwO
我真不打了吗？
我了个去这特效，看爽了！
铁根：我真不打了吗～
青莲！
话
我真不打了吗！
铁根
豪赤
谁拉这儿了
来啦兄弟们
大家都去找露雪学兰陵王，去找青莲学剪辑
看到八宝粥就知道完蛋了
全关注的这辈子有了。
必须是铁根啊。最喜欢铁根的视频了。
还得是我铁根
想到铁根就好笑
兄弟们
主角登场！（狗头）
哈哈哈哈哈哈哈哈哈哈
我嘞个零帧起手
对他使用长枪吧
青莲
完了全关注了还有救吗
必然是牢舟哇
奥楚篾洛夫
击杀音效是cfm的吧？
其他主播：本来自己要剪视频就烦，现在还要帮你剪
没有佛祖我不是很认可(悠子铁粉）
悠子亲传弟子
音乐正确
？这都放了干扰了，防御塔没伤害
搋子也被铁根传染了?!
男同音道
这很铁根
真走了吗？兄弟们？
铁根
我隔着屏幕都闻到（香）味儿了
老八
Cf击败音效
守望先锋
话说为什么会有八宝粥？他视频我一般都是啃生肉的。他还会剪辑
哈哈哈哈
得了一种听见一只鱼就会笑的病
上古素材
所谓糕手
如果剪的是鐵根的下飯素材會怎樣
公式秒了
lufee嘞
铁根：这怎么剪，没剪辑过呀
铁根
八宝粥
铁根！
已经开始笑了
哈哈哈
我错了，我错了，我错了，我错了....……......我错哪了！
硕士化起手（）
这下看懂了
铁根
我已经开始笑了
不去鬼畜区可惜了
我走了我走了，我真走了吗！
要不是等铁根，我也不至于一直在看
赤石，爽！
开幕雷击
《“我”半血韩信》
真正的热爱又如何会感到疲倦和厌烦呢？倘若时时刻刻都怀揣着强烈的创作激情与成为强者的渴望，那便永远纵情燃烧，不舍昼夜
牢粥包赢的
铁根
铁饱舟
零帧起手
根
忘川
青莲！
要来力
盲猜铁根：我真不打了吗
正片来了
真神登场
一如既往的团战失利
嘴角开始跳舞了
哈哈哈哈哈哈
这个“水滴”的声音
最帅
怎么不解说了
我嘞个鱼洞king
兄弟们，对胃了
真正的热爱又如何会感到疲倦和厌烦呢? 倘若时时刻刻都怀揣着强烈的创作激情与成为强者的渴望，那便永远纵情燃烧，不舍昼夜。
开笑了
忘川!
八宝舟
对味了对味了
蛋～生～蛋～
我真不打了吗！？（铁根音）
我很期待八饱舟
铁根真的一说话就想笑
有没有跟我一样听到这个音乐就笑了
牛逼，帅
那是给他们一顿把玩
常见 但操作不出来
我听到了闪现的回响。
还得是青川的
来喽来喽！松前卡气超级漂
抽象之王！
12-10逆风局
谁能杀我？谁敢杀我？
悲伤的小曲
不是常见 而是日常
大厨
正片开始
我真不打了吗？
我不打了，哎，我真不打了吗？
最早的一集！
铁大厨特有的根er式变脸
铁根压轴登场
鐵根
这是铁根会说 不是我真不打了么
根er
铁根少了一句 我不打了，我真不打了吗
铁根
不是鱼总他欠宇的视频刷多了吧
真正的热爱
每把都少不了铁根儿
大厨师
还是保守了，不然高低整点片子内容
国宴大厨
八宝粥
衷肯的点评
对味了
已经开始笑了
八饱舟
帅！
加纳～
这下听懂了
盲猜队友团战失利
《蜀面豪杰》
517个人
枪形态诺手
根：我不打了 ，我真不打了吗？
前面那个说铁根的，味儿太对了，害我笑了一下
铁根
怎么把情感区博主放进来了？
常见，天天挨
佐悠：请战！
队友团战实力
已经开始笑了
哈哈哈哈哈哈哈
帅帅帅帅
铁根：我走了，我走了，我真走了吗？？
音出味来
这下看懂了
大厨的
经典抽象片头
左右开小号来剪辑了（确信）
大厨来了
已经开始笑了
太对胃了
八宝粥都来了！？
枪形态夏洛特
我在等飯 你在等什麼（doge
我不打了………我真不打了吗？
《兄弟们我说实话》
但凡有八饱舟的对局都不能播
不知道啊，听说有铁根就来了
唯一真神
我真不打了吗！！！！！
盲猜奥楚蔑洛根
根儿！
真不是悠子嗎
哥们儿，你有什么实力呀？
哈哈哈
铁根：不打了我不打了…我真不打了吗
终于来了
经典音乐
因为素材库限时免费了，所以全糊进去了
破案了，张飞是铁根
省流:青酒让我们给厨师投票
我嘞个风格突变
铁根
给桑杰剪成老鼠了
这歌是救过一只鱼吗？
哈哈哈哈哈哈哈哈
八饱舟！
最后竟然不是加纳，不是很认可
绷不住了
铁根有一期李白视频也是剪的忘川素材，感觉配上铁根的配音不管多思路清晰，很帅的操作素材都变得侥幸和下饭了
不儿
哈哈哈哈哈
龟岛在就好
根本没剪，原来鱼总在偷懒
？？
只爱看铁根，我就不信！这么牛的操作，铁根会怎么办！
一上来就听懂了
阴暗气息
？？
川子
经典团战失利
我嘞个原始人大帝啊
强者总是压轴出场
帅川！！
已经开始笑了
牢舟也是火起来了
我不打了，我真不打了吗
正片开始
哈哈哈哈
队友团战失利
铁根
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈
这个好
很主观（doge）
鱼子哥
经典BGM，笑吐了
情感区剪辑：一只鱼
出音味来
他还是忘不了xxxtentation
青莲必赢
我服了，歌没出来我就有预感可能是这首歌了，味太冲了鱼子哥
蛋仔派对uibw
青莲青莲
铁根
除了最后一个都不错
对味儿
12：10《逆风局》
帅
青莲那剪出了兰陵王的效果
一股悠子味
不如前三位的剪辑水平
我真玩不了了吗？
可以可以
远古素材
八饱舟
我真不打了吗
出音味来
雕虫小技罢了！
对抗路风格哈哈哈
莲子
46分钟。
很忙，但不知道在忙什么的感觉
帅
正片开始（doge
大厨做饭还是那个味啊doge
笑不活了hhh
韩信剪出了兰陵王的效果
铁根：我不打了，但我真不打了吗（）
哎？我真不打了吗!
笑了哈哈哈哈哈哈哈
已经开始笑了
铁根：我不打了，我真不打了吗？！
单身蛋！！！！！
对胃了
铁根还是太保守了
哈哈哈哈哈
蚌埠住了
专属滤镜
铁根:我不打了嘛？我真不打了吗！
悠子？（bushi）
有青莲简直是降维打击。
不愧是你八饱舟，哈哈哈
他出了一个名刀司命！（空耳）
大厨呗
绷不住了
哈哈哈哈哈哈哈哈哈难蚌
话都不用说，省事doge
不是，这已经让人看不出来是忘川的素材了，感觉这就是厨师的素材啊
这不佐悠吗
不愧是伤感哥。
经典逆风（doge
佐悠提供的音效
期待八饱肘的田鸡坝解说
社会勇子哥
经典团战失利
上来就蚌埠住了
已经在找东西吃了
我真不打了吗？
已经开始笑了
23分钟
我真不打了吗？
可以
青莲这个不开声音都会自动产生声音
跳转到2.44
有没有奥义图
八宝粥来了昂
已经开始笑了
五个人四分钟
这是直接交给软件了~
喊什么喊
《同一段素材》
开饭啦，啊哈～哈……哈鸡汤来喽
公式化
奥义图呢
我真不打了吗？
没有桑启尸体就死了
这下对味了
大厨就是有实力
对味了
一如既往的抽象
他还是那么爱这首歌
队友团战失利
6
曲对，当赏
活全家音效
吃不到菜但是可以闻到香味
对味！
对味了
对味了
太对味了
经典队友团战失利起手
伤感玄武苏烈（bushi）
笑死我了
我真不打了吗（铁根音
对味儿了
团战失利虽迟但到
己经猜到后面铁根怎么反差了
怎么没有招笑相机？
1000+
幻聽：我真不打了嗎（bushi）
一股子悠佐味儿
初音未来
八戒想要尝尝对手（）
帅
好忙的视频
人话用的模板
不是老弟，我真跑了吗？
合理
痞老板呢
大厨来啦
《今年》
很担心剪辑者的精神状态
熟悉的音乐
少了一句，我真不打了吗？张飞
音乐正确
每日团战失利（1/1）
熟悉的抽象开头
铁根剪不了，这不是他能打出来的操作
铁根后半辈子都打不出来这个素材
盲猜铁根站在对面视角解说
出音味来
得了一种看到铁根就想笑的病。
对味了
有厨师那味了
空瓶是我的辣
其实对面火舞才是铁根
出音味来
声控游戏
5分钟
我真不打了吗？
一股鱼腥味
《今年》
突如其来的屏蔽没绷住
厨师做饭
蜀面豪杰
已经准备开始笑了（）
出音味来
情感区up
对胃了
对味了
极限
还是铁根的有感觉
常见，天天挨
防御塔：我们两个真是太棒了
我真死了吗
