咱就说吧，还是得叫阿道夫机场
大型工程四个人都只能算较大事故，三个是一般事故
阿道夫（bushi
谁还记得2007年
坦噶尼喀花生种植计划最后一年既视感
火龙烧仓：就差一步啊，被他们发现消防隐患了
犹太人同款（doge)
《新寄场》
意林读者呢，救一下
希儿（bushi）
水司楼：怎么没人拆我呢
哈耶克的含金量还在上升
蚌埠住了
这个真的蚌埠住了哈哈哈哈
你给大路呦~~~
《spoiler effect》
还是叫戈林机场吧
可汗感冒了吗？这个声音如此沉闷
有西游记的韵语那味儿了
《偶尔缺勤，经常偶尔》
《察 举 制》
《发粑粑》
这不还是阿道夫机场
比商鞅分的都多（确信）
hs2：难兄难弟
很喜欢前面弹幕的一句话：“毕竟是默克尔的政府，还是靠谱的”
丸辣！
《东西榜案》
丸辣！
不是，首都机场私有化？？
《触 发 连 招》
不，我感觉下次有这个机场的新闻，应该是史诗级的事故。
《追求自由》
Anon Tokyo
曼弗雷德：我城防炮呢，我问你我炮呢？
比如《间谍过家家》（bushi）
《世界就是一个巨大的草台班子》
《五万》
希儿：还得用我的方法！
远景VS白祇重工
西游记的含金量还在提升
《魈需求》
民众：不听不听，希儿念经
直人们最喜欢的哈耶克自由经济太伟大了
《嚎 劫》
意林呢？救一下啊！
这次是真有油纸包的工程师埋伏在附近了
你工人爷爷又救你一次
城市规划原理 02-17周 3.0学分
没事儿，到时候天花板会自动喷水，用水冷散热。
大明1566的含金量还在提高
每日通辽歇后语
致敬希儿的小彩蛋（）
还是那句话 坚定守住 就有办法
懂了，第二次崩坏（柏林机场）
《 输 荣 》
《眼睛聋了看不到》
油纸包呢救一救啊
复杂的事情 更容易出问题
设计师，我想cos晴天娃娃了
《和平》
舍那菲尔德：what can i say？
《通辽宇宙第一定律》
太伟大了哈耶克
牛逼，这都能救回来
马克思
互联网现状
裁员裁到大动脉系列
大英现況（確信）
每日通辽歇后语（2/1
开饭！
如果去了解一下合并之后西德企业是如何侵吞东德公有资产的，你就会理解东德人民了
法兰克福：“Sehr gut！”
《本期主角》
@苏州
希儿一定会保护大家的！
哪些地区有油纸包
我有建议，不知可否叫芙乐艾机场（bushi）
这下波音种树了
《里根の演讲》
居然真的有消防验收，我以为消防验收都是走过场呢
希儿希儿希！
DDR：奥斯塔尼亚的原型
时薪529RMB
至少他们搞技术的基本操守还是有的
设计师：因为自己淋过雨，所以也要掀了其他人的伞
核心技术
@杨永信
我咋感觉就是拖着不给东德修呢？
人类现代工程学的迪克
想起以前有位甲方让我把入户阀门改到天花板上………
外包的外包
没有主攻，全是辅攻doge
言出必行小约翰
这种专业的事不交给专业的人去决定，而是交给容易被煽动的群众去决定，注定会是灾难
土木大佬特有的警觉性，有效识别即将到来的黑锅
厦门高崎机场现状
Mann，was kann ich sagen ?
这么看咱们的大兴机场，天赋机场真是NB
既不能用希儿命名，致敬一下总可以吧
只是塔上没有了火花（狗头）
菩提老祖：我懂
不会最后在这唯一一个被淘汰的地方修吧？
波波：这句话我熟
《西方人不讲裙带关系》
20万个油纸包器材
希儿，会保护大家的！
哈哈哈哈哈哈哈哈哈
这是年旅客吞吐量，在这提柏林市人口的真的可以入院了
《尘世七执政》
永远怀念！
永远怀念！
能造出来但专不专业打个问号
永远怀念
为什么不直接飞过去？
@大连周水子@青岛胶东@厦门高崎
奇怪的是，能切断路面交通，却不能切断空中交通，这苏联是玩啥把戏呢？
咋没关系？知道胡乱支付也不会被抓它们才敢支付
地暖
因为知道支付后不怕差才敢支付
梅开二度
这可真是个天才
于谦父子包的，图纸拿反了~~~
怪不得倒闭
说白了就是外行指导内行
各干各的
地道战
七万个嫂夫人
阿道夫
开捞！
不是，没验收你敢打款啊
油纸包可以修复漏洞
希尔机场
益生菌来了
强弱混合
我的天
法兰克福
那我觉得你得上印度看看
等下？
《那不行》
就叫迈耶机场吧
完啦
马上就选中
贪污横行
民意有时候是无知的
实在是不得了
三家图纸不出问题才有鬼
前面说的艺术
在商业区的基础上修了个跑道
a包
忠诚！
我看你怎么接驳
最核心的砍了
吃透前期设计的时间比重新设计还长
层层分包
这是有多少史密斯专员
柏林机长hh
、
移轴镜头拍的？
我看着预算得奔着50亿去
这层高是地下室吗
以后能扩建吗
难他天
枉凝眉
只要外行不乱搞，术业有专攻的大佬总能救活烂尾工程
老特拉福德
啊？难道不是吗
噔噔咚
马克思同志
经典MBI觉得自己比技术工程师有不可替代性
阿道夫机场
改图纸不正常吗？出设计变更呗
老爷绝招，拍脑袋决定
天才啊
自己做项目管理就需要前期把所有设计的需求考虑到，尤其隐蔽工程
我到河北省来
带着整个机场飞
他们没有分部验收吗？？卧槽，施工队一家独大啊
也可以，按标段分包
总分总哈哈哈
schizer!
对小约翰催更——无用
默克尔：这蜘蛛感应怎么响个不停呢
项目部：我上早八
还能是谁哈哈哈哈哈哈哈哈哈哈哈哈
那这是怎么验收通过的
五大上次变四大了，这回四大怎么还没变三大
吃沙拉减肥
能搞成这样子默克尔肯定也掺和了
昂纳克机场（doge）
希姆莱：你们有点太极端了
可汗大帝怎么感冒了
改变不是乱编
拆迁啊，老百姓喜闻乐见了
忠诚！
需要速度调的有点慢
天上还有个齐柏林
暖通设计师表示卧槽，排烟管在地板啊
糟糕的糕
《你の导师》
啊？
强条是吧
还有缺陷2333捞钱爽了
东大现状
6图、
这我还真知道
超前规划你也是设计的时候就要超前规划，哪有规划一直改的
跟踪审计怎么不负责？
这都默克尔干的事啊
太现实了
汉斯专员要进步海因里希专员就不要进步了？
铁证如山
啊？
可汗感冒了
敬酒都没机会呢哈哈哈
哈哈哈哈
哈哈哈哈，只能增加流速了
又恰的谁的饭啊
苏州人还要什么机场
永远怀念
《西方社会没有人情应酬》
你不能多盖两个机场吗？
永远缅怀
这效率也太低了，主打一个松弛感哇
审计公司真的牛逼啊
证明他们还是能行的嘛
啊？
前面制度优势怎么不说话了
设计人表示ptsd了
你确定2条跑道够？
来了来了
6啊
庆幸吧，得亏检查出来了
可汗感冒了？
东天取经
谁还记得2007？
哈哈哈哈哈哈哈
这已经多少年了
阿道夫机场
谁敢去这儿坐飞机啊
2条跑道，迎来新时代，也不怕笑死
这样如果后期沟通不协调就能得到7个机场了（doge）
外包啊
我觉得这个机场要是用那个人的名字命名倒也合理
6啊，这是看能捞钱就开始了，机场？哪有钱重要
啊？
甲乙丙丁同时施工
hs2我懂
女生可以用吗
永远怀恋
我就知道哈哈哈哈哈
人口100万
必须阿道夫那
你想考研啊？
6啊，这不是下一个hs2
重大问题从来都是政治问题，古今中外都是
非人类物质文化遗产2333
哈哈哈哈哈
阿道夫
并非一无是处，也是毫无用处
搞政治搞工程最忌讳反复无常
跑的太及时了
改图纸改预算是很正常的啊
那完了呀，绝对统一不了
教堂还是很必要的
常凯申：……
蒙～这～一～多～
柏林养鸡二场
天才
项目经理还活着我是没想到的
先辈，指野兽先辈
那完了
哥06年了
那维莱特？
是不是拿错了毒气室的设计图纸了？（
记录在案
這集我熟
打更的是吧
马克思
希姆莱纪念机场
真的是灯塔
范冰冰
‘
太严谨了
忠诚！！
两年报告两年评估三年选址
啊啊啊啊
不是这……
小胡子机场
稀 拉 里
《团结协定》（雾）
pwc魅力时刻
马丁路德
阿道夫纪念机场
懂了，以后飞欧洲避开柏林
洗个嗨（
太想进步了
东山机场
天才
遥遥领先
太严谨辣
xtl机场
怎么声音变了，感冒了？
sodayo（
开饭啦开饭啦！！！！！
特斯拉机场
太伟大了
666啊
笑死了
南北榜？
南北榜？
还有高手？
阿道夫机场
阿道夫机场！
柏林希儿机场
阿道夫机场
留着开饭食用
这集看过了
“第一年，绝收！”
的幸打钱！
天才
看成日耳曼尼亚了[doge]
啊这
这么离谱的嘛
重新设计，得加钱
迈耶机场
哈哈哈哈哈哈哈 地段分包
太熟悉了
阿道夫机场
原来是压力很大的在读博士生阿！
联合体中标
机场运营标准是取决于消防的，消防车坏了的话机场也得停
这玩意怎么能建成没出事的？
天才
+++
开饭！！！
啊？！
一个人干活，九个人指挥
大家都来吃啊
还没盖呢预算就不够了？
仁爱医院，可以用来安置难民啊
世界就是一个巨大的草台班子
垄断
俗称：腐败
我必须马上开饭！
范冰冰
阿道夫！
等会。。。哪年？？
记录在案
丸辣
哈哈哈哈哈哈
设计加设计，真容易塌方吧？
按防御工事来修的是吧
不用太豪华，奢侈点就行
墨墨：推倒这堵墙！
跟9000亿相比，还是差点
丸辣
原来如此，我来回欧洲那次走的就是慕尼黑+法兰克福
虽然名字不纪念，设计倒是全部致敬了（）
土木老哥表示，这锅咋背啊
懂了，这不是机场，而是附带跑道的酒店
我草， 天才啊
这么干就出笑话了
忠诚
也行
熟悉的流程（带英铁路）
赶紧准备手枪和地下室吧
O(∩_∩)O哈哈~
是你小子
熟悉
小胡子？
《难道我大明只有半边天下吗》
七司之乱
约翰neishi
大胆点，把偶尔去了
提桶跑路2.0
这就不奇怪了
李达康光明区事件
李达康...
3p
开饭
得有总规协调
牛逼了
要不试试戴高乐
阿道夫机场哈哈哈哈
BVVD
1987年，只有东德的首都是柏林
西柏林是西德的
集中营施工方
笑出眼泪了
阿道夫机场
阿道夫！
能给希姆莱颁勋章
改阿道夫就一切说得过去了
外行领导内行没有不出乱子的
专家们：完啦！
???????
"冷战苏联其实这一刻就输了。有人要饿死2,000,000人民，有人救援"
这下看懂了
西德是从苏联买回的东德
慕尼黑机场确实很现代化
寄
希姆莱：后继有人
处处不提阿道夫，处处不离阿道夫
腓特烈吧
希姆莱机场
《吸特乐机场》
我的附庸的附庸，不是我的附庸
画图佬落泪
就是啊
严谨
那岂不是又得细分
？
安抚机魂是吧
不忘初心
免费的
十九处断点，搁着Debug是吧
毒气室淋浴间焚化炉
马克思
没有中间商
楚门的老婆
不正常的是为什么东的德只有一个选址，而且缺陷还这么明显。
嫌钱不够，想再捞点
伟 大 人 物
哈，希
前一个阶段的优势会转化成后一个阶段的阻碍
波音种树：见法航296号班机事故
外包也是转移风险的绝佳手段
毁灭吧
阿道夫机场
推到重建
没完了 是吧~~~~~~~
这世界是个巨大的草台班子哈哈哈哈哈哈
我勒个怀旧版
阿道夫
两千多个面包
大兴机场，虹桥机场，天府机场
哪些地区油纸包了工程师
忠诚
还得是阿道夫
我走以后你们就是我
才三个多月的人员费用
防空树
啊？
这不还有教堂
两个蝙蝠侠
啊？
吞吐量只能吞，不能吐
啊
烟熏
俺选赫尔曼迈耶，他才是天命所归！
伟大，无需多言
苏州的含泪看完了
人工智能
加钱（1/—）
历史的重演
丸辣！
也挺常见的
加也要走审批啊
经理辞职（1/—）
say my name
啊！
真硬气
HS2
《设寄逝》
我办事儿您闹心
你能
局部解剖，糸统解剖
我靠，这个审计报告3年都很难完成
经典扯皮配置
48=][
到时候系统不兼容
大送的排面
噗
忠！诚！
绷不住了，最终解决方案
哈哈哈，地基都没打呢
就是存在责任真空带，没人负责
确实刺激了
图纸不审批就施工，果然世界各地的EPC都这么玩儿啊
外行领导内行
可汗清蒸！！
顺利进行
《万》
马克思
德勤老同事路过~
那我问你
分为哥柏林和弟柏林
迈耶
和HS2一比还是很清廉的
卡尔马克思啊！！！
你还说你不是阿道夫机场？
？
不如改名叫贝塞斯达机场
干嘛啊？出了空难当场超度是吧？
你们不是有马克思吗？
数据倾斜可不是这个意思，别乱用啊
啊？
完啦
EPC啊  干土木的都熟
还真是
发病病
丸辣
迈耶机场
啊？
将来惹出事来，别把为师说出去就行了
苏联能有什么威胁？？
这是聪明人
毒气室2.0
订正：五十多万处的小缺陷
不是，这些标书里不谈的吗
毒气室！！！
没事，有油纸包
新人UP主的视频质量还挺高
灯塔
能有多大变化？看看4v你说多大变化？
Roger Waters - <<The Wall – Live in Berlin>>
微调
坎坎坷坷坎坎坷坷
播音种的（确信
头顶尖尖
《柏林防空树》
没总包协调
戈林机场
这个隐蔽工程验收怎么通过的？
可以分标段，但要有威望和技术镇得住的指挥长及其团队
笑死
C R H 2
还有高手
俾斯麦可以，。
小胡子机场
居然这么多人都不知道？我震惊于很多人惊讶
不是，哥们
是的
梅友机场可以的
到现在还没竣工呢
结果就是选在了schonefeild
这才是关键出装
2333333
拼尸块式建设
给排水老哥表示：？
故苏机场
犹乐王子
别乱说，人家是不玩人情世故那一套的，这叫内举不避亲
柏林苏揍机场
柏林梅友机场
迈耶机场
老猫与小约翰
说波恩的这辈子大概分不清de jure和de facto了
你就说快不快吧
波音种树
台北中正机场
天才
gmp
就这啊
确实是 现在也是
楼道消防栓不也是现代消防
泉 都 布 氏 仁
哈哈哈
Ich bin ein Berliner！
《最终解决方案》
啊？
肯定不是胡子哥
说二楼地板是一楼天花板的朋友，有没有可能，这里的意思是排烟管的进气口在地板上doge
别带fpx节奏
丸辣！
大兴机场都开始运营了……
就想到是这个
怎么2019了哈哈哈
干工程的传统艺能了
不如拆了
这一年，大兴机场投入运营
阿道夫机场
防活墙
外行指挥内行
卡尔马克思
进度条：还有高手？
是我梅姨
还差的熬走了默克尔
俾斯麦
没问题是没问题 但你想想建的是啥
又看一集
团结就是力量！
就这？
方便不？
波波:完全同意!
画图狗已经看得冒冷汗了
哈哈哈哈哈哈哈
怎么又是你
一边熬夜画图加班一边看这，扎心了
怪不得去欧洲转机只有法兰克福没有柏林机场
。。。。。。
希儿
甚至不如↑↓
啥都没说这么多弹幕…
哈哈哈
ybb
这下看懂了
甲乙两个工程队相向开工是吧
改名吧，就叫戈培尔机场吧。
请求中译中
幻影坦克
感觉药丸
怎么不推到以色列和西北非的墙
刚开始以为这期不够逗，没想到还是喷了。
比带英的高铁还是靠谱些
我能去上班吗
彩！
还问之前的钱，人家汉斯老爷工作都没了，带走点儿补偿款怎么了？
波音种树！
四五六七八转
太伟大了哈耶克
我并不痛苦甚至很愉悦
我是9分39秒君
不愧是祖传的手艺
?
07年落地居然都算早的
又两年
圣诞快乐！
飞机分段建造装配啊
图纸拿反了
天才设计
FAS
这下听懂了
这个还不简单？阿道夫机场
一年吗
忠诚
蒙住耳朵~哪怕哪天不在听到在呼号的人~
0
哈哈哈哈哈哈哈哈哈
柯布西耶，密斯凡德罗，赫尔曼穆德修斯，彼得贝伦斯：你们在干嘛
安东星居然写实
是啊（即答）
太伟大了哈耶克
';]
完蛋
别吵，我在烧烤
牙医shake it!
伏 地 魔
保养个锤子。。。
你猜猜长安为啥没打下来
可汗抱恙？快传太医啊！
啊？？ 确定不是送走吗
压根没有总包统一协调。。这是工程大忌
哈哈哈哈
法兰克福：黄雀在后
任务书都变了，不是改图了，是重新做
建筑师开始骂娘了已经
哈哈哈哈
超级工地
哈哈哈哈哈
哈哈哈
哈哈哈笑死我了
阿道夫-赫尔曼机场
笑死我了这一句
只怕有钱人哦
5% 中还有50%
平行发包
马克思！
忠诚！！！！！！
忠诚！！！！！！
3
不能work就take（提桶跑路）
还是叫赫尔曼戈林机场吧
城乡规划专业报道
可能还真能实现
熏香肠
我感觉扔一发导弹进来也不会有这么多伤亡
没总包 你要起飞了。。
中建呢!
阿道夫机场
700亿人民币
西门子也干了
一顿饱不如顿顿饱
就说是毒气室
可持续性竭泽而渔
大兴机场
萧山机场
奋 斗 机 场
意林救一下啊
闻过则喜曹孟德
这，这，这还能抓现行………………
这是真尽力了
欧洲传统了属于是
其他的不考虑完全看民意的下场
《攻城狮》
哈哈哈哈
巨大的草台班子
哈哈哈哈
造价师不合格
分裂多可怕
这是正确的做法啊，大工程都是分段，而不是分系统承包的，人家很专业啊
记录在案
这个是真不错
严谨
高光时刻
不追究了？
小总包
就这
设计师:我上早八
遥远的东方
这是人才啊
鸽子感冒了
严谨
1
没有过控吗？
三p
.
希儿！！
柏 林 机 场 问 题 的 最 终 解 决 方
波音！一定是波音
2007年？
原来老外也会在乎别人的眼光哈。
o
你嗓子咋啦？
QQ
hoooo
Hooo
[前方高能]
西德系统性的对东德人的歧视一直没消失过
穿透式管理
以及无数的事故
剁手
严谨
蕾姆
申遗！
哈哈哈
土木老哥太牛逼了
防空树！！！！
至少验收部门还是靠谱的，不然要出大事
拆了重建，可能成本都划得来
这在演我工作是吧
我看叫“迈耶荣誉机场”倒是很不错的
俺寻思能用
卡尔.马克思机场也行啊
约翰肯尼迪机场
真是千里之堤溃于蚁穴了
艹
舒马赫
星 座 级
nb
憋不住了
三哥行为~~~
我了个分封制啊
马斯克开厂前也不看看可汗视频
技术交底都没有？
热热闹闹折腾半天，干活的人跑了
排烟管道做隐蔽工程？
哪个不能被说出的名字
代英：味儿对啦
不行了，得把读者 意林 青年文摘全部重读才能压压惊了
在意林
这下听懂了
666
迪克根
09年怎么可能没有cad
哟，那爷转世
波音放空树
清道夫机场？
这集我看过
邓伯快乐梯
两条跑道3600w吞吐？您跑道上跑的确定是飞机？
一代人都长大了
没有主攻助攻，全是主攻。
火化间
这目标其实是总统啊！
还得是干实事的土木人啊
还是当初那批人啊
资深
who？you know who
忠诚！！！
确实牛逼
私有制魅力时刻
那确实牛逼
anon tokyo
恭！迎！毕！下！
至少速度可以啊
噔噔咚
说的是人话
七武海
那不就是分标段招总包吗
耿专员怎么拿
哈哈哈哈哈哈哈
希儿呀
可汗大点兵
ybb
阿道夫
机场？
施工总承包或者工程总承包
。。。。。
苏州人：啊？
毒 气 室
就叫卡尔马克思机场吧！
那确实
不管在哪里卷到最后都是拼关系
这就是后人的智慧
老爷子一世英明，实在是丢不起这个人的
不然呢？
说改成阿道夫的，阿道夫没他们专业。阿道夫都得向他们学啊
我就说吧还得叫阿道夫机场，实至名归！
起码教堂里还有个祭坛呢 现在是时候派上用场了
负责种树的员工：他们选择在这种树一定有他们的道理
忠诚
EDDF法兰克福
哈哈哈哈哈哈     哈哈哈哈呵呵呵
这是人想出来的办法吗
什么柏林高翰文
？
忠诚
可汗感冒了？？
分包
忠诚
跪了机场
问题是他是7个不同的供应商供应的。。。。
反犹机场
这不就是东大传统嘛
幻 光 多 管 火 箭 炮（能防空的幻影坦克）
君子不立危墙啊
天才！
分封制
完蛋
我爹做过的工程里有消防...看得我头皮发麻
到了下雨天有自动清洗和淋浴功能，同时兼顾了通风功并防止人跑走。这就叫专业
一位演员搞垮苏联，另一位演员打垮俄罗斯
完蛋
小约翰可是工程师，这一点他比谁都清楚
你到底在说谁
忠！诚！
【=-、7
一根筋变两头堵
怎么敢的呢他们
苏州只有军机场
改规范啊
看来有七个关系户
每家用的东西最后都不配套，7个地区啊，7种材料啊。不相同啊！！最后怎么可能不出事啊
果然阿道夫当初应该请他们的
切块大包？
柏 林 机 场 最 终 解 决 方 案
不抓起来？
不出意外的话，就要延迟力
从施工建筑变成艺术创作
分票是吧
确实，机场的消防太重要了
来力（嗝）
哈哈哈哈哈
考古
二次笑死
沃维雷特抓起来了吗？
开始了，搞私有化是吧？
哈哈哈哈哈
一个bug是bug，两个bug也是bug，那么多bug，你敢用吗。或者说还能运行吗
工程师：我上早八
出院
波尔波特狂喜
这个“英”莫非是带英（doge）
阿道夫请他们去设计的
NB
卧槽，这句笑死我了。
谁敢去啊
戈林迈耶机场
阿道夫
可汗龙体欠安啊
这么牛奔了吗
喜欢投票的赶紧去。。
蚌埠住了
俾斯麦
拆了吧，别整修了
这机场谁敢去啊
哈哈哈哈哈哈哈
爆了
啊？
耗子是不是感冒了，有点鼻音呀
就这？？?
？
哈哈哈哈哈哈哈哈哈哈哈
汉斯专员太进步了
小胡子机场
阿道夫机场
要是终身责任制的他们就完了
我真的绷不住了。。。
万岁！！！
三边工程不很正常么
不愧是阿道夫机场
笑死
哈哈哈哈哈
艹，这也有玩缺氧的
做签证洽商啊
这不还是
概算通常都不够
阿道夫机场
hhhhhh hhhhh
意义是？
合理
修的时候没死人就是给面子
众生平等
分标段也不是不可以，但对接是问题
带英的高铁项目的影子为什么从这里看到了呢
刚才漏水产生的火花接一下
哈哈哈哈
EPC
均无法
人工智能
这是何等惊异的邪门智慧呀
制度优越性的体现
尺子都不是一家买的
这不是我的毕设吗
啊？
忠诚
两条跑道想成枢纽还是洗洗睡吧
鸽宗终于    更！新！了！
先淋浴，再通气，不愧是阿道夫机场
大城市就是机会多
慎购，想想本期标题
啊？
进去了几个安全员
典
我已经笑疯了
七王之乱
本来就这操行，别讨厌别人说懂，就这德行了
发的那些建筑专家跟工程师怎么啦
甲乙双方同时修桥
机场还是过于城市化了
NB
大本营战报
苏州梅友机场
你哪怕放个蓝牙音箱呢！
天才
一边吃外卖一边看可汗，太幸福了
...
小胡子
太城市化，找波波啊
绝杀！
安妮日记
要不还是叫阿道夫机场吧
以拖化债，两难自解
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
施里芬机场
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
俾斯麦啊
什么中世纪城堡
跑路吧，做不了
不是，那吞吐量呢？
啊？
有完没完
1.25倍速
？
你就说防不防火吧
《最终解决方案》
太恐怖了，设计专业冷汗直流
ybb！
阿道夫
杨奇也干了（）
忠诚！！！！！！
、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、
总算舍得更新了。
霉菌？
红衣宰相俾斯麦啊
……啊？
杜兰特机场
这视频应该转给甲方
首都机场设计年客流量是8000万，1亿人是严重超负荷运转
是的 没错
哇
星 耀 樟 宜
提桶智慧
以改兼赈是吧，上称！
·
老爷子在棺材里都得再跪下磕个头
还是叫阿道夫机场吧，还有毒气室
耳朵瞎了
嘶
他这样搞，主机也不会有反馈啊哈哈哈哈哈
犹太人比较熟
hhhhhhhhhhhhh
感情排烟管道做完，不做漏光检察和风量测试啊
开始吟唱
准备时是刚合并，开建已经默克尔了
奠祭仪式
不是吗
范冰冰
哈哈哈哈哈哈 波音种的
西卡西……
那我问你
工程项目常规操作
一战忘不了
后勤：啊米诺斯
等会，让我先整两颗降压药，我怕我一会蕨过去
.....................
阿道夫机场（）
修毒气室的记忆觉醒了属于是
所   有
印度人吗
滑跪机场
世上无难事只怕有心人
哈哈哈哈哈哈
还真是按毒气室的设定来啊
下跪机场
哈哈哈哈哈哈哈
典
代英表示很棒
《祭坛》
哈哈哈哈哈
哈哈哈哈哈哈哈哈啊哈
哈哈哈
哈哈哈哈哈哈哈啊哈哈哈哈啊哈
爱因斯坦
忠诚
保守派觉得激进派太保守是吧
人类文明的核心科技
女士们先生们，A320来辣！
大英铁路局
就是外行知道内行
既然不能命名为阿道夫，就用实际行动致敬阿道夫！
油！纸！包！灭！火！器！
二战德军装甲兵后勤直呼内行
史塔西出动！
阿道夫机场
特斯拉：鬼！
SAY MY NAME
吾有一计，用油纸包着灭火器埋在各处如何？
波波：里根总统太啥了？！[探头]
这熟悉的既视感
龙体有恙
马丁路德
遥遥领先
多少？
《他们只有一个选择》
工程大忌全范了一遍
就是故意的 7选1 非得提前淘汰一个
糊弄里的 糊弄
触发关键词
乐坏了
是！
?
那还能有谁，必须是小胡子啊！
你们只是没了一个机场，他可是断送了政治生涯
不上秤四两重，上秤了千斤都打不住
完了
这难道不算一种歧视吗
一代人了
没事，相信后人的智慧（doge）
握草
？
跑吧，逃活命吧！
这是我小兄弟，老虎
工程最正常的就是改图纸啊~~~~~
这不是人类的灯塔什么事
hi机场~~~
设计团队：晒色！
天才
速度啊
希儿
04年还没设计图？
忠诚！
还是改个名吧
阿道夫
夹层
丸辣
乡绅的钱如数奉还，百姓的钱三七分账
外包仙人
旧金山消防局：是啊是啊
PPP
老冯家的人
俾斯麦不行吗
哪里来的这么多点子王啊
《繁冗》
太常见了，总包接手后坐地起价几乎算是常规操作了
忠！   诚！
15亿吧
须弥枫丹交界
忠诚！
独苗还真不行
zzzq
空输no1
那还真不如拆了重建
这还不容易，东柏林高考加分来补偿就行了（doge）
那字儿念趁，一语成谶。
5 0 3 3
卧虎藏龙
现在是2024年，这个项目完工了吗
修复了1个bug，新增13个bug
希儿机场
西德的爸爸
还是毒气室！
巴勒斯坦
哼，想逃？终身责任制！
什么片子？
阿道夫！
1.5万人
run！
工程杰作
杰作
天才
龙卷风摧毁停车场
阿道夫
破产？金蝉脱壳吧
我草真笑不活了
土木狗血压控不住了
牛B
'‘’‘’‘’‘
特大责任事故
’
‘
忠！诚！
哈哈哈哈哈
、、
啊？
？
笑的肚子疼
要不2024
对于催工期的：你看，又急
哈哈哈哈哈联动测试的时候这样玩
这下真成常凯申了
猜到了
一些痛苦的知识开始攻击我了
。。。。。。
丁义珍
哈哈哈哈哈
《Final Solution》
阿道夫！
维保人员的噩梦
施工方：跑路啦！
哈哈哈哈，又变到默大妈了233
只是能用了
我去
中心理解题，转折之后是重点
没人阻止一下他吗
稳了
哈哈哈哈哈
包干区
真不如别合并，合并了也过不到一块去
哈吉米的大手运作中
太伟大了，哈耶克
当旅游景点（）
《毫不介意》《不必管他》
大型真人CS社区
张核子
熟悉的味道
他奶奶滴
原来是你啊
啊？
这是可以的，分标段招标
阿道夫机场
平行分包
毕业才是
@血狼破军
我猜这甲方是疯狂设计家看多了，跟大壮学的吧
嗨特勒机场
我的天啊
邱清泉请求骂街
经典波音种树
安东星防空树
哈哈哈哈哈哈哈哈
结论：法兰克福是枢纽
希尔
一个奥地利人
还有陈柏霖
我已经忘记FBB是啥了，范冰冰还是冯宝宝？
可汗感冒了 我也感冒了 我≈可汗
谁家凯申？
？
冰箱门关不上那起码还有个亮
你们通辽工部不竞标吗？
..     .
不会把交通枢纽定在深山老林吧
肯定是波音种的树
