八戒：我好像见着大师兄了
开服第三天出轮椅了
谢谢，我不玩
想起来一句歌词 这一棒～叫你灰飞烟灭
我二周目打妙音魔将 弱点出来之后4豆劈棍打了2w1
八戒：大师兄本人来了？
qnzzz
万暴猴
我靠，万爆猴啊
来啥
请
曹操敢达
氪对曹操
看到过1万多的，禁法流，没开挂
坏了，给他玩到真的了
别给我八戒打死了
玩的是王者吧
一棒流
1000个马楼正在学习
miss
五鬼葫芦增伤不拿？
钟离()
好麻烦啊，不想玩了
好好，这技能我学会了就点
我还没打过虎先锋呢，他都打猪八戒了
什么符文加点
阿弥陀佛 阿弥陀佛 阿弥陀佛
酒神是吧
原来是boss血牛，天命人脆皮且刮痧，现在是两个脆皮
猴哥顶号了
二师兄:你打妖怪的时候不怎么出力，你打咱老猪就那么卖力？
没有因为我根本不用刀用的是棍
八戒：直了
猪八戒都被拍成猪肉饼了
黑魂啊
真有人开伤害显示玩啊？
核爆流玩法
悟净：哎，是那猴头儿。。。我是说，大师兄！
只攻不防，天下无双
你一炮4000 哥们 你玩王者荣耀呢 我操
什么鬼剑开鬼阵啊
省流：1A秒了
qiqi的最高伤害7000
黑社会：飞段
二师兄：师侄下手真重啊！
和我一样的打法
蓝拳是吧
毒套加喝酒暴击一万多
蓝拳是吧
《贝蒂小熊，乱世不败》
快去请风灵老祖！
省流：波奇了一棍子秒
省 流：秒 了
风灵月影启动！
蓝棒
红叔暴击最高九千多了，快一万了。
八戒：不是，师兄教了你这个？
老夫子三技能
爆焰！
出了个无尽
还没学到怎么办（）
不笑没暴击
盖伦是吧转转转劈
轮椅
是我没错了
嗯？你不是狼人杀玩家吗
但是这个过不了二郎神和小黄龙
“不是，猴哥你有这招拿来打我？”
万爆猴出装
灾祸之兽
建议去戍狗那里吃仙丹
我一棒子给他秒了
卧槽猿神
集 结 战 旗
悟空上大号了
差点没把八戒胆汁打出来
DNF猴戏buff是吧
酒神
欧拉欧拉欧拉欧拉欧拉欧拉！
入戏了
这才是大圣
天与咒缚流（确信）
八戒：该死，这一棒有大师兄的感觉
不如我铁头功接无限蓄力，在这个bug没有修复之前，我是无敌的。
大圣！
你这字幕真的很碍事
一力破万法
什么蓝拳
《力量快劈》
万爆猴
一棍10800（）
八戒：坏了，是大师兄
风林月影宗弟子直接拉满
弥勒：自有奇用
疯脸是吧
主播主播可以告诉我出装铭文吗？
八戒：猴哥你玩真的啊？
这也能核爆？
果然所有游戏玩法的尽头都是rouge和build
老 将 军 旗
谁家破裂魔法师？
我选择风灵月影
劈棍
一击必杀
八戒:我怎么看见大师兄在向我招手
走一路敲一路，神挡杀神佛挡杀佛
666这个猴是桂
搭配那个无限棒无敌了
八戒：坏了，我好像看到真的大师兄
风灵月影全部点满
出了羊刀无尽
无双，万军取首！
毛毛流天下第一（狗头）
《没有诅咒的诅咒之刃》
金猴奋起千钧棒，挣破五行复自由，紧箍再束心猿意，西行正果现真灵。
大仙必备
卧槽
谁家皆字秘
以力证道是吧
开挂也好意思发弹幕？
是很高  然后呢  开刮
八戒:这熟悉的感觉师兄
空啦！！
还真是猴戏
悟空变强之路
核爆流
卧槽？法师猴？
剑圣流
四段棍势
这还是没暴击的
我那个万物皆可核爆
大力飞砖流
没暴击咋办
有条件是指月影宗弟子吗？
忒损了，研究半天拿八戒试手
红叔二周目一棒一万加
八戒：起猛了看见猴哥了
核弹不是原神的吗
这是什么爆裂魔法（
90级以下不要试，我已经被小黄龙打爆了。
一万暴击！一万暴击！
奥法是吧
震地猴
插地奶是吧
这也能核爆？
八戒：卧槽，真猴哥顶号了？
致命空大
八门流
没暴击
喵心法⌓‿⌓
八戒：我好像见着大师兄了
八戒：完了，真猴哥顶号了
我嘞个强化咒刃啊
出无尽了
猪八戒：什么玩意儿 大师兄回来了 ？
八戒：师兄，是你吗？
八戒：这力道？是大师兄！
猪八戒：666大师兄本人上号了
省流，爱钦说的好，有赏
真大圣上线
八戒：导演也没说大师兄来了呀
魂燃一线
啥都不要，对丢核弹
cast 分身 千钧一棒
八戒：这熟悉的力道
禁字术有一种龙王仆人的数值美
惠惠流打法
八戒：完了，大师兄顶号了
米默别跳
已经有人一棍25961了
真大圣上线
卧槽，蓝拳（doge）
？？？？？？
暴击流，出红刀+三无尽
不知道啊 我风灵月影宗的
飞段:塔拉
北地枭雄，乱世不败！
科游，起来干活了
打八戒你是真出暴击啊
珠光护手
@鬼渐
空大怎么办
空大怎么办
国服套装
对爆仙人
震地马喽
一棍开天！
开没开心里有数
红阵
禁字法是我的神，爱死了，直接莽
阿祖
悟空：呆子！吃我一棒！
大力飞砖
雀食牛逼
登龙斩？
魔法转物理！
蓝拳是吧
如果打空了岂不是心态爆炸
八戒：丸辣 大圣顶号了
就喜欢秒人，不是自己死就是对面死
《万爆猴》
这游戏也能科研？？
猪刚鬣：不是猴哥你复活了！？
黑神话.飞段
八戒:是你吗大师兄
ok还没解锁，886
火中
诗人握持
八戒：这力道？是大师兄！
我们黑神话也有自己的烟雾猴啊（bushi
隐身流其实更安全，这个适合凹大数字
登!
大哥！大哥！是我八戒啊，别打了别打了。
是不是脑瓜子，哦，没有脑瓜子了
嫦娥
这棒子空了怎么办
暴击流 悟空
没有成长的の小曲不是很认可
回归基本功
出无尽了
暴击流
禁字派
蓝拳圣猴
吓得我看了一眼头像
火中
我累个一力破万法
回归基本功，哈哈哈哈
我TM就是 叮 的一声
大圣回来了
八戒：对对对，就是这个感觉
火批小鬼魅力时刻
完了，遇见真猴哥了
啊？
八戒：不是哥们，我一直以为你是盗版的，你有暴击，你直说呀
黑神话：猴戏
蓝越多，蓝越少
四锁
省流:天与咒缚(4000伤害)
魔宗是吧
黑神话：收藏家
十里铺剑神
无尽暴击猴子
贝蒂小熊，乱世不败！
张绣
猴子前期出打野刀，刷野，然后出吸血刀保持续航……（doge）
黑神话布鲁克
老夫子
这一棒，叫你灰飞烟灭
鸟枪是吧
qiqi爆出过7000！
已经有隐藏Bug了，无限棒
八戒：丸辣！遇到真猴哥了！
弱弱的问一句，不笑可以吗
内战幻神是吧
伏虎丸都没吃？
回归基本功？
核爆
欺负老猪
禁字决可以一棒7000。
无尽之刃
玩飞段玩的
猴子本人。
视频收藏了up主。
玩儿成原神了
贝蒂小猴，乱世不败！
插地奶
看着挺强
暴击猴666
怎么感觉这帮子up，把黑神话的技能体系玩的跟lol似的
根器点过了要怎么改啊
猴子主要点的就是暴击
昨晚都看到有人打红孩儿出5位数了
帅otto
还能开挂
坏了，遇上真的大师兄了
独臂
我嘞个核爆玩法啊（）
不是…这游戏也有核爆？
法海流
猴哥的棍子就该重
（刀）
空大了怎么办
八戒:我好像看到大师兄在向我招手
这下无双万军取首了
想到了一个逆天头像的故人
你好像那个海贼王里的基拉
再加上无限棍势
你先别过来，我单独开龙王，1万暴击！1万暴击！
开红眼了
猪八戒:？大师兄复活了？
黑悟空   飞段
师兄，你害我!
造梦无双嗜血流
建议搭配3无尽3破军
达人烟
燎原百斩！！！！！！
青衣？！
省流:黑神话飞段
