这不叫骷髅塔，这叫京观
我无所谓，我刺客信条奥德赛和英灵殿还只玩了3小时我先打完再说
现在更新地图了 好跑了
我刚打完，我敲
二周目启动
很好 刚打死 二周目见
藏藏藏
不是哥们刚打完
丸辣重开吧
这隐藏太多了
就打3个，没办法了
已经杀了
已经杀完了
卧槽 ，真离谱
我嘞个怪猎断尾
我们中国就叫土地庙，别说篝火了
这些磕副本玩家，真得玩得仔细
说正常伤害打不死的纯胡扯，变马猴一套就快死了
我打怎么是怪茧
日，刚打了
这个boss是开紫云山隐藏地图的支线任务
我在蓝色大光头门口刷到了60级，至今还有去碰过任何BOSS
这TM谁能知道
？？？打过了它不是走了吗
+
被撅了（悲
啊？！我第一次直接就是这样的，还以为这怪设定就是打到一半血会逃跑
棍花了解下
我就正常续劈都拿到了
我一套连招直接打跑了啥都没掉
sei头不咋利索呀
像，太像只狼洞窟了
这个游戏级别高真的羞耻，堆数据，自己菜不菜自己最清楚
666
风灵月影打吧
竟然还带部位破坏！
啊？
不是就两只吗
有概率性？
好像稀里糊涂拿了
暴击拳套
丸牛魔，不杀的话毒敌大王遇不到，晦月也遇不到
我明明打断了却没给我
感谢up，刚打完黄眉就刷到你了
已经打死了
能看见至尊宝用月光宝盒嘛？doge
断尾是吧
丸辣
刚打完这个boss才发现这个视频
断尾！
已经完啦
没啥卵用这东西
我只能说让你戒骄戒躁，不要太骄傲
真能藏
千杯酒已喝下去都不醉
我好讨厌蜘蛛，看着好恶心啊
45级还打不过白衣秀士？你要不是在整活那我劝你还是别玩了
风灵月影，*0.2
刚打完
什么篝火，土地庙就是土地庙
洗点就好了
发音没有h音真难受
豪掺任
北京的景观
WC怎么发现的
玛尼堆？
前面45级的，已经是夸张级别了。如果有数值优势还打不过秀市，虎先锋会让你绝望
接肢道人
完辣
前面45级靠数值都能打死白衣了
要是有断肢效果，能打成人棍吗
正常玩家不可能打不掉，开挂才会有这种情况吧
请问45级了，还在磕白衣秀士，这个正常么
第一次就得到了，不开挂很难不打背后吧？
完辣银行取钱的时候顺手宰了
分身一开+定身全敲碎
啊？我一次就干死他了
沟槽的杨奇英高
花棍
还在藏  还在藏
完犊子
三蓄然后绕后耍花枪就行了
神鹰道人（bushi）
九头虫是吧
丸辣
没有导航谁找得到
新手注意这里有个蝎子怪，打不过可以直接跑
不是凌晨3点半2000+在线是吧
没买显卡的那家伙还很自豪？
我还在雪原
那直接转棍花不就好了
我刚打完啊～
已经错过了！！！
我懂！断尾是吧！
你是真不知道什么叫黑手！敢不敢跟我比划比划？
额们直接就杀了
不愧是盘丝洞
敢不敢跟我比划比划
刚打完，已经没救了
这盘丝洞传送点真多
5分钟前刚打完卧槽
刚打完
错过了四妹错过了黑手道人
好像我打的时候一直gp它无意得到了
盘丝银行—碎玉池
非洲二哥打法是吧
抓帕鲁是吧
怎么发现的
？？？
已经错过咯
飞起来
哦，我说怎么好像打到弱点了一样
太能藏了
破背，断尾
我不看了，我第一章还没过
啊？
看到视频一个小时前，禁字法的我，两套把他秒了。。。
这谁记得住。。。。
我不知道啊，直接打死就有了，手莫名其妙就剩一个了
晚了 刚打完不到十分钟
你就跑一个庙啊你跑图
断尾啊
神鹰道人
第二次遇到他可以断手但没装备了
让你飞起来！
啊？
莫名其妙就那啥了好像
这盘丝洞图给我跑吐了
不需要打四只，两只就行了，战败cg里面自行脱落另外两只。刚刚打完
我好像敲断了几根，但是没敲断4个= =
丸辣
“认不认识我？我是神鹰哥”
我第一次就达到了
棍花拆的非常快
打掉黑手
丸辣
明显失重感
似资是什么
好机会
上号
怪猎断尾？
我以为是全部打掉，一直在磨
我说他怎么说把他手打断了
抬头有惊喜（）
不好意思 我过去就一棒子没了！！！
看四妹的文字故事:嫌弃这四个毒太子夸大其词的求婚
什么魂一断尾
这里有一个毒敌大王的四太子之一记得杀(全杀了有成就)
我已经迷路了。。
京观这个你得问清兵
丸辣
飞起来
为什么叫京观呢
晚了 已经杀了
靠，我才把第二次见面的他干掉
断尾是吧
好看哇
刚打完
打鼙鼓
破部位掉的血够杀了。。全程遛弯就好了
飞起来
卧槽
设计绝了
已经完了
无所谓，我显卡都还没买呢
爽
完了
虾仁猪心
我一次2900
打坐点
碎金池
这里练级很快
卧槽 居然还有这种设计
已经打死 谢谢
++-+
哈哈在打黄眉
我都打完小黄龙了，这里还没来过，，自以为舔图很干净呢，，差远了啊
我直接一群猴子上去，直接把手全干烂了
？
刚打完，测
羽士套的被动也是花下死，打完百目才能造
与羽士套一个系列，但羽士手套那个副词条是毒耐，且没有额外被动
已经错过啦
啊？？？还能这样……
笑了，刚打完
刚刚打完的，去steam云存档同步回来
转发给打二周目的自己
破坏部位
飞龙剑
完辣
千年棍杀
？？
魂1断尾
可以理解为魂1断龙尾巴
风灵月影无限cd得了，搞这么麻烦
部位破坏
打不了重开个新档
自毒神器
我记得有个葫芦喝了中毒，原来是为这个服务的
。。。。。。。。。。
魂1 断龙尾
我这怎么是怪茧
大圣套，不必理会
还在卡白衣
断尾是吧
难怪他说我断他手
完了。。。
完啦
草！刚打完就看到这个视频
安达利尔是吧
掏他当件？
我纯靠蒙，一次就出了，我还以为是必掉的
刚刚打完就推给我
我他妈稀里糊涂就拿到了
游科 这东西藏得好深啊!!!!
刚杀了 伤心
游科这厮是真的能藏啊
断尾！
哈哈，，我就知道 还是慢慢舔图好。。
啊 这还会爆装备
二周目见了xdm
破尾
"我懂了,up就是喜欢攻击boss的后部才能发现的,天赋异禀啊"
啊？
可以用棍花搓背
断尾？
4头虫，玉面狐狸精
唉，火鼠，自爆！
来着官方预告的提醒哈哈哈哈哈
还在撸亢金龙
搁着刷半天经验没看到有个怪
昨天刚打完
直接广智一个头顶插下去就断了
我靠，暴击副词条
这要打4个定身术的CD啊
已经杀了
用花棍不行么？
还好我进度比较慢
到底是谁在下毒手啊
还在第三章，哈哈
，，，开挂一棒子108000点伤害直接秒了
丸辣
《篝火》《刷魂》
←不是盘丝洞，是文盲洞
银行开门了
这叫《碎玉池》
我好像一周目就获得了
比划比划！
啊。
知不知道什么叫黑手？
可是我随便打的也有。把他手打断了
我擦  我刚打完才看到这个视频
【】
卧槽，我用的核弹一棍流，两棍子就敲死了！
让你见识见识什么是黑手
不是 我就想知道这是怎么发现的？？？
飞起来！
？打都打完了，你才说？
神鹰哥
不打他去不了紫云山吧
兄弟们，一周目能打死就打死吧，毕竟先开图，结局不同只是隐藏任务做不做的区别
啊?
开了二周目打完才发自己已经有了
我去不早说
撅了（无慈悲
这装备有用吗，，。。
丸辣
很好，刚到第三章而已
刚打完就看到
棍花就好了
已经司了
这是怎么发现的？
断尾
太不禁打了，没打断就死了，下周目再说吧
很好，盘丝洞还没打到
打了没掉
我说嘛，第二次遇见他他说我打断了他的手，我寻思我也没打呀
我靠···没了
赤髯龙同款纸背
还在藏
gg
握草！！！！
已经二周目去拿了
不如直接从碎玉池传送点
黑手
羽士套，原本是毒伤耐性
谢谢，1小时前刚打完
梦回黑魂一
啊？
打情郎仙也爆啊
wocao
打点是吧
啊这，随便打出来了还是隐藏的？
什么怪猎（
晚了
见标题就知道是毒手
啊？不知道，但莫名其妙就打掉了拿到才刷到
SP
部位破坏好耶
黑手！！！
黑手
6
wc，我刚打完
断尾
啊？？？
逆天
已经晚了，刚打完。。
别打死，先把他胳膊打断四根，在宰了它就有了
我超、丸辣～
设定也太真实了吧
怪猎……
卧槽
好了，开二周目
盘丝洞?
刚打完....gg
认不认识我？（发出神鹰の声）
啊
没用，后期有大圣套装，不稀罕这个
两个就行不是四个 你看他背后剩下俩只手你就杀了就行 不是四只手
这骷髅塔！！梅超风在里面！！
还有这样的啊
没事，我二周目了
?
坐等ce代码，到时候直接改出来就好了
谢谢你 已经把他干烂了
这哪是打他的屁股啊，这是打您的脸呐
断尾机制
丸辣
我是黑手哥
完辣
丸辣
哎我打掉了，但是好像没给？
丸辣
花棍直接打出来了
断尾
不必理会，一周目正常打肯定是断手的
啊？
花了四个小时，开风铃刷了三十级
刚好打不过翻攻略
我碰巧打断了就给了
刚打哈哈哈
啊？
？
这不是银行吗
啊？
无意中打到了
我以为没手是二阶段…
我打到他只有两只手怎么还是没有掉啊
黑神话居然有断尾这个设定吗？
啊！无意得到，以为必掉
怎么藏的 我看看
棍花ok不？伤害不高连段很多，破坏力很强
我二周目都打完了，我就说成就怎么没完成，原来是少一个手
谢谢！
黑手道人神鹰哥是吧
已经K了
？
丸辣
随便打他就给了
棍花别按方向键就是原地放
打死了，一周目没了
我穿大圣套 这个不要也罢
说晚啦，下周目再说吧
碎 玉 池 银 行
我应该也是小猴子打的，因为我压根没留意哈哈哈
感觉刚好，我打的时候没留意过，拿的是狼牙棒，绰绰有余
谢谢，刚打完才看到视频
召唤猴子猴孙直接围殴把手打断完了，我还以为必爆
太苛刻了，我攻击太高没打够4只
谢谢，等我开二周目的时候试试，上午刚打过他
棍花转掉好几个手
牛逼
你说的是风灵月影宗吧
已经跟他比划完了
黑社会道人
！！！感谢
完了我好像已经打完了
刚打完我超
已经干死了…
啊，我以为只要打他就一定会把它手打断呢
这里是碎花池
什么造梦西游4九头虫
难道还有打不断手的情况吗
断尾！
神鹰道人
这个套装自带的手是能做的，但是这个boss的装备也能触发套装效果
我正常打的，掉了
丸辣
神鹰道人
好像小猴子帮我打掉了
累计打掉6就有了
用花棍打行吗
这我懂，破头断尾嘛
飞龙剑?
听到能救一个是一个就不想看了
断肢
神鹰哥道人
很好，我选择大力装备，告辞
一个身外身法，一堆猴子围殴他，手一下就掉了。我都没注意到
昨天刚打完。
丸辣，刚打过开紫云山
谁家小兵台词都没有就被打死了
完啦打过了
卧槽刚刚打完
byd一周目不看攻略到底错过了多少东西
卧槽
断尾是吧
我还以为要打6只，重开了好几局。
我第一次打他就拿到了
八手打掉4个，背上还有两根就行了
下毒手？？？？
其他三（其实是四件）件就是百目套
碎玉池土地庙
刚打完。。。
禁字诀两棍戳跑了。。。
神鹰哥
已经打死了
我服了啊，藏这么多东西，玩头号玩家啊，这样下去要漏好多东西
这尼玛我怎么发现啊
什么怪物猎人
用棍花呗
断尾
这里打不死，他会跑
我也是随意打的，应该是剧情给的吧？
只能下周目了
怪不得找不到配毒棍的东西，原来搁这儿埋伏我呢
用棍花打死就可以了 第一次就拿到
造梦西游4的四头虫（bushi）
破背，断尾是吧
这是怎么研究出来的，真是服了游科
？
这里棍花不好用，会自动往前移，导致打不到后背
棍花不就好了
断尾是吧
断尾奖励是吧
科游还在藏？
卧槽，妖王BOSS 会否 也有这种机制？
可以棍花，频率高，很快
其实很简单，定身用棍花打就行，两波就掉完了
好家伙，还是仙品，词条也顶啊。可惜我都推到第五章了，回档划不来
随意打的 给了 我以为是必给。。
二周目我会在这多多升级
UP能不能加字幕啊~~~最近耳朵不好使
啥，我还在白衣秀士这里呢
啊？
不是哥们，最关键的这个传送点你不说？
藏的很深啊
这是替换羽仙手的吧
其他三件是boss给的吧
无所谓，大圣手也加暴击
已经打死了
银行
谢谢
坏了
6
完啦
疯狂倒档
这个第一次见也杀不死，换个攻击力低一些的武器，定身打背面，4只手就能拿“下毒手”
