《第二十条》？
注意!踢了他一脚
会赢的
爱乐之城
恭喜!入室抢劫!
对方以主观目的去选择伤害，又想判重，客观证据无法证明，请问该判什么（）
王子耀？
新手保护期无了
《论两年内能摔骨折11次》
你前世的名字是不是叫成步堂龙一？
卡尔表示深有同感。
现在少管所都没有了吧
一呀一
乐，抢劫立案
不专业前面能把雇主送进去吗（doge）
我操这书不就是我目前看的吗？
至于扭转局面后到底是好还是坏，就看情况了
原主怕不是得反着来，他就负责扭转局面
啊？
陈不挡
……唉
应该是施暴者要求被霸凌者自己这么做的，然后再趁机拍照片，作为证据
会赢的
霸凌者：完啦！萧范：稳啦！
恶魔保护法
索尔.古德曼（确信）
五万五条够命
更新了赞我，谢谢
现在满12周就可以负刑事责任了
对面表示阿米诺斯
和 脑后开三枪自s 异曲同工之妙
“会赢吗？”“包死的老弟”
大逆転裁判
我来！！！
0.5个夏目
我听到了   魂迁    的回响
有人吗，有人在看吗
612人在哪？
1%去哪了
啊！？
一般阳历晚几天
好牛逼呀
那是河北，你是不是纯前面的那个说河南的？
为什么不加入小团体
玩个梗，洋柿子里面的。《熏文的第一本书》滑稽
《张伟》
空瓶
大运汽车
斩杀线到了
张三专冶法外狂徒
秦元浩就一次好人
青涩果实
好感度上升了，取得信任
正义
蓝色刺猬头：法庭上就是为了找出真相
我悟了
剩下的1%去哪？
过线了，现在14稳斩
添柴
另外1%是输给南山必胜客的吗
怕是变抢劫了
多少？
《这哪是摔伤啊，这TM是跳楼啊》
讼棍
霸凌者:丸辣
《冥气》
褒姒的
相信萧凡吧，相信是不需要理由的
我勒个小中大
他父亲要是有权的话，还是不会成功的
相信权利永远高于一切
权利在你头上，王法不能说话
权利之下，哪有王法可言
入室抢劫，这部局。
那为什么不顾过去？让他给对面辩护
这律师多好啊（doge）
伏笔啊！
还是老样子昊天镜永远的神，每日一昊天镜
好队友
3000就够立案了
张伟
秦元昊长脖子辣！
1%是因为对面是鸭肉是吧
确实知道个球
就是就是
对面有一个小中大
能接到500万标的额案子的律师怎么可能简单
那他家最近的吃喝拉撒怎么办？
.
这是邯郸杀人事件吗？
钓鱼执法会怎么样
异世界大卡车
借东风
香槟倒满了
会赢吗？  会赢的
御剑.夏目。
不，会死的。
成步堂萧凡
强的不是你，是那1%的律师
1000+
张伟
一看就是豪堪系列
神探聂海芬啊神探啊神探啊，高升的聂海芬啊
律政先锋
张伟的事件，成步堂的能力，王牌律师说的就是你
《真·撞大运》
異議あり
不属于，在自己家安摄像合理合法
18岁 斩杀线到了
剩下的被另外一个军师懂得懂得
6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666
6666
你让他敲诈人家花光你追不回的
感觉这里为民除害，比维护辩护人更好
死刑？呵呵，未成年杀人都不可能死刑，更别说霸凌
重视也没卵用，霸凌者永远不会有实质性惩罚
满十四岁负刑事责任要做了大牢
来个城市之光就老实了
老反派秦元昊
未成年（土厨再次乱入
看样子是讼棍世家啊
满十四岁要负刑事责任酌情考虑我是未满十八岁行
富一代不抢国或民怎么会富二代
蟑螂的味道（土厨乱入
说句不好听的一年1200块的房子怎么可能让你为所欲为
看个爽就行了，别扯进现实
只要出示律师徽章就可以了
起码惩治了一个坏人，不是吗？
啊？
耐摔IV
《法外狂徒》的激荡。
学校检查卫生=房东收房时的样子
丸辣
给你补个蛋，我头都大了
感觉原主更有节目效果啊
桌总什么时候有了黄电？
lalaland！
钓鱼执法？
啊！
不去证明伤是霸凌造成的，而去证明霸凌造成了危害！
一群八零的，哪来的理智可言呢？没有理智，知道不这根本都不需要测试
张三魂穿张伟是吧？
秦元浩后有一次没有出场就那个7个女帝拿个吴天镜搞肖凡的记忆
每一个被霸凌的人从来都不是完全无辜的
没有，钱就是王法
这样子虽然拿不到校园霸凌罪，但是可以拿到入室盗窃罪吧
成步堂萧凡（doge）
666
《万年男娘秦元浩》
我带的可是斩杀哦，笨蛋宝宝
呵，18岁到斩杀线了
你就说审没审出真相吧
入室抢劫
出院
亚内武文是吧
異議！
1000+
就三千定罪也没多少刑罚
五等份的五万
你根本不懂得爱我
kp
他儿子被霸凌了，肯定会要钱，那么拿五万或50万在家，只要达到立案金额就行，然后呢，你儿子被霸凌的时候再说没有带钱，把他们带到家里面拿钱，只要他们拿了钱，那就构成了抢劫罪
原告都笑出眼泪来了
等一下下，刚刚是不是出现了个退学的片段？卧槽那学生真的人间清醒了。
《熏文的第一本书》
《重生，再次逆转》
入室抢劫？
新手保护期快到了
熏文？
通常应该是要求他拿到学校的
摄像头：助攻+75*3！
红石“优良”被迫害体质
现在16岁就是有完全的民事行为能力了哦
张三出世
俗称张三
重视(x)瞒不住了(√)
蛇蛇你怎么长胡须了？(月计探头)
徐风来又不当反派当路人啦？
什么时候腰斩
稳辣！
稳了，全部都稳了
我勒个两千人观看
不会稳赢包赢
可以亖了
还回去
6反向操作。
这本书我要了！多少钱？
牛逼
张三上线。
异世界穿越机
斩杀线
“关于摔伤能摔断11根骨头这件事”
出息了24分钟前。
万年反派秦元浩
这点就不合理了，成绩优秀的话老师一般会保护袒护的，设置成一般学生反而更真实一点
占领空屏
我想起了那三个出生
成 步 堂 龙 一
细节三个
劳模昊天镜
第三万个火了告诉我
yee
好事啊
天无绝人之路。
三出生
那不可能是摔的，有可能都是反复被揍了，然后被推下了楼还会断11
谁要找证据，直接创造证据
增加冥气
伟哥
敲诈勒索，可以进去了
每集昊天镜(1/1)
难道他是天才？
2000+了
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
哦，我知道了，只需要用2.5万。给对方就算是勒索，拿出一个录音器之后呢就按定时间直接开启，而且还可以热死我。如果超过两万的话直接送上死刑，未成年保护法都保不了你了。
学校是这样的，而社会考虑的就要多了
玫瑰少年
2000加出来。
包赢的
1000+
万年反派秦元浩
18岁以到，进入斩杀线！
、
法官：入室抢劫，还五次？？
保底鸿二代
WC
请收起你的小计计
《特殊原因》
真实，不透明
王子耀!
撞大运喽
就是是租房，房东也有要求呀
勒索
勒索
2222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
2222222222222222222222222222222222222222222222222222222222222222222222222222222222222220000000000000
000000000000000000000000000000000000000000000000000000000000000000000
入室抢劫！
3333333333333333333333333333333333333333333333333333333333333333333333333333
000000000
MGSMCC
G
L
我同学摔过
不是抢劫家已满18岁，斩杀线直接到了
凌修元哈哈哈哈
一斤鸭梨！
《一个月》
buff叠满了
更新赞我
欸！我有一计！
更新了赞我
稳辣，全部都稳辣
古 美 门 研 介（确信
成穿越了
那1%是？
逆转霸凌
时间差不多咯
进度条:危
彻底疯狂
奖池还在积累
赢会的
6
更新了踢死我，谢谢各位义父义母！！！
我嘞个扫杠！鬼火？
霸凌者：丸辣，拳斗丸辣！
我嘞个威胁，入室，抢劫！
anghhh～～～
更赞！
bgm:Another Day of Sun
Just do it
bgm:Another Day of Sun
空瓶诶
那摔倒确实能给摔骨折呀我以前就摔过
2000+
更新了赞我
智慧生命启动
稳啦
邪恶大能凌修元
三个出生
BYD从火星摔下来的?
双声道！
到斩杀线啦
未满18不是不能死刑吗？
后续踢我
有后续踢我
而且，抢劫不受未成年人保护法保护
这算入室抢劫，五万，多次，算情节严重
入室抢劫
法律：斩杀线已到
张   川
你可以反向雇他给秦元浩辩护呀
2000+
更新赞我！
《刺激》的项目
更新赞我
蓝星没有本地人了
鬼故事：进度条
↑无处不在的逆转玩家
这是秦元昊发的弹幕吧
我还以为学校会保护学霸呢，呵呵，等把学霸全部弄走的时候就老实了
已经开始笑了。
1斤鸭梨
亚内
更了赞我
钓鱼执法
细节，三个人。。。。。。
t我
斩杀线己到
萧凡：包赢的！
破防了
懂了
王子耀
秦元浩老反派了。
会赢的把对手开除后的第一场裁决
包死的
监控没插电，白搭（
入室抢劫
我发十个超火
差一个徐风来
逆天
更新赞我
♂刺激♂
更新了赞我！
偷钱是吧
义父们更新踢我
3000人
不是谁一下子能摔断11根骨头啊
他还是那么喜欢昊天镜
更新踹我
更新
，
3000+
更新了请踹死我
更了赞我，谢谢各位了
OK，到斩杀线了
入室盗窃
更新了，赞我
抢劫。
原来是那三个反恐精英啊
300+
张伟？
包输的
斯内克
成步堂.凡
2000+
那么耐撞，再加上99%的胜率，是你吗？陈不挡
啊？！
红石哥！！
？
成步堂嘛（点头
2000+！
王法？“王”法
3000+
不是12岁吗？
什么刺激的，是新游戏哦？
好了，18岁了，已经成年了
3000十人出来
懂了入室盗窃
包似的
会死的
时辰已到！斩！！！
给你20年，你能赚到500万吗？
一般来讲学霸都不会被霸凌
你20年能赚500万？
3000+
每日物理撞大运（1/1）
看完了一个缓期2年死刑，剩下两个25年有期
那1%是因为什么？
耐告王
仙骨和稀泥！
秦元昊你到底干了什么！
霸凌者刷到视频：精彩，精彩
霸凌导致的费用收款可以判定为霸凌
房租:so
鸭子（确信）
哥们儿再说个包的buff直接拉满。
还有王法吗？还有法律吗?
更赞谢
难他天！
更了撅我
， ′ ？    ？
入室抢劫是吧
一斤鸭梨！
会莹的！
刚满18岁
傻孩子们，快跑啊，没有后续
新手保护期已过
换成年的等于入室抢劫
更新赞我
彻底疯狂！
每日一《啊》
3000+
6
小凡咋这么杜
更赞谢
更新赞我，求求了
懂了，偷窃罪
轻微的故意伤害可以公转自哦
稳辣!
两年三次，多次入室盗窃，数额巨大
混入其中
混入其中
还没明白吗，入室盗窃罪
钓鱼执法
我成尊不就是了
会赢吗?       包输的呀牢底！
把领者必须受到法律制裁，这样的话会判断成那个哦。强行进屋打劫，直接把他们都送进局子好吧
更新赞我，谢谢义父
法律：你满了18岁，对吧？
现在改成满12岁就要接受所有法律制裁
可以立案了）
入室盗窃？
5万？3000就可以立案了
更了赞我
3000可以立案
神经
好的，我好像明白了
死刑死刑
投币过8000了！快更新！
不过比那三畜牲还要轻一点，他们叫畜牲畜牲畜牲畜牲畜牲
Bgm是rosex的需要更多寒冷
现在不论是小孩还是大人都要处罚
成步堂萧凡
《自己摔伤导致一年来11次骨折》
是亢奋的鸡（亨利斯蒂明克）
罗翔穿越张伟是吧
会赢的
省流：开庭
为啥不拿刀砍他们？
更了赞我谢谢
萧凡：豪勒，18岁了，你完辣
耐折王
张伟！
更新踢我！！！
3000+
空屏
2000人都出来不
进度条坚持不住了
《会赢的》
啊？
但是前面的如果只是正常的装摄像头的话，不算是非法取证
钓鱼执法
这哥们能处
入室抢劫
3000+来了
更新了，赞我义父
3000+
秦元浩稳定发挥
2000变3000
snake，是你
《撞大运》
张伟
2000+人粗来
张伟是你吗
出了赞我求求你们了
改法！
张伟我被夺舍了
如果对方有的是钱 不要钱不是无解了
就是(试图混入其中)
稳辣
会费的dogs
OK啊，霸天虎们准备起诉
好一个强行撞大运。
律政叫父
+
原主是不是叫张伟（bushi）
2000多十的人给我出来。
证据已收录
objection！
乐，从教学楼三楼跳下来还是从楼梯上滚下来能摔出十一处骨折？
更赞谢
律师这波十分正义，维护了对方当事人的合法利益，等会儿怎么有点不对
律师也是有脑子的，他是只管辨主，但是这种是不会主动去接的
董红石：萧凡，会赢吗？萧凡：包的好吧，老弟，来，相信我
还真没有
反対する
呵，长大了
《成步堂》(doge)
更了踢我
我超，盒！
天才！
在抓捕张三的路上撞了大运（Doge
这样有实质性证据，还可以给他判抢劫
更了赞我，求了义父
第四场把对面送进去，发挥正常，把对面律师送进去操场发挥，把敲锤子的送进去，医生只发挥一次，把所有人都送进去
到达斩杀线
3000+
《会赢的》
曹操
两边都是16小时前
更新撅我
秦元浩：丸辣！
完结：视频忘记录像了
封面上有数字，那说明至少有1季
没用，少管所关停不少了
反击啊，都未成年谁怕谁?宁愿见法官不去见心率显示器
经典物理
更了赞我！谢谢义父！
我上大学的时候同学确实有不到18的
我也不好说 邯郸3shybee
嘎嘎嘎嘎
到斩杀线了
更新了赞我
更了赞我求求了
????????????????????????
会赢的
更新赞我谢谢义父们！
鬼故事：进度条
算偷窃罪吗 ？
致敬传奇耐揍王
更新赞我
更了赞我
成步堂
懂了
撞灭火器了
张三穿越成了张伟。
会行吗潇律师
《张三》
就算是死刑犯也需要律师的，不然会滋生很多冤假错案
14岁入室好像就可以入刑了吧
混入其中
来场刀战比说啥都好使（）
名刀没了
原主:我们身为律师就应该伸张正义
出下一集想看
我知道身体原主怎么狡辩的了
原告：那我钱呢
成步堂龙一
成步堂掉崖只是修养的身体素质来说，撞个大运可能不会死
更新了赞我谢谢
包输的啊老弟
城市之光
"该说不说,大运还真是一辆卡车品牌"
更了赞我
猜也猜的到是签了保密协议吧？
更赞谢
邯郸
张兆龙，李程，马亚琦（传下去！）
3000+
1%是张律师
鬼故事，进度条
雀食免除了五百万
张伟大律师
更了赞我，求了义父
更新赞我
侵占住房，盗取钱财，好家伙。
1%是啥
OK斩杀上线了
竟然是一天前！
14小时前用核弹热一热还能吃
2000+
律师职责就是为雇主辩护，他可能是个好人，但不会是个好律师
终于上当了
Discussion
好了，18岁了，新手保护期已经过了，可以让秦氏破产了
更了赞我
懂了
____
因为原主败诉是故意为之 因为雇主是个纯出生 所以败诉是好人啊
慈禧（
更新赞我
义父们更了赞我
"wc,邯郸"
更新赞我，谢谢
"我是生物学家,这是出生"
这可以说是明显的入室抢劫呢，如果还发生暴力的话，那可真的救都救不了
张伟的精英团队
成步堂龙一是吧
万年反派秦元浩
都是老演员了
又是入室那一套咯
王子耀，丸辣！丸辣！全都丸辣！
原来是三人校园霸凌导致一人死亡的那件事啊，懂了，懂了。
更赞谢
《少管所几年》笑死，还是没啥卵用
抢劫是重罪
1000+人出来
会萤的
我是一个13岁1米8的学霸。请问有谁可以欺负我吗？
万年反派
某种意义上来说，原主挺厉害的
说的叫一个月你五天就拿完了，这不是抢劫，叫什么？
抢劫是吧
入室抢劫是吧？在家私闯民宅等各种东西可以叠加
稳了
[ohh]
空瓶是我的
更新赞我，谢谢义父
律师，职责就是，在法律允许内为辩护人争取最大利益，不分好坏，因为你觉得他是坏的，但他也有可能是冤枉的
没后续跑路了
剩下%1室是DL6
我嘞个故意偷窃罪啊
好好好
有可能吧？但是一般都是在长大之后吧，就是18岁以后再执行
罗老师回魂
五条悟：对，会赢的
陈不挡
我943普里莫你说我不会玩
感觉不会有第二集，对这个阿婆主彻底失望了
————————————————————————————————————————————————————————————————————————————————————————————————————
非法取证他们也得有证据啊！这种方法他们从哪找证据
不止2000，后面4vv+最后翻箱倒柜这一系列行为都是威胁+抢劫
屋里们有监控，然后呢，就是当他们拿钱就不能再让那个东子明说一句保护会给你们，明明再给你们，然后呢，这样的话不就是可以做到他们收保护费欺负的证据了？
会不会来个异议
办卡x100
你满18岁了，对吧
如果没办法扳倒他们，只能走了
万年反派
搬砖师傅不搬石了——立显专业
这是不是有一点熟系
雷石东(
疑似成步堂
我听到了[罗翔]的回响
后面是不是以入室抢劫
更赞谢
王法就是王说的算的法啊
记住罗老师说的：律师为的是保护当事人的合法权益，而不是维护正义，就像本来三年的牢，不能让他去关无期一样
邯郸
告你入市抢劫
混入其中，混入其中，混入其中，混入其中
爱乐之城！！！
稳啦！
别成为烂梗↑
懂了，抢劫罪！
可能是用脚扳倒的
贴心，还知道多留点证据
入室抢劫
泪目
招黑？这不就是本质么
你就说钱省没省下来吧
666萧律师盐豆不带盐的
今日我若冷眼旁观，他日亦无人为我摇旗呐喊
《不能》公布
更新赞我
这是入室抢劫
剩1%被成步堂一斤鸭梨了
典韦呢？
剩下1%把那个敲锤子的也送进去了
看个小说还那么认真
他主动给你，而且你还威胁他，威胁加抢劫再加个入室盗窃，也是无敌了好吧。
没有
致敬传奇鞋带上吊胡某宇
好
14岁受刑降到12岁了
律师只是个职业，好人坏人都存在
如果舆论一边倒，这名气是负增加吧
校园霸凌不应该是公诉案件么
细节3个人
知识以及一种奇怪的方式进入了我的脑子
卧槽，这么搞不怕人家和你爆了啊
律政先锋
热乎的桌桌
爱乐之城啊 背景音乐
更了赞我
张伟是吧
这算非法取证吗？高中学政治请教一下
这下入室抢劫了
那不还是失效了现实中可没失效
爱乐之城？
法律！
检查！
公！
更新赞我
好！
现在未成年14岁就要负法律责任了。
省流：开庭
因为他没有直接说明，而是被猜中了，所以并不构成违约
承认抢劫而非偷盗
现实往往比小说展示的更残酷
Ok啦，18岁生日已到，你该进去了
那1% 是不是最后一场输了所以才穿越的
異議あり！
[我闻到了万千脑共振的浩香！]
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊？？？？？？？？？？？？？？？？？？？？
张益达
钓鱼，但是对面把法律研究的透彻不中招怎么办
学校是父母的指定监护人?
我还以为是刘不达呢
懂红石：会赢吗？萧凡：包赢的
勇敢去做      √
我感觉这很像是王子耀的案子
1000+！
其实是刑法
更 求赞 义父 懂？
呦，长大了啊
666
律师是不会管的官司的对错，他的职责只是为自己的雇主辩护
1%是被人陷害
万年反派暴打百年反派
给他们说家里有钱，让到家里取，进门之后不愿把钱给他们，于是有冲突这样你不仅被打了钱，还被抢了，而且摄像头全录下来了
出生啊！
张伟是吧
空瓶
这不能赖律师，你当事人不早说啊。早说就这样算了
什么逆转裁判行为
旧事重提
旧事重提
旧事重提
河南那个已经被遗忘了吗
众所周知，涉案金额超过2000就可以判刑
财产损失之类的？
建议等两天再看
不要进去，不要进去！断章！
呦西 18过了断头日到了
屏幕前的你，赶紧投币，别逼我跪下求你
入室抢劫是吧
注：本集对应原作第七章
我懂了！
会的会的会的会的会的会赢的会赢的会赢的
代入感很强，血压快爆表了
说指纹的笑到我了，基本上只有刑事案件才会用，民事案件着重维持社会秩序，谁弱坑谁
能赢的那1%，一定是绝世高人吧
成步堂龙之介
前世是成步堂龙一
出息了，只差五个小时
张伟翻身变罗翔属于是
这个学霸有脑子，已经猜到萧凡要干什么了
《秦元浩最不得好死的一集》
正亿
这个事情可能有简单的处理方式。把他送过去学几个月的散打那种。功夫之类的。然后他就能化身成格斗王，暴揍他们。
盲猜1%输在雅柔身上
好！很有精神！
入室抢劫
简单，你先报警再转学等事情解决，如果他们被送进去了，就重新回来，如果他们没被送进去，那就不回来了。
叠，继续叠（doge
为什么夏目没有去？新宿战场
←心思不正，品行不端的律师还是有的，你看到的大多数真的是大多数吗？
不转学？
万年反派 秦元浩
罗老师表示，真的吗？
还是挺不错的
微调
丸辣
未成年人犯罪法：你好
着不就是我吗？
啊？
请你吃花生米
1千人都出来吧！
王法能判王有罪么？搞笑
应该学古代，小时候犯的罪长大再判判
入室盗窃，且金额巨大，这不判判一些都说不过去
击空梦
说好了啊，把你的蛋陪一个给他，当然，别的也不能少~
击空梦
大运汽车
送进去二十年不是因为作恶嘛？。。。
张伟
我家还蛮大的
蛋也赔不起
逆  转  姐  妹
成步堂是吧
丝内可？
朱雀
入室抢劫
更，赞，父，懂？
院审，启动！
入室抢劫
1%的概率是对面还是自己
好像比这里要早
这个不是在百家号发了吗 ？
我听到了「畜牲」的回响
新坑反派秦元浩（1/1）
撞了大运卡车
招灾
笑死，律师不就这样吗？
四大反派集齐
一般来说经济类犯罪不会免除财产罚
他的彻底疯狂呢？去哪啦？
《逝家》
这么没用 换个地方不还是被欺负么
法外狂徒张三呢来救一下呀
三月七（智慧版）:一般说会赢的人都输了
那百分之一大概率是那个律师判错了然后把律师也告了
！！！
罪名已成！游戏结束！
钓鱼是吧
这也能信？
斩杀线到了，该惩戒了
三小时前，用岩浆烫烫还能吃
张益达
一袋鸭梨！
每日一“啊”（1/1）
张伟，是你吗
张三啊
《哼！猖狂！》
6
細節3个！邯鄲
很久没有经费了 ！！！！！！！！！！！！
盲猜没经费
每日撞大运（1/1）
不相信是需要理由的↑
1000+人？
《萧雪峰》
张  雪  峰 进  入  了  直  播  间
逆天故意伤害罪成自诉案件了
（张雪峰进入了直播间）
3小时
你这个防卫，在他人未危急自生生命的情况下是要坐牢+赔钱的
卡车叫大运
前面说直接干掉的一看就是知识欠缺，
诶呦我，怎么真有逆转厨
萧凡:不要，太容易死老婆了
我是黄金矿工，这就是神金，谁tm的摔伤给自己摔骨折11次啊？！
同学
一但警察发现你可以控制自己那ok，坐牢去吧
只有那种控制不了自己的才能免罪，而且该赔钱还得赔
昊天镜，死去的回忆又开始攻击我了：李天命，逆天改命
学校是这样的
21:191000十
空瓶我的
我听到了破万法的回响
有点想起了那位故人
那身体上应该会留指纹吧，留了指纹去验一下就行，然后反手再起诉就完事了
还活着，不容易了
1000+个人在哪儿
什么三个？这有一点点像。
没记错的话，好像16岁就可以了，那都18了，准备准备找一下阎王爷吧
中式居合
即使现在他们就已经可以进去了
判处死刑，立即执行，反复执行。
投一下币啊！！！！
多次入室抢劫了，且金额数大
喝，长大了
不专业，怎么把己方当事人送进去20年？doge
国服律师
18岁成年了，稳啦!
赢定了的反义词是输定了
会输的
666，这个萧是桂
猜到了
1000加。
罗翔目光一闪，什么罪死罪？（霸凌者）
啊
知道了，入室抢劫
m                                                                                                  m
啊？！！！！
不死刑也无期了
还18岁，稳啦
隐藏摄像头
进度条危机
2小时前勉强可以
牛壁壁的是那，1%
什么叫别抹黑律师，就算大多数都是好人，也会有坏人
1万够了
董红石怎么落幕啊？
右下角，桌桌暗示拉满
进去吧你！！！
《圆桌直播》
@真想不出什么名儿
（头）
简直就是天才
懂了
懂了！！！
我听到了【张三】的回响
最支持的一集
打破每个承包空瓶的梦想
不是，你停在这个节骨眼我很难给你点赞投币啊喂
我嘞个晓刚，这个在我书架里
好家伙，debuff拉满
就算他是给你也直接抢过去了。
细节三个人
14就失效了吧
2小时前
更了赞我，求了义父
我来了！！！
细节三个人
求更新
犯罪成立
抢劫
盗窃是吧
秦元浩万年反派(除了十日终焉
满12岁就行。
我丢，20分钟前太烫了，太烫了
2·5：确实
逆转裁判
成步堂龙一
好像听到有人说我名字诶
人身威胁，等对方行动直接告疑似谋杀
那如果你弄得很邋遢，你走了之后怎么租出去呢？还得他们自己弄。
死刑这个就离谱但也希望80能死刑
细节双声道
省流：开庭
叶永志…
王逸琎：不是哥们，你玩真的？！
多次、多人、大额、有黑社会性质？
我觉得要是说反对的时候配上一斤鸭梨就是议案。的日语
新手保护期过了
大运重卡是吧
你是张三？
这东西交给成不堂就可以解决
来的挺早[狗头]
律师还用摸黑吗
支持！！
他儿子不会叫董小时吧？
有一说一，挺热乎的，2小时前呢。
啊？
啊？
为什么不是上海大学
摸黑啥，律师是看钱办事的多。律师没那么神圣
不能转学吗
出新番必须投币支持up
完喽，入室抢劫铁证如山。
不打逆风局是吧
酷
撞大运：习惯了
死刑立刻执行，反复执行
啊？
入室抢劫坐实了
未成年小出生
万年大反派秦元昊
啊
看的我好难受。咋还不快点开庭？
2000+
可以告间接伤害罪
萧凡：确实
理想主义者：成步堂一家
是啊是啊
和着早成年了
剩下百分之一是王都楼是吧
钓鱼？
大学？监护人？
懂了，甲方是爱情公寓（doge）
一个多小时前还算热乎
为啥不转学
一个小时前
应该叫贾君鹏
强烈支持
入室抢劫是吧
《第七翼凡》
objection！
那8000确实是，但那2000是抢的啊hhh
死刑全部死刑
多次
Better call 萧！
刚满18岁～
《无限阅读》
太好了，硬币之力是这样用的小子！！！
仙蛊！
我爱说实话
虽然说我不懂，但是，我不能让别人占领空置
2000+人露个头
老师，视频好看吗
是你张大炮
-+
是你张大炮
《摔伤》
团伙入室抢劫还伤人哈哈
神（明）金（色）↑
那可不就是成步堂嘛（因为被陷害输了一场）
其实是刑法
弄成入室抢劫是吧
完喽
@城市之光
来来来牵手手，牵了手就不再没事了啊。你跟他道歉一下，你们还是好朋友
斩杀线到了太准确了
萧凡：吾日三省吾身…………吾没有错
欸，我有一计计
不是盗窃已经是抢劫了入室抢劫
两千多个人给我出来
啊？？？人形小强是吧
天天都有空瓶犬
来了
入室抢劫
666
刚好拿5次，金额够了就属于敲诈勒索，还是多次这下肯定死心
3
一小时，热热还能吃
？
《大学生》《未满18岁》
马菲返场失败
上面的，一看就是空瓶犬
成年了，也可以判刑了。
空瓶空瓶，TM天天都有空瓶犬，喜欢空瓶是吧，那我就摧毁空瓶。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。，。。。。。。。。。。。。。。
我悟了
哈哈哈，你晚了
王     子     耀
又拿到一个空瓶
强烈支持
《我刚满18岁~~》（doge
鱼儿上钩了
我在此地拥有空屏的主权
我都快忘记昊天镜了
这不就是王法吗？
用岩浆热热还能吃
承担法律责任的年龄不是16岁吗
不不不！有知识的流氓才厉害。你们知道我在说什么。。。
除了十日终焉那一次，秦元浩都是反派
危
战绩可查doge
