小黑狗偷衣服
孙悟空和八戒我还能理解
？
游戏这种载体的文化输出能力太强大了
人家乐意
西游记wiki
？？？？？
？？
国人无门槛游玩哈哈哈哈哈哈哈
我推荐动画片版的西游记
讲得好
？
已经卷入了，有意见就是不爱国
没文化游戏都玩不了
有啊
离谱
???
风灵月影宗广收门徒
被吓晕
啊？
哈哈哈
？？？？？？？不行！！！！！！我绝对不同意！！！！！！！！！！
火批逆天
吉吉王国走出国门
abandon！
？
跟风而已
管他的，能炒起来就行，先有热度再说深度
并不冲突
？
有老外开始关注咱们的文化，真是一个好的开头。
？
奥特曼图鉴
猴哥啊
白宫严选
有翻译版吗
“洋文的就是好”
这个我们英语老师在课上放过
666
这是大论文啊！
《孙悟空与七仙女不得不说的故事》
确实
啊？
哈哈哈你怎么知道我看过藏空
这是真·老玩家
孙悟空和林黛玉的CP都有
猴王传
离谱
外国人孙悟空崇拜挺早的了，初中英语教材有一篇文章讲过
吴承恩，淮安人骄傲
86版
加纳
投币！
啊？
我也想看
输出，全力文化输出
截至8月21日，一共9条评论
建议学习中文阅读西游记原著
调查就调查呗，顶多被提出美国市场
我勒个景元啊
nm
四大名著持续发力
大圣怎么变冲师逆徒了！？
其实吧这个看夫人心情
想要中文版
啥猴子王
看过一遍白话
之后老玩家发现没有难度选择（doge）
文化输出
爱来自天竺
我想看诶
骨灰玩家
看西游记长大的真是赢在起跑线上了
这个无头老哥的陕西口音非常带劲，弹唱音乐老好听了
四大名著不是小学初中要求读物吗，难道有人没看过四大名著？
？
啊？
这样扣分，我玩巫师的时候也没看过小说啊，让傻老外自己琢磨去
？
啊？
CP粉真的逆天
敢问路在何方，路在脚下。
加纳~
修自斜月三星洞 师承风灵月影宗
修自斜月三星洞 师承风灵月影宗
黑风山那一集挺吓人童年阴影
修自斜月三星洞 师承风灵月影宗
修自斜月三星洞 师承风灵月影宗
写篇论文？
hhhhh
这盛世如你所愿
哈哈哈哈哈
都学会抢答了！！！！
6
为什么不和兔子精或者白骨精
买英文原著，看不懂但封面必须英文
有中文版没啊
也是一次很好的文化输出
这样也挺棒的。让老外了解中国文化的博大精深
这么多年过去，也是迟到外国二创饭了
啊？
印度的是吧
哈哈哈，thunder sound temple
哈哈哈哈
我也想看
oh oh only you~~~
啊
黑色神话哈哈哈
我看过原著，但也只看过一遍，早忘记了
666
“小帅”版
云西游记养成
因为西游记才对游戏有兴趣的又咋说？
有一种要中考的感觉
梦幻西游的竞技场PK背景音乐好评
金刚
该出奇兵了
梦幻背景音
老cp了，都多少年的官配了
真正的互联网精神
中肯的
孙智正老师重写的西游记感觉会更适合国外玩家读
专业
中国自己的文艺复兴开始吧！
笑死了路径依赖是吧
什么才是祖上严选啊！(骄傲
这个画风好像是画过伊利塔特和奥德赛的一个太太
看白话文的就行来了
是这样的，我玩的时候我对象也有很多地方看不懂，还得给她讲西游记的剧情
哈哈哈哈哈哈哈哈我还从来没想过这个角度，太有才了哈哈哈哈哈
不如86版的
？？？？整点阳间的CP吧！猴哥跟哪吒炒CP也行啊！
应该看文言文版的
啊，这还是算了
ign中国和ign
哈哈，看剧吧，毕竟很多中国人都没读过西游记原著
下一部就是三国路
游戏同一世界
我当年玩游戏笔记比课堂的厚
Bro，你是真饿了啊
？
读七龙珠
出奇兵
唐僧只和女儿国国王有过CP
速通法：看86版电视机
hhh猴王
不地域黑，哪里都有明白事理的人，也有满肚坏水的人
？
两开花就算了吧
Monkey King美猴王。啊，虽然说语法有一定的错误，但是毕竟外国人
就是叫monkey king
鹅厂别搞
别骂了 ok？我破房了
希望不会
nb，我都不知道
这必须！下一部出黑神话：曹操！主打一个四大名著与西方文学的融汇交流
学习源自于兴趣
？？？不是你等会？？？
预言家
十年磨一剑
世德堂本！！！
啊？
止于虎先锋
86版
哇，这个肯定看起来贼爽
我建议看86版的
我去，你这文案抄的吧，之前一个女UP就讲过
这是真大佬
文化输出很重要，让他们主动去了解
懂王不会这么干
突然觉得孙悟空和白骨精cp都很正常了
确实就是monkey king
啊？
我都打算看遍原著再玩
猴王哈哈哈哈
游戏带来的文化输出太强了
w00
四百多年前的原著
哈哈哈我支持
饮月厨狂喜
还有人找错书看成三国演义的
什么CP都炒对你没好处
该出奇兵了
沉玉谷bgm！豪庭！
？
彪哥
文化输出
先喜欢游戏才会去了解背景故事
无所谓，先把摊子铺开，总会有识货的上门
我就说这bgm怎么这么熟悉……是3.8夏活
？？？？？？
啊？
？？？？？？？？
[OHH]
666
哈哈哈
唉，这活整的好
啊？
游科牛逼
擦，这点非常离谱
6，太懂了
黑水浒:宋江
看点电视剧不错
国外翻译的基本都是百回本西游
师傅在上
六小龄童老师的含金量还在上升
就应该自信 西游记可是四大名著啊·
雀食
太对了哥
6
？
原来是LGBT，太超前了
看完西游记以后发现，一点儿关系没有
最后还可以跟他们讲讲绛宫雷和水脏雷（bushi）
文化输出，六老师的含金量还在上升
最后一点，那么多BOSS你跟我说敌人太少？？？
???
也是轮到他们学习了
我勒个文化输出啊
？？？
啊？？？？？？
卧槽，预言家
原神的bgm
太像了
哈哈哈哈哈哈哈哈哈哈哈哈，成八戒了
？？？
逆天
哈哈哈哈哈我也想(doge)
都给我学!
他是懂美国的
真是饿了。
啊？？？？
咱们这里也很多同人啦
给外国人一点点文化的小冲击！
礼乐崩坏
。。。金箍play吗。。。
for  an indie game 是什么意思？
woc兰州白马浪
猿神好评
建议加上韩国棒子的解读，热度会翻一番
黑贵族：红楼梦
黑武将：水浒
研究生!全都是研究生!!!
bro觉得老外来旅游是好事
没事，四大名著还有三大名著还可以继续输出
牛逼
]
哈哈哈
这里建议从汉语学起直接读原著，英译再好也会失掉精髓
这才是文化输出，而不是露背黑丝
吉吉国王
啊？
美国贴吧？
真羡慕他们没看过西游记
啊？？？
美美与共
？
西游记的核心：没有霹雳手段怎显菩萨心肠
我也想看了！
？
？
已经被针对了，看看最近的水军
monkey brother
邪门
道理我都懂，但是你整个梦幻西游的bgm有点搞了
印度网友吗
我觉得我们不用太纠结，多一个人受影响爱上西游记爱上中国文化，就是好事
这bgm好古典优雅
这还用问吗？有多少个卵就有多少个XD
他太了解自己的国家了
肯定有
？？？
吴承恩：你们就看吧，一看一个不吱声
感觉里面藏着几个国人2333（
我估计三哥也该出来蹭流量了
好看的呀，我小时候最喜欢西游记的故事了
梦幻西游！
这个好
?
?
双手赞成
美猴王
最好86版。
不用担心，自大便
吉吉国王
俺也一样哈哈哈
不重要不重要，不在乎他们在不在乎
道教真哭死
邪门
下次做封神榜
请问可以当博士毕业论文么
精准
蚌，没有初中级别的语文功底根本看不懂
？？？？？
？？？
这是因为有些人把孙悟空当成完全的主角了，其实并不是。他的主角路线索引是由玄奘和悟空两个人共同组。
国人都没几个看过原著的
不是哥们，每个章节的标题不就是总结吗
西游是儒释道
梦幻西游BGM
给游戏研发的文案团队提出巨大考验
牛掰
我们高中老师给我们看了一学期这片
圣地巡礼还有机会是外国人到中国来
猴哥养活了无数海内外博主啊这是
逆天
甚至是看到黑风山偷袈裟的那一章）
吴承恩：“稿费怎么突然暴涨了？”
好好好，终于轮到你们了
八戒：那我走？
可是我小时候也是《浪客剑心》→日本现代史→中国现代史→帝国的扩张→资本论的呀
原文的文就是白话言文跟白话一样，四大名著都差不多的，读下来感觉就三国演义文言文感最重，其余三本感觉上
初一必读
最要命的是，这80多万字是个压缩包
颇有种我们狂追索战锤设定的感觉
？
悟空传
继红学之后，猴学后发制人走上世界
《有所了解》
？
好吧
翻译：我是文盲
休得无礼
啊？
我等游戏时候跟朋友重温八六版西游记
文化抵制不攻自破
外国是这样的，国内玩家只要干等游戏发售就行，外国玩家要考虑的可就多了
八戒：我也是只猪啊
嘉靖朝的政治格局
《黑瓶梅》doe
猴王？
还真需要，玩法环时一有时间就去了解剧情
不应该是猪候CP吗？
？
也算是两开花了
？
什么叫国际巨星啊？（孙悟空）
这是真懂美国的啊
两开花版本（指正）
八戒:那我呢
啊？
草还真没准
和我玩战神一样，希腊神话不懂怎么做解析
什么东西都是量变产生质变，刚开始连热度都没了，那才是真的凉了。
这个我们高中英语课看过哈哈哈哈哈
你诽谤啊
难道有人玩084不会读一遍原著吗？
非常有！好不好！
不自觉地笑了
黑学与魂学天下第一!
心猿意马，悟空是我们的人心，他有72般变化，喜怒哀乐，悲欢离合，一个念头十万八千里，悟空就是我的人心，人心要学会悟空
咋们也终于也能文化刷出一次了
爱来自西天
哎哎哎 还是说说罢了国内出多少关于猴哥电影了
看的是观音禅院黑风怪偷袈裟那一章
满药满符，全身16加11求组！！
满药满符，全身16加11求组！！
文化输出！！！爽！！！
这哥们明显是学的走火入魔了
师父：你也不想取不到经书吧？
放肆
文化输出
游戏里是真的按原著来设计的
预言家 刀了
通关报告，原著。剧情原著后，甚至游戏设定都是原著
文言文版
炼药の小曲
？
枰（ping）：棋盘。秤：cheng
mk
逆天
日本网友是吧
哈哈哈哈我也想看
梦幻西游
啊？
？？？？？？？
AVENUE X
刚才我真的要摁关音键
做完这个公司再可以做一个封神演义。
？？？？？
有心了啊
"单机玩家会在意游戏故事的.,如果有原著不看一下很难入剧情"
也不是不行
艾尔登法环不是吗
这才是大儒辩经
大话西游版（确信
红楼绝对不止是恋爱哈哈哈，如果外国人读懂红楼，那才真是出师了
？
回来了，我感觉都回来了
这下真可以文化输出了
这不梦幻西游长安竞技台的pk bgm吗
备点降压药吧爷爷 这boss能给人卡疯
瞎看了开始哈哈哈哈哈哈
风灵月影：选不了难度？
你！给我读西游记
要知道，我家里可是有成套的魔兽小说的
自己人！
别别
前面的吓到我了，我以为你要黑红楼梦我刚要暴起
吴承恩老师养活了多少人
哈哈 等到破天机会
牛逼
哈哈哈
兰州！
坐等出本
不一样哦，最起码我能看懂部分英文，他们能认几个汉字呢
文化输出
三哥？
中国对世界的献礼
吴承恩还是太全面了
直接看电视剧英文版岂不是更省事
我看的就是这版
原神:你怎么用我沉玉谷的BGM啊（doge）
我就为了黑神话看了原著，以前读书的时候还不愿看呢
啊？
这才是宏大
老外更喜欢 七龙珠
很中肯呀 谢谢
哈哈哈哈哈哈哈哈哈哈哈哈
我都没看原著……看的是电视剧。。
印度人知道不知道，西游记就是讲去他们国家的故事，哈哈哈哈哈
别说他们 我觉得我也得补课。。
一个加强连吧
哈哈哈哈好棒啊
wwww
哈哈哈哈哈哈哈哈哈
好好学好可爱
幽默8分
哈哈哈哈哈哈
两开花！
变形金猴
黑神话·悟能
注意看，这只猴子叫小帅
6
文化出口转内销了这下
好问题，七十二变到底是怎么样的变
某二字游戏白宫严选
这个真的牛
文化不自信的美国是在干嘛这样的
？？
角色技能介绍
但是没有剧情模式
并不是自嗨，国外好多人也很喜欢中国传统文化
不是？
啊？
这位更是天竺玩家
只求拍封神的文盲导演离中国古代名著远点。除了金瓶梅，应该是他的风格。
啊？
a ?
黑神话成功了。还不得给吴承恩大神上个香
泪目了
啊？？？
就算是不同文化背景，但是真正的好东西，可以跨越时间和种族
我焯，铁！
？？？
书虫系列
坏了，冯冀设计的太难了！
啊？
啊？？？？？？
啊？
这下真的文化输出了，不过西游记好像国外本来受众面也挺大的
这就是我华夏的文化输出
啊？我能求个中文版么
太棒了
无奈啊
仔细看wukuang
世界人民大团结万岁
国外的评分就是战斗的开始
titok
日出东方，天下大同的时代，就是今天开始了！
看央视的动画版西游记也行
该出奇兵了
87万字，还是文言文
可以可以
啊？
原神沉玉谷的bgm！
这个无所谓，他们开始讨论了就好，我们大多数人不也没读过原著吗
坏了，我从小到大只看过电视剧和电影，现在不看原著都要比不上老外了
我玩造梦西游的时候看到吕岳之类不熟悉的角色都会好奇想去翻一下背景神话故事的
蛮成功的文化输出
潮流老登
呐，这就叫专业
本身西游记的故事很吸引人的
这波文化输出拉满了
牛逼
老外好多中文系的学生学者 兴奋坏了 人人都入手了黑神话
这可真是祖先下的宝贝啊
补药啊！
这是真正得文化输出啊
《法术大全》
民众间不应该因为政治而疏离！
?
给我扔把狙
民族的就是世界的！
西游记真的好看，老外也会感兴趣
monkey brother（doge）
啊？
然而这并不是缺点，黑神话游戏本体虽然没写出完整剧情，但特喵老头环一样是碎片化剧情，不去了解背景更本看不懂，所以这只是外国佬的抵制行为
加纳～（佐助本佐
这很美国
很正常啊，藏空的文挺多的，但是戬空的更火
86版的西游记
害是那句话：几千年的中华文明就是最牛的
风暴边缘是风暴英雄吗
风口来了
这不是由我们
龙珠
资料片了属于是
我的天。。这有点论文的意思了
说实话很好的背景体系，完全可以有像龙与地下城这样类似的DND
四大名著 我和你闹那 慢慢读吧！
hhh这个版本我们英语老师一有时间就给我们看
肯定啊 我玩讲究细节的游戏都会最做课
猿神，启动！
毋庸置疑 孙悟空是西游记唯一主角  作者是个猴吹 删掉了以往所有猴子不好的一面
新·老玩家
有！！！必须狠狠文化输出！！
？
西学家
啊？
BGM？
啊？
卧槽这BGM
啊？这有点太冒犯了（
别变身 我要的就是猴子
离谱
？？？？
这个up B站有号：x avenue
这才叫文化输出
该出奇兵了！
原神:我熟
这下听懂了
《谢谢你，罗贯中！》
不能让他们看西游记电视剧和动画片吗
该出奇兵了
《最游记》(bushi)
布什，戈门?
啊？
别笑，他俩师父的相处方式小时候我看得好尬，长大才知道为什么我会觉得尬，我不是腐女见两个男的都意淫，他俩真的好暧昧
前面的，猴子和杨戬cp可热门了
？？？？？
虽然大部分人没看过西游记原著，但改编拍的86版到现在都还有得看
你玩魔兽世界，看了多少背景故事
逆天
华侨做解说这些更容易
6
好像是璃月的曲子
？？？？？
“72变”又可以关联到“风后奇门”
啊？
CP粉 没办法 就和毒瘤一样
只要看过86版 游戏里七成的内容都能轻松理解
老祖宗赏饭吃当然香啊
你们……直接读原著啊……
看86版的
战天斗地孙大圣
这跟我玩战神一样，没点北欧神话基础真tm就玩个热闹
游戏里一二章这不就搞懂了嘛
最后由衷的感谢吴承恩老师
文言文版
帅呀
致敬
注意看，这个马楼叫
两年前?
哈哈哈哈哈哈爽！
这是宇将军AI换脸吗
美团
这这这……
不积跬步无以至千里
剧透自己笑死我了
两者皆有
3D同人也差不多要来了，这里说的是孙悟空和唐僧
养活半个文娱
幸亏一放假就放西游记电视剧
棒子已经为西游记和孙悟空申遗写了不下20个文案了
天竺少女
和中国针锋相对的是美国政府，不是美国人
bgm：明月照翠珑-HOYOMIX
看电视剧
同一个世界，同一个梦想，是吧？
。。。。。。。
pilgrimage west
文曰小强
这个币留来有何用！
道教文化和佛教文化的冲突
教培
你做了八戒想做的事
老玩家
不是哥们
真make
官方设定集不看怎么玩游戏
故事的背景年代还没有美国
压缩版
我觉得要说一句，西游记和三国在中国都是四大名著之一，老外可能更有兴趣
西游记就是黑吗喽官方设定集
哈哈哈哈哈哈哈哈，只有美国人了解美国
歪了歪了
中美两开花
看过修仙小说的老外，相对好理解些
？
不是女儿国国王跟唐僧的CP吗
？？？？？？？？？
我去，有中文版的吗发我一份
鸡皮疙瘩起来了
是这名字
是名字
好嗑！
布什戈门，真研讨上啦？
哈哈哈哈哈哈
完了，冲我来的
猴王
啊？
这可聊的太多了
啊？
搞得跟真的一样
？
给国外大叔上点风灵月影震撼
这个我看过讲挺好的
像当初流浪地球出来时一样，水军疯狂黑
这是岛国还是三哥网友提问的吧
四大名著最有趣的就是西游记了，并且可浅可深
不止佛教哦，还有道教
我想要这个文档，谁有
五行山
哈哈哈哈
？
增援未来
这视频我当年看过
黑猴沉航母
黑水浒不是李逵？
《考研》
我们爱美丽卡有自己的“审查”和“墙”
我玩战神猛看北欧神话哈哈哈
？
确实太深了
？
还真是
我记得我以前学过这个译名
正确的，中肯的，一针见血的
啊？！
应无所住而生其心
？
此加纳非彼加沙GALA
文化压缩包
？
但是好歹能看懂一两个词
啊？
6
该出奇兵啦
景元bgm
饮月
有生殖隔离
包的
别骂了别骂了
我觉得先看电视剧是最快的吧哈哈哈
怎么还是原神的bgm
side eye
光看西游记还不够啊，还得了解点天干地支之类的，佛和道的东西
包赢的小曲
梦幻西游
我也想看
你是从敦煌来的吗，壁画这么多？
哈哈哈 这绝对是【攻略】！
噗哈哈哈哈，这个还真有
还能说儒释道三家关系
太平洋两岸优秀的匹配机制
帅！
？
？
西巴棒子：吴承恩是韩国人！
？不是哥们
我记得日本版的西游记唐僧是女的，好像是孙悟空，有点忘了
典
啊？
还有猴哥和黛玉cp呢
总会有的，跟风的自然几天就失去兴趣，喜欢的自然会沉淀下来
哈哈哈哈哈
？？？
绿水浒 赤红楼 白脸曹操叫喳喳
好家伙
定海神针铁，如意金箍棒
自有大儒为我辩经
加纳～
无所谓啊，都好啊
啊？
提问：大圣的武器原名叫什么
明代百回本西游记（bushi）
？
西游记光是国内都能解读个几百年
当然是86版
有些人出生就在天竺，有些人则需要不远万里从东方国家徒步前来取经(bushi)
那不叫变形，那叫变化之术，哈哈哈哈
美术上全是细节，不光有写实的建筑和景观，还有隐藏在环境里的文字
？？？
梦幻西游 帮战
哈哈哈哈哈哈哈
我的宝贝袈裟~
这就不得不提到那一对孙悟空和林黛玉了
为啥不看电视剧
啊
这个没必要，这个早就有了
文体两开花
官方周边小说↓
上一个爆款2077都没黑火
没关系，有一个是一个
《猿神》
这一章不是刚入门吗hhh
学杂了学杂了
哈哈哈
我女儿马上初中了，小学老师给她推荐了两本假期读物，《朝花夕拾》和《西游记》
初二下人教版课文中就是monkey king
翻译成英文字数怕不是要翻倍
会不会有买到西行游记的
然后国内一批懂哥说“自娱自乐”，孝
三哥？
感觉好骄傲啊！
博士论文是吧
看动画片就行了
天下大同
点赞干嘛！愣着啊！
还好孙悟空不是黑的
LGBTQMI+
这样子做好评 直接三连了
现在的好莱坞确实越来越拉了
好一个文化输出
我去老玩家
啊？
不是哥们
这下小学生做读书作业都可以上外网找了
？？？？
逆天
这下真文化输出了
世人无不喜欢悟空
逆徒
我测我也想看
啊这，我有一个朋友也想要
啊
逆天
水浒传估计是四大名著里面外国读者最容易理解代入的一本
《大乘佛法》
果然全是界的人都一样
没个地方都有有钱人
哈哈，72变就72期不重样了
真要说起来，还得再看本山海经
夺宝幸运星？
啊？
猿神，启动！
布什，已经在西天了何必取经
爱来自墨西哥[心心]
？
爱来自美国
用的原神的音乐是因为原神除了音乐已经没有拿得出手的东西了
86版
买了只是买了而已
注意看这只猴子不一般
哈哈哈哈哈哈哈
哈哈哈哈哈哈哈
哈哈哈，牢歪也有今天，哈哈哈
啊？
哈哈哈哈哈哈哈哈哈哈
这是预言家了
好好好
《梦幻西游》BGM起
.0
？
得文化输出，国外知道的都是七龙珠里的悟空
？
我推荐86版的
我看他真是饿了
啊？
一本《西游记》盘活多少古今中文人啊
哈哈哈哈哈
黑三国：五虎
一个小公司小团队，震惊了世界的游戏界，那些大厂不该好好反思一下吗？
你内涵到我了
刚开一局，真不错
一口读完西游记
书虫
这不就是你在看上古卷轴，看什么战神那种感觉吗？
草，bgm是原
就算跟风也不错，以前老外谁会去了解西游记
你知不知道什么是当当当当当当~~
西游记是中国古代儒释道的集大成者，他基本上都涉及了
我买的就是这个版本
啊？
猴哥，麻了
背后必有汉人指点
？？？
这来不及了吧
？？？？？？？？？？？
交配
猴学人数激增
？？
终于该老外看不懂了
当然是生一窝
猴子王
救大命啊，当我没看到吧
我们大部分没看过原著，对西游记的理解也是六老师的作品
再看一遍白龙马，西游记动画片
国家安全哪里需要往哪里搬
非汉语母语者看原著？
我靠梦回高三，课间老师给我们播过
沿着这条康庄大道稳步前进吧
.
魔法能力哈哈
外国世宣皇帝
文化输出算吗
我看外国作品时选修了西欧史
？？？？
？
？
西游记其实是儒释道结合体。菩提祖师就是三教合一
建议直接看西游记86版哈哈哈
"i am Monkey KIing, the king of the fruit and flower mountain!"
啊嘞嘞(?)
感谢吴承恩前辈
啊？
？？？？？？？？
这下变我们文化输出了！
一夜看完布袋戏是吧？
细说ign
邪门了？？？？？
这是初中必读，已经看了好多遍了
黑神话前身斗战神，斗战神的蓝本是悟空转，只啃西游记够呛能理解剧情
monkey brother
我敲，文化输出
很好
牛逼啊
天才
猿神，启动！
你了解林冲的生存背景吗？他要是叫做软，你算什么？
据说黑神话悟空有近1/3的地图及怪物是隐藏起来的，也不会告诉你弱点；而线索、解锁道具、压制道具就是西游记里对应怪物的法宝、收服道具什么的
死去的耽美小说开始攻击我 我看过一个杨戬0孙悟空1的古早耽美文而且写的巨好= =起码十几年前的文了= =而且是主攻文文笔好= =救命
玩了一会我觉的8分是中肯的
世界人民大团结万岁！！！
？？？
玩猿神玩的
不如去看西游记电视剧
呵呵，你爱了解不了解
为什么只局限于夫人，她的孩子们呢【doge】
那叫古典白话文。初中还不敢看那就太胆怯了，又不是让你一字一句全部看懂。
自有大儒为其辨经
这一下直接文化输出了
你不如说悟空和悟能，更好接受点
可能相当于没看过哈利波特的中国人期待相关的游戏？
啊？
想要读懂西游记挺难的，那套官场阴谋论的说辞也不是完全行不通
日本不都是麽？唐山和悟空CP电视剧电影都不少
？？？
你嗑杨戬我都能理解，唐僧？？！
手残党的我 也想有个剧情模式
逆天
文化输出路阻且长
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？、
好莱坞一直在文化挪用啊 它们也各种抄的 比如星战系列 女王的服饰抄的就是中国元素啊
西游记，满足了对叛逆，隐忍，自由，不甘，领悟的具体想象
牛
升华啦
群众的眼睛是雪亮的
世界人民大团结万岁！！！！！
逆天
黑神话是西游之后  西游确实成了前提了
原版文字不太白话，我是没怎么读进去
啊？
比我初中看的都细
我感觉和备战考试差不多了
梦幻西游bgm
下次来个三国
文化战要来了吗
梦幻西游，半启动！
聊斋也很棒，希望也能出游戏
女儿国主：好你个猴子！！！！！！
bgm确实是原的
毕业论文是吧
黑水浒：李逵啥时候出
6
啊？
中学生精简版
？？？？
那必须的，小时候每个假期都得看一遍
儒道释三合一
？
？顶级翻译
啊？
人话：缺点就是你不可以文化入侵，我可以
啊？
？？？
笑死
疯了吧
这才是我认可的文化输出，而不是什么长辫子和西服
泪目，一时觉得很感动
？？？？
？
感谢科普
那是你自己的问题，关我屁事
西游释厄传
好家伙，古典文学第一本选西游，第二本选三国。。。
《Great》
？
洪荒西游量劫版
BMWK
中美合拍西游记有望了
60岁！真6！六小龄童的六！
啊？
文化可以接地，但不能接地府吧
啊？
我玩战神才了解到北欧和希腊神话
？
这个之前看过，很厉害
逆天
啊？
抽象
啊？
四大名著出口了
我还是干瞪眼吧哈哈哈哈哈
孙悟空：合着这个网站的图标还是用着紧箍咒呗
必须要看看电视剧啊，82版
啊？
逆天
泪目
专业
草
法书这是真的
woc，梦
好啊，这样的一幕我居然也能看到
啊？？？？
???????????
哈哈哈哈
这资料书可以
星际战士2，你得看点战锤相关的内容才行
我们从小到大愿意了解的还是比较容易
原来大人不是讨厌小孩玩游戏，而是担心被游戏误导，担心小孩在无厘头的游戏中浪费时间
可以的，学术输出
？
欢迎阅读古代嘛搂 成神之旅
好问题，不过我选择老鼠精
买个文言文版的
我踏马玩战神的时候还要去了解他们的神话故事吗？
？
总有逆天用户
什么概念集
老贼汗流浃背了
黑神话：悟能
猴王？
。？？？？？
？
journey to the west
加纳～
该出奇兵了
真正的文化输出
啊？
文化输出
哈哈哈
？
估计会有，参考电影《刮痧》
文化出输
现在的好莱坞废了，看到开头就知道结尾，剧本就那几种
？
“因为在章节名称中，这本书剧透了自己”哈哈哈哈哈哈哈哈哈
猿神，启动！！
猴学家
这倒不至于
艹兰州黄河边
大可不必
？？？？
流量密码属于是
？？？啊
这就是2小时通关的理由吧
西游记真是国学之大作。
诗人握持
读三国有品
无所谓，至少先让别人知道西游记这本书就够了
我反对这门亲事，只是猴子跟三太子
啊？
所以以后我如果对老外喊一声：我叫你一声你敢答应吗，他们可能会懂这个梗出自哪里？
？
3年前
不管是不是，文化确实有输出了
好明白
啊？逆大天
想哭了
印度人没有强调他们的那个猴子吗？
研究好西游，你的水平比大部分政客都强
邪门CP
吴承恩万万没想到
我们自己还没研究透吧。。。
而我只看86版的.
游科什么时候出黑神话·水浒
再就业
他们说的版本应该是翻译版本，就是读谁翻译的
那个打斗全鬼畜那版
？
太牛逼了，严谨的西方学术
注意安全
怀疑up知识储备
怀疑
西游记宇宙启动啦
这就是西游记的英文版名字啊
美猴王
猴王 哈哈哈哈哈哈哈哈哈
？？？
哈哈，有些东西还真得是原版才能读出来，不过需要一定的文言文基础
我买中英版就只看左边中文部分哈哈
ip属地高老庄
棒子：是我的，都是我的
？？
是因为日版西游记吧……
啊?
我就看过孙悟空和白龙马的
我也想看
？？？
金猴奋起千钧棒，玉宇澄清万里埃！
86版啊
二猴香的嘞
Monkey Brother ~
啊/
半白话还用翻译，直接就看懂了啊
换了人间哪，啊哈哈哈
景元BGM，哇哦
专业对口了
魂学家
爱护动物是吧
我不同意，为什么不磕林黛玉和伏地魔
哈哈哈哈哈哈哈哈或或或或或或
啊？？？？
中文原版
啊？这是不是有点邪门了
悟空独美
哈哈哈哈哈哈哈哈或或或或或或
黑熊精偷袈裟
啊？？逆天！！！我也是？那没事了~！
?
悟空威胁美国国家安全，证明美国是妖魔鬼怪横行之地（狗头）
我们玩的是开心的像个吗喽，外国人玩的是懵逼的，像个吗楼
猴王
猴学家来了
厉害
哈哈哈哈哈哈
你别说，还真可以磕
我家里有一本圣经中英文版的，好家伙，老厚一本。
你还别说 有个什么版的西游记 唐僧悟空还真是CP
？？？
