标题,Up主,URL链接,播放量,弹幕量,简介,点赞量,投币量,收藏量,分享量,分区,上传日期
“独属于中国人浪漫的彩蛋”,y极简,https://www.bilibili.com/video/BV1QLWoeaEBg,713.2万,4411,地图位置：第二回 黄风岭 不济谷  打完沙大郎后可以看见背后有一面摆满佛像的墙壁 变身成大头撞开墙壁即可进入彩蛋隐藏地图,72.0万,4.9万,72.0万,1.1万,"['影视', '影视剪辑', '彩蛋', '孙悟空', '黑神话悟空', '菩提祖师']",2024-08-24 12:28:31
相片漂流瓶之冰棍老头,老牛的Vlog,https://www.bilibili.com/video/BV1mf421e7yy,285.2万,2193,-,66.1万,8.9万,66.1万,1602,"['生活', '日常', '摄影', '手工', '生活记录']",2024-08-24 11:48:33
纯黑《黑神话：悟空》全程无伤攻略解说 第二期,-纯黑-,https://www.bilibili.com/video/BV1VE421c7vv,293.9万,2.8万,"这不得三连支持一下！
质量越高速度越慢，视频越长速度越慢，既然视频又长质量又高那更新速度肯定不会快，所以请耐心等待。",34.3万,38.9万,34.3万,3.2万,"['黑神话悟空攻略在此', '游戏', '单机游戏', '悟空', '攻略', '纯黑', '解说', '无伤', '黑神话', '《黑神话：悟空》8.20 直面天命']",2024-08-24 12:58:07
全国第1人，残障玩家用嘴打过黑神话虎先锋,阿铭铭丶,https://www.bilibili.com/video/BV1X1WredEdw,183.8万,7124,Not Found,39.2万,22.9万,39.2万,3.9万,"['黑神话天命人来也', '游戏', '单机游戏', '吹气', '正能量', '励志', '精彩集锦', '直播录像', '黑神话悟空', '残疾人', '动作游戏', '用嘴', '《黑神话：悟空》8.20 直面天命']",2024-08-25 21:01:55
黑神话凭什么这么火,碎嘴企鹅,https://www.bilibili.com/video/BV1Bw4m167su,163.7万,3188,很荣幸能亲眼见证。,36.1万,6.9万,36.1万,5686,"['我玩黑神话悟空belike', '生活', '搞笑', '生活记录', '高能', '游戏', '主机游戏', '原创', '搞笑', '吐槽', '黑神话', '段子', '搞笑研究所2024 5.0']",2024-08-24 18:56:36
黑神话摄影师 | 卧龙寺「虎先锋」海报级摄影【第二期】,可达波昂棒,https://www.bilibili.com/video/BV1GrsFeGEU1,219.6万,1745,"小伙伴说可以先拍一些大家讨论比较多的BOSS，那我这就来了。

1、摄影原图100%为up主自行拍摄。
2、展示图片有经过后期调整。
3、后期是因为摄影师的责任是将最好看的呈现给大家。
4、感谢游戏科学的坚持不懈，终于将我们中华文化展现了出来。
5、再次感谢游科的顶级美术！
5、为保证观看体验，建议大家横屏观看。",31.9万,5.7万,31.9万,2.7万,"['黑神话天命人来也', '游戏', '单机游戏', '国产游戏', '悟空', '单机游戏', '黑神话悟空', '黑神话', '动作游戏', '游戏摄影', 'steam游戏', '游戏科学', '《黑神话：悟空》8.20 直面天命']",2024-08-24 22:34:39
内部绝密视频首次公开？影视飓风900万粉丝Q&A！,影视飓风,https://www.bilibili.com/video/BV1Yf421e72c,218.7万,2.8万,没想到才过了4个月我们又900w粉丝了，非常感谢大家的关注和支持。快来看看这次关于公司、员工、内容，大家又提了什么怪问题吧！如果你喜欢这期节目，请多多支持我们，并将视频分享给朋友看看！让我们1000万见！,27.7万,18.5万,27.7万,8824,"['科技猎手', '科技', '数码', '高能', '职场', '4K', 'Q&A', '问题', '工作', '粉丝', '员工', '年会', '科技猎手2024第2季']",2024-08-24 20:00:00
不要拘泥于单一棍法，进来感受齐天大圣的魅力！无伤寅虎,里奥达芬奇,https://www.bilibili.com/video/BV1NBWSeeEFe,474.4万,5688,Not Found,33.1万,14.8万,33.1万,11.0万,"['黑神话天命人来也', '游戏', '单机游戏', '悟空', '无伤', '单机游戏', '黑神话悟空', '黑神话', '动作游戏', 'fgo', '寅虎', '《黑神话：悟空》8.20 直面天命']",2024-08-23 18:41:44
【星穹夏日联欢盛典】欢迎来到 匹诺康尼基金会！,哈米伦的弄笛者,https://www.bilibili.com/video/BV1Xz421e7m6,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,['Not Found'],Not Found
有人遗憾有人圆满,阿宅寒星星,https://www.bilibili.com/video/BV1pM4m1a79s,233.7万,3040,-,32.0万,1.2万,32.0万,4800,"['原创搞笑剧情', '生活', '搞笑', '校园', '爱情', '生活记录', 'BILIBILI金电视奖']",2024-08-24 18:36:52
《给我老老实实出丑啊！》,伤心欲茄222,https://www.bilibili.com/video/BV1aW421X77w,345.7万,1180,素材：少林阳武堂,41.9万,3712,41.9万,1980,"['搞笑研究所', '生活', '搞笑', '搞笑', '八嘎', '搞笑研究所2024 5.0']",2024-08-24 18:25:54
爱情天梯,_凡不凡人_,https://www.bilibili.com/video/BV1ncWfeDEeM,275.0万,805,"“六千多级台阶，您一个人能下去吗？”
“我不是一个人。”他会来的，像那六千多个日夜一样奔向我，握住我的手。
--分割线--
真实事件改编",38.7万,7166,38.7万,5688,"['生活', '日常', '真爱', '猫meme', '真实事件', '爱情天梯', 'meme']",2024-08-24 18:04:59
变胖了就更好捏了不是吗？,叶玲秋雨,https://www.bilibili.com/video/BV1X2421Z7Rj,187.0万,2941,"小两口老夫老妻似滴日常，芙宁娜因为要减肥不能吃大鱼大肉，但是吃太少容易肚子饿，空不忍心看到芙宁娜因为减肥而饿坏肚子

借物表
模型：miHoYo/观海/克里斯提亚娜/Airsoya/婳魔Yandere桑/Danielxwy/Mafubash/倾辞一绘/开朗的米悠悠
场景所有：MiHoYo 
场景提取：克里斯提亚娜
场景修改：克里斯提亚娜 
动作/镜头k帧：叶玲秋雨
人物渲染预设：小二今天吃啥啊",18.6万,4.5万,18.6万,1.3万,"['原神UP主激励计划', '动画', 'MMD·3D', 'MMD', '原神MMD', '原神动画', '芙宁娜', '空', '米哈游', '原神', '原神UP主激励计划4.8']",2024-08-24 18:45:39
开学夜：就 你 叫 悟 空 啊 ！,进击的金厂长,https://www.bilibili.com/video/BV1VT421z711,590.2万,9179,得道高人：点赞投币之后，有好事发生～,12.3万,8.2万,12.3万,2091,"['黑神话玩家的精神状态', '生活', '搞笑', '搞笑动画', '搞笑', '作业', '短片', '开学', '暑假', '黑神话悟空', '新学期', '金厂长']",2024-08-23 18:05:07
【黑神话·悟空】全网首发旋风猴-3分钟无伤速通二郎神,在线囚徒,https://www.bilibili.com/video/BV1TYW7emEQP,251.3万,7782,所有属性优先选择回复元气，可以更快打出芭蕉扇,21.7万,5.4万,21.7万,13.1万,"['黑神话悟空攻略在此', '游戏', '单机游戏', '二郎神', 'BOSS', '无伤', '孙悟空', '黑神话悟空', '黑神话', '《黑神话：悟空》8.20 直面天命']",2024-08-23 05:04:46
当一个女生跟你说她没衣服穿：,星有野,https://www.bilibili.com/video/BV1b4421f7Va,288.4万,1927,红温了，但是好温馨,25.9万,1.6万,25.9万,9250,"['UP！原创动画', '动画', '同人·手书', '原创', '恋爱', '动画短片', '女生', '搞笑', '原创动画', '星有野', '抽象', 'UP！原创动画3.0超时空高校季']",2024-08-24 12:00:00
《不时轻声用内心话遮羞的若叶睦同学！》【泛式】,泛式,https://www.bilibili.com/video/BV1pH4y1F7ke,105.9万,4097,"之前看《亦叶亦花》发现有个角色的属性特别适合做睦头人二创，于是有了这个尝试！

画面：一部分是P的，一部分是找人画的。
台词：一部分是原片剪的，一部分是ai炼的。哇靠睦的训练样本是真的太少了！
剧本：我胡编的，大家图一乐别当真。
（PS：万分感谢ChatGPT教我如何润色高中女生的语气…）",13.8万,8.4万,13.8万,2.2万,"['动画', '综合', '新番', '搞笑', '泛式', 'mygo', '七月新番', '败犬女主太多了', '长崎素世', '丰川祥子', '不时用俄语小声说真心话的邻桌艾莉同学', '亦叶亦花']",2024-08-24 19:59:27
【星穹夏日联欢盛典】告白,zd点仔ily,https://www.bilibili.com/video/BV1LM4m1Y7uY,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,['Not Found'],Not Found
【星穹夏日联欢盛典】💫不要温柔地走进那个良夜 ✨Do not go gentle into that good night,鲜洋芋,https://www.bilibili.com/video/BV12U411m7AK,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,['Not Found'],Not Found
【星穹夏日联欢盛典】元宵小酌,DDDD竹子,https://www.bilibili.com/video/BV1DsWLeLEzQ,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,['Not Found'],Not Found
开学如何让舍友觉得你不好惹,川子12138,https://www.bilibili.com/video/BV1zM4m1a7mz,316.7万,352,-,40.1万,1228,40.1万,1.3万,"['开学前的精神状态', '生活', '搞笑', '校园', '搞笑', '开学', '动感潮玩迎新会', '室友']",2024-08-25 18:18:53
过分了噢,乔伯伯英语,https://www.bilibili.com/video/BV1v4421o7N3,138.7万,294,这位同学，你这样有点过分了,39.9万,1635,39.9万,596,"['英语四六级成绩', '知识', '校园学习']",2024-08-24 18:00:00
一棍干碎虎先锋猴头梦,夜的第七章cy,https://www.bilibili.com/video/BV1mpWoeoEd3,229.8万,1334,-,31.6万,2884,31.6万,2.8万,"['游戏', '单机游戏', '猴哥']",2024-08-24 13:31:20
憋笑大挑战看你能坚持几秒,大森子哈哈哈,https://www.bilibili.com/video/BV1P1421b782,321.8万,1210,8月颁奖典礼启动,14.6万,1.6万,14.6万,1.9万,"['生活', '搞笑', '生活记录', '娱乐', '抑郁']",2024-08-25 12:06:01
