这一刻，已成艺术
好好好，四大天王用音波攻击是吧
在打黑神话悟空啊，那没事了
河里
黑神经：悟空
不说了，投币了
四圣试禅心
有猴选猴
非常认可
牛逼！
？？？？？
牛逼
合理，太合理了
天命人岂是你等能打动的
合理
全体起立
