还在藏还在藏
那找游科要保护费的是哪个公司来着》？
牛逼
细节十分钟
太帅了
合影
大半夜的三千人观看
定海神针有没有
已召唤 协助者“观音菩萨”
什么?！
这才是高度
宫崎英高也干了
我要开香槟了
NB+
还在藏
牛逼
只玩轮椅流
这游戏全收集通关至少要100小时
牛逼
最喜欢这种设计，开放世界太空虚了
？？？
别跟某科幻界一样就行（不是ky）
这么久？
只有西游能做成游戏，其他三部做出来也没人玩
合影！
我打孙悟空？
合影
期待优化，不无脑吹
开茅台
要是有女儿国啧啧
还有辞条
有电棍吗
多少？
合影
带条狗的BOSS到底是什么啊  好难猜阿    哈哈哈哈哈
猴学派狩魔猎人
开香槟
合影
游科你这玩法挺能藏啊
还在藏
卧槽
游戏公司的客户群体主要在海外
得复习西游记了，呜呜
卷出奇迹
好耶
高情商
China No.1
啊？81难还不止啊
土地公
冲冲冲
合影
合影
还在藏
2077：你说谁？
DLC!
合影
稳辣
合影
IGN不是说不够多元化吗？
哭了哭了
丝血反杀？哈哈哈
稳辣！
10分
我博德之门三呢
这才是真正的游戏彩蛋
超稳的
我喜欢看他的剧情，像看一部电影
火钳刘明
合影！
圣遗物
赛博朋克：阴阳我？
期待玩家整花活
合影！！！
懂了，去找如来佛祖和观音菩萨
还在藏
合影
合影
未来可期！
既是天命，也是唯一！
好难啊
第一个独属于我们中国人自己的天命！
合影！
民族的才是世界的！！！
骗骗花
合影
骗骗花
石敢当！
我宣布百变流就此诞生
合影
两百多块，交个朋友
群殴！
感觉已经看不懂了
这猴子叫声就让我心潮澎湃
40种组合吗?认真的?
那我们就要考虑手残党的朋友们了
dlc！dlc！dlc！
翻译：专业人员100小时，普通玩家（）
?
这是我一个手残玩家应该玩的宝藏吗？
最终BOSS带狗的到底是谁哦？
合影
须弥？
合影
小怪?这啥啊？
恭迎天命人
西游记都被翻烂了，直接忽略
超出了IGN充值的预期。
请问我哪里买？
集美们～
稳辣
牛逼
战甲满 德甲快 戴甲萎
是我卡了吗
是我卡了吗
斗罢艰险又出发！！！
仁王呗
泪目
斗罢艰辛又出发！！！
合影
真的叠了不少甲了
是声量和实力不匹配吗
推广的钱估计没少花
猿神
合影
合影
合影！
感觉没打击感
稳啦！！稳啦！！全都稳啦！！
这种情况还超越，真是超级赞
见证历史
你好
合影
这就是拖
预告片就算了永恒之塔的预告片都这样子
稳啦！！
合影
老祖宗甄选
显卡在燃烧
无敌了
合影
稳辣
牛逼
不对呀，我刚刚刷到的视频里说你们给了8分
完美武器
牛逼
多点包容少一点捧杀
这个类型太没意思了
牛逼，加油！
合影留念，见证历史
合影
可能是优化了
看哭了
别的还不好说，美术表现绝对够格
法环主线追忆boss也就十个左右
卧槽牛逼
合影
我从没怀疑过虚幻5 我怀疑的是剧情还是战斗打击感
开茅台
直接拿下豪华版！
不会缺dlc的，可以直接做杨戬的故事
一觉就开玩乐，，，还藏？？？？？
爽！
戏说不是胡说，改编不是乱编
rx590gme请战
抽卡
\
曼达拉草
996
合影
祝好
泪目
一小时需要大概1000W-2000W的制作费用
梦回造梦西游
开五粮液
开发大概用了4亿，现在足够保本，其他就是赚的
单机的，我要玩
合影！
稳啦
6
宝可梦图鉴 ，买悟空还是买唐僧
炒冷饭没意思
我感觉我打不过他
谁告诉我谁不迷糊冲！！
万人厂抽卡百人3a
绝对是奇迹！！
重走西游
合影
国产单机游戏站在最高处的一次！！！
明天10点见！
卧槽
因为不是普通的棍子
魂学家来啦
重走西游
西游记不应该是比拼法术吗。这动作设计让我感觉还没有武侠厉害啊。
还在藏
Cesar is home
《小怪》
game freak进来学习
*
重走西游
但是孙悟空本人真的很厉害
合影
光看视频我感觉建模精度还是没到顶级哎
合影
测试中不敢开光追 显卡不行
合影
合影
卧槽 群殴 我喜欢 干他！
刚成立十年？？？
龙信2：你报我名得了
作弊 抄作业都不会抄 我自愿踏出游戏圈
虫棍其实不是棍
你不准玩黑神话！
止
显卡要求不低的
游戏做真实感真的想吐
三国和水浒做成游戏能想象，红楼梦做成游戏会是啥，林黛玉倒拔垂杨柳？还是galgame？
合影
合影
看着咋这么糊呢
夺少？
开飞天茅台！
稳辣！
一共多少难
连视频时间都是十分
dlc!!!!!!
叠甲
中华文化的底蕴
魂类 在好我也玩不来 艾尔登法环 买了就吃灰了
合影
加油吹 ，10 分的游戏不得升天
升级显卡指日可待
干就完了
可能是炼药系统
为这个游戏要买一个PS
RTX4070ti
谁说没有枪头就捅不死人了
不是为了市场吧？
lkj 9=-098765459+567890-98re
只狼55小时全成就路过
+、
对电脑配置要求呢
合影
骗骗花
合影
合影！！！
合影！！！
合影！！！
人家卖哪个价了？《战神5》发售的时候多少钱？《艾尔登法环》首发的时候多少钱？那些拿价格说事的人看看首发普通版同价位的是什么作品再说话！
这下出攻略的看到工作量哭晕在厕所
阿米诺斯你通关了
就一直藏是吧
见证与留影
无敌了 GTA5故事模式差不多5-60小时绝对能搞定 我玩的还是挺吃力的 这么一比悟空的体量是真的大
多少？
夺少？
稳辣！
合影
字幕一什么道？？
稳辣
合影
闹麻了
大多数人的配置能开到哪个画质吗你是一点也不说
稳
小高故事汇
还在藏
稳了
刚刚？？？？
10年不短了吧？
战神同款
僧人的破棍
卧槽
甚至连时长都是10分
夺少？
x
合影
画面怎么有点糊
CJB游戏 电子uzi
大师之作！
有谁跟我一样从2020 820每天都会看一遍以上的！
原神：哥们我经历了什么
还在藏
合影
稳啦
差个摇人了
叠甲，过
Ok，每个怪物做一期原型分析又养活了一批人。
帅！otto
大圣没了
国外IGN8分，国内IGN10分，国内IGN由腾讯营运，而游戏也有腾讯投资参与，这10分会不会带水份呢？
卧槽，这动作设计看得真爽
秀儿，视频也是十分
至少80+大怪外加100+小怪，还有多周目内容，龟龟，这体量，正常人得玩快一年吧
这个资本的力量太可怕了
夺少？
历战王台阶！
卧槽，这画面给我看湿了
国游标杆
情怀
牛
权当旅游模拟器也值了
牛逼
国外IGN8分，国内IGN10分，国内IGN由腾讯营运，而游戏也有腾讯投资参与，这10分会不会带水份呢？
猿神（quexin
什么？
早已购买，坐等开干
老外好好学中文吧
“青涩”，，这个词
骗骗花
1、
是20号0点正式开玩吗
1、
外加一个隐藏BOSS ，81个
要借芭蕉扇吗
还在藏
是细节多还是设计不合理取决于游戏本身质量， 本身质量高就是细节多，本身质量差就是不合理
单挑 你单挑我们
卧槽！！！！！！
我靠，这画质……
身外身（叫大哥
卧槽，偏偏话
情怀
合影
法环也干了！
希望对不看攻略的开荒党友好一点
很战神
外国人玩黑神话 攻略秘籍就是西游记哈哈哈哈
留言合影
神秘海域神作啊啊啊这都有人质疑吗？
.0.0.3
金刚
原
丹药和法宝吧
以系列第一部来看 属于历史顶尖
人均超人
帅的啊
放心，我会把每棵树都摇两下，每颗石头都踩两下。
.
卧槽？
不能贪刀咯
这下真的是大国工匠了
介绍文字都是文言文，好有感觉
合影！
合影
看来得去农药玩玩猴子了我都不会猴子
牛壁
还在藏啊
、
体量恐怖如斯
太值了
艾珀莉亚，老头环DLC伊利姆城隐藏传说双头剑同款配色！
牛
直接香槟厂里开party
牛逼
大部分是情怀驱使
开茅台
我超，槟
bgm牛
国内网游也有很多这种画质吧
慢慢发展，毕竟刚起步
真是只要国产，立马满分，虚荣玻璃心拉满
见证历史
我一个女的都想玩了
虽然我不懂但是为悟空骄傲！
不是哥们 这还用剧透吗
合影
有木有狮驼岭
国产鬼泣
合影
刚刚
逆天
合影
合影
老祖宗赏饭吃
没有一个男人不爱一根笔直的棍子
我靠
DLC
《立棍》
10分
甚至时长都是10：00
说得好像很多人看过原著小说一样（doge)
劳拉！
斗战神不说？
老任你看看别人
你能分清这是游戏还是现实吗
希望能成为一段传奇
合影
售价也比一比？
瑕不掩瑜
坐等三国演义
捅劲
法  天  象  地 ！
合影
牛逼
是每个中国人心里
红楼梦你是大全galgame嘛
正义的群殴
我们的游戏不需要外媒来打分
合影
牛逼！
怨虎龙的压迫感
想买，但没时间玩，等打折吧···
腾GA
10分是最高只有10分
比其他主机游戏刚出好多了 玩都不能玩
里程碑！合影！！
合影
慢慢玩不得玩个一年
这里我要提到一个完美武器
合影
爆鳞龙争夺地盘
合影
好一个“然而”
七十二变是七十二种能力不是能化身72个品种
该让外国人来学习我们的神话故事了
满
血条消失术
立棍单打
说原神的怕是一部3A都没玩过
什么情况
厉害啊 合影
"422.， 、21. 5m‘’欧赔0pj0';5[j.16‘’5445l.1，1m1,1.2,"
《百将行》&《战争艺术：赤潮》
要是再加上mhy的中国文化输出那就无敌了
稳辣
mhy加油别被后来者居上了，重铸国产荣光
原神也是3A，可惜为了考虑手机用户的体验所以简化了
还在藏
泪目了
卧槽
dlcdlc
对马岛
稳辣
原神提前趟好了路
原神
《仅》
开什么香槟，开茅台
腾讯给面子了
我超战神过墙视角
多周目！
合影
稳啦！
古墓猴影 哈哈哈
dcl给你整个大闹天宫也不是不行啊，一路砍到凌霄殿，全程就是干，干个爽
合影！！！！
稳啦！
评价十分，视频也刚好十分钟。细啊
真正感受到了中华文化融入到了游戏
合影！
不能做个Xbox吗
猴哥！
丹药？
你们这个试玩太马赛克了吧
五情七灭阵
这是目前为止唯一的国产3A
时长都是10分钟，你很会玩
合影！！！！
好好好
合影
女拳说话
合影
变体精灵哈哈
这个黑猴的播放量，吊打其他视频啊 哈哈哈哈
好流畅的动作
我选立棍单打
虫棍玩家狂喜
合影
冲！！！
给～我～发～把～狙～
!买了兄弟们，不看了，等明天开战!!!!!
满昏！满昏！！
总得有人做吧
黑神话悟空现在如此火热，主要归因于以下几个方面：首款国产3A游戏：在当今游戏市场，3A游戏一直被国外大厂所占据，而国产游戏则多以氪金网游为主，难以在国际上崭露头角。黑神话悟空作为首款真正意义上的国产
终于可以让美国人改语言了
稳啦！
见证历史！！！
仁王
这要是拍成电影估计也牛逼，但是审查不好过
上线
视频时长十分钟
合影
还有装备？
合影
注意看，虎先锋没有穿模，他刚刚是被打到了台子上面
不是哥们
合影
见证历史
合影！
奥德赛
合影
多少？
中国自己的文化难得
评测人呢？哦没有评测人啊
那我买10份不久行了嘛。
wow
9780=
爽
这10分是指视频十分钟？
哭了，年度游戏四个字能挂在我们本土游戏头上
见证历史
希望别崩，我太喜欢了
丸辣，要褒姒了
突然发现连进度条也是10分
生产队的驴都不敢生那么多
握草
卧槽！还能这样！！小说内容还能当成通关参考
牛啊
菩提老祖:我当初教悟空这么多技能了吗？
牛逼
卧槽
合影
这个略显磨砂的画面一看就知道开了amd的fsr功能。只要画面动起来，就像磨砂一样到处都是颗粒感
牛逼
谁会在玩游戏之前，先去查开发商的我历史？
合影！
我超
好耶，先玩黑猴，27号再11.0，美汁汁
见证历史！
合影
我想起了寻仙里的风物志，泪目
大伙准备冲啊！明天就可以买了！！！！！！
合影
我只想过来女儿国情关
说白了救赎内卷呗
看着确实可以
懂了 这就去看西游记
这就是通天的神通！
全都稳辣
合影
稳啦！开香槟啦！
合影
合影
化 圣 雪 原
正常水平
你！通！关！了？？
过分敬业了
等了那么多年，国产3A大作终于来了
牛逼
明天兄弟们明天
经济不行，谁还有心事玩游戏，何况还是电脑游戏。只能说迟早凉凉
不敢比就别炒作了呗
111
有多周目不同剧情
合影
老祖宗赏饭吃
金箍棒还能有好几种吗？
文体两开花
牛逼
多周目设计好啊
山西！！
看哭了
真出道即巅峰
陕西人开西凤!
开！！！！！
牛逼
见证历史！
不敢低于10，怕被战狼冲
这点就很了不起不像战神4全是山怪
可盐可甜
一战成名
稳辣
好像在看电影一样
逆天才两百
合影
爽
快去东方请风灵月影菩萨！
你是懂流量的
啊哈哈哈哈
合影
好复杂
绝了
完美
稳辣
良心
完了，最怕这种迷宫，一堆转向容易把我转晕
可惜只有10分  不然100都挡不住吧
夺少？
潮批，别ky。。。真的无语
5000万啊
刚刚成立十年，别闹
合影
主线是不是有81个
芜湖！！～～
大闹天宫应该还是有的，预告片最后出现了四大天王
稳啦！！！！！！！
我勒个近百种
多少？
对我来说，贵的不是两百，而是七八千的电脑
合影
希望这只是游科的元年
多少？
整那个豪华版
全体起立！
666
我求各位了，给个痛快吧
不如鸣潮
职业：天命人！！！
卧槽不能看了
刚     刚
这啥啊不如鸣潮
请原谅我的退款，配置太低
不苛刻，会赢的
多过
合影
握草
传说中的赤髯龙！？
合影
犁地
合影
罗汉小罗
群殴哈哈
猿神
我的天！！！这么多内容还在藏？？这是一百多人的团队能做到的？
10分
随心铁杆兵！
合影
10分！10分钟！
一说这个就想起来预言家，艹
宫崎英高：孩子们我也干了
立棍单打
哈哈哈估计这一画面就没有
红楼梦做成恋爱养成是吧
完全胜利
泪目了
好好好
合影
这boss索敌诗人握持
稳辣
稳辣！
牛逼！！！
明天石猴出世！
我懂嘛有个支线，绕棵大树左三圈右三圈，就能触发了
好好好，慢工出细活，单机游戏只有慢慢打磨的才会好
不苛刻，全玩过  感觉丝毫不逊色！
合影
老板 我20号早上10点要准时生个病
稳辣！
9分吧
四道口附近福建烤老鼠JFK六十九二克利夫j
风纪扣纺纱机发动机和奥克兰的房间而可怜的
香槟！
布鲁biu布鲁biu
主要这个是我们自己的文化，而且做的还不错
别说了 钱拿走
合影！
合影！
财势滔天的某讯为何做不出好游戏？
大闹天宫没了
真的吗？还没上就评分了吗
视频时间也是10分钟正好
合影
还有震动棒，打女妖效果特殊
"这游戏还没出就有攻略了,你问我是什么？《西游记》"
别吹了，火线夜之城  大家懂的
细节，十分钟
哈哈哈
巫师三时长
成了！！！！！！
卧槽
加一个ign中国吧
稳了
不还是叠甲
笑死
这个池子是不是绿色的
夺少？
帅
开茅台
合影
八戒啊！！
还得是中国IGN
开茅台！
啊？
盲猜最终武器是如意金箍棒
[ohhhhhhh]
跟墨画科技他发布的画质很像
钱老的那句话：中国人怎么不行？
默认语言：简体中文
见证历史10分！！！！！！！！
合影
时间也是十分整
加油
合影
怎么那么模糊
能用心好好做成功这个点子，已经很满意了！！！！
[ohhhhh]
果然鸣潮和黑神话悟空进行了交流
稳啦
牛逼
牛
稳辣
牛逼
上茅台！
10分
还有一年
牛逼
稳啦
没有弹幕
我操！
总觉得糊糊的？
男泵
合影
合影
这怪物伤害这么高，我这样的手残党，只能加入风灵月影神教了
牛逼
稳啦
合影
稳辣
感觉不如。。。画质
真的假的woc
剧透一下，开局扮演的是齐天大圣打巨灵神和杨戬
让我想起了嗜血印（狗头）
稳辣！
合影
4080能开满吗
合影
稳啦
牛魔
给自家打10分搞笑呢
自家给自家打10分挺幽默的
牛逼
100昏
炽龙破！
豪华版支持一下
稳辣
古墓就有过缝了
支持！
泪目
合影
稳辣！
666
nb
电棍
合影
经典滚箱子罐子红火火恍恍惚惚
腾讯赢麻了
我已经教上朋友了
20帧怎么当猴子？
20帧怎么当猴子 ？
玉兔精呢
DLC
牛壁牛壁的
还会持续更新吧唧吧唧！
石头人拍e，接势不可挡？！
好想买
我要这铁棒有何用
这方面很像手游研发，先发试做品招揽人才，但后面可能就因为没法融入进去而删除
好！
吴承恩牛逼！
越捧我越没敢买，房市股市捧崩了都。
黑猴游戏
十分，十分钟，十年，全是十啊
别比人少，人少就是被加班肝出来的
广智呀、
今天开服了吗？
666
666
合影
合影
开香槟啦
甚至时间都是10:00
合影
夺少？
合影
灵感大王？
蒲团能坐，3A大作
虚幻5的超分特色，多少带点儿拖影和糊，但是设置攻略和补丁肯定会很多
我不到啊。
合影
游戏没出就10分
58个亿了！！
合影!!!
合影！
游科已经说了会有dlc
完美武器
初婴未来
冲冲冲
合影
我靠我靠这太帅了吧
真的泪目
牛逼！！！！！！！！！！！！！！！！！
鬼泣
宫崎英高：孩子们我也干了
还在藏
夺少？
ign中国隶属于腾讯
赤潮：？
合影
合影
？？？
泪目
看完感觉自己要卡关了
见证历史
合影！！！
偷袈裟这个熊？
随机掉落！！
合影
懂了，快请佛祖！【doge
"今天刚把笔记本电脑送去维修,我谢了"
合影
合影
还有高手？
合影
这扇门无法从这一侧打开
中国？世界！
boss看起来有点呆
别废话拿我金箍棒来
稳辣！
刺客信条
刺客信条是吧
给我开茅台，速度的
宫崎英高也干了
我要买
合影！！
冲！
合影
震地吗喽
稳辣稳辣
怎不说多元化了？啊？
这对我来说是优点
看这个水波，压力给到了腾讯
合影
合影
合影
合影
彩蛋？巫师3都几年了还有
《二郎神的狗是女犬》
那另一个是啥有点好奇
《就怕女犬》
这BOSS两个字怎么读
稳辣
合影！！！！！
还有自带的电子斗蛐蛐？
七十二变！！
好！
我们的回合
路边的野花你不要采……
合影
等一手TGA大家听唢呐
那你别玩
化圣雪原
猴学
等一手猴学家
开始哭
有如意金箍棒就够了
这不还是叠甲吗，卖这个价钱就得是这个价钱的要求
卧槽
拉
真·立棍单打
拉
10年吗？
黑魂3
？？？？
还有1天！
这水的动态效果  可以啊
牛的
多少？！
这个应该是有好多隐藏剧情，你还没触发哦
近百种？ 牛！
稳辣
就像国产第一艘航母
谁都像，但又谁都不是，他就是他
合影
合影
对IGN评分最高的一集
稳!!！！！
ign中国取代美国成为ign总部
稳了
啊？
合影！
爽了
我对其中的故事，或者说剧情比较感兴趣
物极必反啧啧
冥想的猴
独属于
有自己的3a大作了。呵呵
合影
4000人
什麼噹噹噹？
没时间做了
3
合影！！！！！！！！！！！！！！！！！！！
锐气！
筋斗云有没有
骄！傲！
合影
他们要来学习我们的历史了解我们了
这妖怪听声音，是个好头
刚刚 十年
Masterpiece!
三花聚顶
卧槽
路痴党要头疼了……
泪目
独属我们的西游
修脚游戏
护符和灵药是吧
666
牛壁
这不是我们鸣潮的声骸吗，使用标明出处
出道即巅峰
合影
懂了，需要猴学家
见证历史
捅劲（永劫魂玉）
合影
