可拆卸式静电释放器双马尾（
你上辈子是女娲吧？
牛波一
奥本海糯的小曲
长按为up主加速（doge）
抽个青衣给我出了个猫又
善～
寻没眼
好可爱
没人在意你出了啥别刷
第一次见女娲区的
啊？
脸好可爱
大师啊
心灵手巧
背后是水壶
灵魂双马尾
作者大大是女生哦
量产！
青衣细节好多
这个好像是男娲，手纹有点重
收下我的硬币
量产！
善！
歪了
厉害
青衣未来（
我要了，我是fw
这要是搞高达不得起飞
不是，这么丝滑会给我一种错觉，让我觉得我也行
好丝滑
好看
愿我十连青衣不歪
符合物种起源学说
啊？
我天好精致
绝了
为什么我歪了电属性S级角色（恼）
最会造你青奶奶的一集
善
善
角色加专武27抽[得意]
青衣的制作过程。
想抽简，歪青衣了！
膳
11发出的哈哈哈哈
符合原设的插拔双马尾
嗷嗷嗷又看女娲造人！
脸部细节越来越好了
卧槽
这我学集贸啊
青衣是真好用
哈哈哈，前面刚出的朱鸢后面30发出了青衣
啊？！
米哈游我要这个
善
初见端倪
静电释放器可拆卸，符合剧情！
女娲区up
膳
原来青衣是这样生产的吗？
细，太细了
无敌
亿点点细节
女娲区up
我17出（小保底）
可爱
bgm是还是会想你诶
这是初音未来吗？这应该不是初音未来吧
好耶
善
我出5元，真出的话当我没说
上链接
这两笔够我学一辈子了
善（青衣音）
女娲在世
比官方建模好看（认真）
这我学集贸呀
寻妹眨
赛博女娲，粘土飞升
绝对是青衣
开造
许愿青衣不歪，十连双金，各位都有
许愿青衣不歪，十连双金，各位都有
许愿青衣不歪，十连双金，各位都有
许愿青衣不歪，十连双金，各位都有
善！！！
你是怎么把眼睛分开画还画得好的
这种都是先三连再决定看不看
我了个女娲
前面的，这么小，你说朱鸢？？
开门见膳
寻妹眨
善（青衣音）
注入灵魂～
细节狂魔
开门见膳
这么快！？
321上链接
总感觉大了一点
还有20抽就出了，我勒个大保底呀
看了视频才知道原来前辈还有两个麻花辫
帅啊
量产
大了
黑手！
别拿做建模的视频来糊弄我
啊？
哀家长头发了！！！
注入灵魂
闪电舞连鞭
爱了 爱了
善
来无减猜
丝瓜头发（雾
可爱捏
手艺人永远饿不死
碳纤维护膝
食物展示
善
今日女娲造人
接缝最不用修的一次（
上链接！！！！
想把UP家里都买了
量产
牛！
感觉脸部和身体部分有些许瑕疵，不过已经很还原了
看封面以为是官方建模
我去！？
千手扉间（雾
没吃保底出的（dog
快量产！！！！！！！！！！！！！
量产！
接手符合原著
好了，知道是谁了
善
善
比建模还原原画
比建模好看
青衣前辈，，，快来眷顾我
许愿青衣不歪，十连双金，各位都有
量产！
寻妹眨
善！
我在等简
没有不可能
看着很难，其实并不简单
@万代
我还以为是扉间嘞
量产，别逼我求你
这个好像是青衣
超绝卡点
这手太稳了吧，我连画直线都要歪
可拆双马尾
这也太细节了！！！
前面的米家角色哪个朴素？
太强了啊
我超，初音未来！
维纳斯
造人的小曲
我单抽出的
善
把手的参数发一下
米哈游我想要这个！！！
上链接
画龙点睛
抽个青衣给我出了个猫又
主播，收坐骑吗？
善
眼会手费
我去，初音未来（
小煤气罐
想插拔一下青衣前辈的电源
也太细节了吧
好可爱啊啊啊
姐几个又来看女娲造人了？（doge
女娲上线
小雷
注入灵魂
正版周边都没你细
画上胖虎
十连小保底+大保底，一起出了
牛批
布什•戈门
火钳刘明
请上链接
女娲区UP主
造人区up主
厉害
今天刚抽的
来了
这是朱映吗？
量产！
真上头
幸亏没歪
好牛啊，太还原了！！！
女娲最新力作
大花大花我来啦(≧∇≦)
我一发出的
天呐
看到封面就猜到是你的作品了23333
来辣，静电释放器
眼睛一下子就瞪大了
牛逼
欢迎回来
鲨鱼和青衣都歪了丽娜
立刻量产！！！
上链接，别逼我求你
上链接！
up厉害
光看这腿就知道是青衣了
终 极 格 斗 仪
老东西可爱捏
善
初音未來(幻視)
好多细节
上链接！
嘴甚至做了3渲2形变
上链接！
集贸组准备
我六发出(^.^)
别急，我喝壶茶先
30抽出，嘿嘿嘿(º﹃º )
初音未来那个你是开玩笑的吗
啊？
啊？
这我学集贸啊
⊙△⊙
寻妹眼
他甚至试图教会我
这我学集贸啊
我去，牛逼
善
一二三上链接！
第一个，来的无人区域。
可拆卸四肢，超还原
寻妹眼
暴雪！！！！！！
善
我是小学生，您能送我一个吗～
铁针扎脑
善
这么细？！！
建议量产
啊？
太可爱了！
大佬，请受我一拜。
建议量产
哇！
武器？
啊？
青衣的制造过程
毛娘
造人de小曲
女娲造人不过如此了
善
也太好看了吧！！！！！！！！！！
有手就行，诶我手呢
太牛了！
等雅
求量产
女娲在世
善 ！
这我学集贸啊
1点30分250多人在观看
钰偶的生产过程(确信
这么细？！
等会刚才我错过了什么吗？
善
善
黑手
保温杯
这么牛
这武器都细节拉满了
太像了！
开始点睛
来了，究极寻妹眨
up观察的太细了
好细啊
一毛一样啊 爱了
up手部乘区拉满了
善
一定要误入歧途啊
善
我去厉害厉害
手一如既往的稳
我先吃！
学集贸时间~
我来组成头部
这我学个集贸啊
牛逼
栗子嘴，可爱！
太牛了
您的造人区up主更新啦！
别拿手办来骗我
太细辣！
啊？
核心出装
上链接
为什么只能投两个币？！
不奉献俩币？
厉害
善
量产
即刻，大刑伺候！
我一开始以为是夜兰
好可爱好可爱
真的好还原！！！！！！！！！！
扣她电池！！！！
看的我手抖
我先来女娲区up主
你看人这手稳的！
细节遮挡
善
符合原著。
终于出了
善！
看着挺朴素的原来细节这么多
不是哥们，好厉害啊
好烫
这也太还原了
好强
利用东方仗助的疯狂钻石复原功能
量产！
两个号都歪了格莉丝，很无语
我合计我也没眨眼呐
青衣生产过程
慢了一点点
绳斤，这个正面害的我笑了一下
每个视频都显现出了每个角色的制作细节
没过万的大花！！！炫了！
烫！
666这个入是挂
女娲呀
善
我嘞个对称仙人啊
天才的小曲
造手和画眼是点的哪个技能树啊
啊？
各位侦探也来这里查线索吗
一只青衣的制作过程
这怕不是解剖了才能捏成这样
这个难道是备用电池？
卡密
2个小时前热热还能吃
老师好厉害
我们粘土区有自己的女娲
无所谓，我会收购的
大青椒
哇
眼镜厂，你蝶来喽
青衣的双马尾本来就是可拆的，防静电用的。
好烫好烫
好烫好烫
求链接
太牛了
穿上去的？？！！
头发的质感变好了！！
好细节！
我的天啊
太精致了
原来我来得这么早
接头霸王
啊？
这高光一点，立马就有神了！
又是寻妹眨的一回
妹子做的好啊做的好
造人区up主
我先来，女娲区UP主
这么对称是怎么做到的！
青衣前辈
？
？
太强了，竟然能靠手搓把整体形状和比例把握的这么完美
防弹衣居然不是用凯夫拉，差评（
好可爱……
好好看啊
细节
我去纯手搓的
哀家长头发了！！！(青衣音
这我学个集贸啊
好烫好烫
厉害
最早的一次
佬的视频每次都能让我重新了解角色衣服的构造，太强了
哀家长头发啦～～
好还原
好早
这么细
食物特写
细节好多
青衣可爱捏
来的最早的一次
已经想上上嘴了怎么办
一看就会，一做就废
女娲区up主
还热乎
最神奇的环节，接下来就是见证奇迹的时刻
想学想学
这么细节！
太强了
太细节了！！
太细节了
啊？
这么细！
居然不是用零件拼的，差评（）
太强了吧
来早了
来的最早的一集
青衣前辈~
才发现来的这么早
青衣前辈好可爱！！！
系可拆卸双马尾
好早
太还原了！
求手的链接
太强了！想要！
这卡点我天
承包青衣的大眼睛
20分钟，出息了
空屏我的
无敌
好耶！
注入灵魂
细节
太细节了吧
好多小配件，太精细了
超强技术里
最早的一次
啊？？
太细节了
早
好早
好早！
我先来！女娲区up主！
到了大家喜闻乐见的搓手手环节
寻妹眨
这也太细节了
热乎的
超纲
早
青衣前辈！！！
寻妹眨
暴雪
啊？
量产！
好还原！
好可爱的青衣前辈！
我先来，我也妹眨眼啊
好细节
我第一
