《好吧，我开玩笑的》
家里不盲的人帮忙呀，身为家人多少都想力所能及范围内让家人活得高兴点吧
支持
不要提醒这个啊！
没事，弄很高的话识别不到
怎么合成东西
末影人可爱捏
加油！
键盘上有盲打定位点啊。
小键盘的5有个疙瘩，方便盲打设计的
没错你卡了
支持你！
0...0
支持
支持！！！
支持
我去，点赞因为太密集直接网络错误了
支持
支持
支持
up如果床放外面一觉起来就不知道去哪了哈哈哈
小白：999
支持！
？不是可以垂直定位吗，之前的树叶也会有声音提示
地形：凸原()
原版有啊
盲人粉丝：.....
6666
《mc音游》
收下吧，这是我最后的硬币了！
这个还是基于本来熟悉图形界面，真盲人一定更困难
玩游戏最不伤眼睛的一集
王牌射手小白启动～
看好了小子硬币之力是这样用的
牛逼
早就三连了
看好了小子，硬币之力是这么用的
看好了小子，硬币之力是这么用的
支持
292人
盲人：看好了小子，朋友之力是这样用的
《繁殖》
伽马值不影响刷怪
确定不会睡着吗？
朗读：爬行者
直接三连
占领空屏
包三连的！！
《莫占盲道指示牌占用了盲道》
《困难长在下僵尸可以打破木门》
我知道，因为1㎡要17万，所以住不起（doge）
支持
天才！
太卷了
盲文不知道什么东西？还问怎么知道自己按哪个键？
大义！！
5
给自己搞一个永久的夜视不就行了
''''''''''''
那么请问盲人怎么加的这款模组呢？
"要么读莫得要么读莫久了,第一次听人读莫豆的"
说话的时候动作一直在重复诶
不如前后左右
114.5万的播放量
114.5万
盲人用的键盘上面可能会有一点什么东西来帮助识别按键
雷姆了
升华
请准备直线行驶
往前面走着走着就掉进岩浆湖了。
蕾姆了
而且有后天盲人哥们
猪猪要饿鼠了
加油
应该有语音播报成熟的小麦
我的观众需要光()
支持
注：可以安排一个计时器，每10分钟响铃一次，这与MC的昼夜交替时间正好相等
你测试
《极限生存》
支持
会不会是习惯？
上面的那篮球和鸡呢怎么联想到一起的？
游戏里不要怕打不过，就怕打不到
《墓道》
没毛病
没币了还剩两个小时明天我熬着
盲人用的键盘都是有盲文的
关键是mc还要手动把mod添加然后开存档
看好了小子，硬币之力是这么用的
支持
PVP的时候，就是挂
因为会刷怪
但是盲人怎么知道制作配方和游戏流程呢
支持
支持
1
我真是个性感的人
防刷怪
盲人都有朋友我都不如盲人...
笑早了
蕾姆
卡
升华了
你可以试试闭着眼看这个视频
1000人
看好了小子，三连之力是这样用的
看好了小子，三连之力是这样用的
骷髅：你好
、
是不是快饿死了
前面的，没火把全是怪
@诺子喵呜
支持
小白都摇头
《闭眼是怎么玩游戏的》
是我卡还是up主卡啊
挖三填一
火钳刘明
亿点点
泪目了
一坤格血
我记得B站好像有一些盲人UP，可以让他们来体验一下。
zc
因为每次调完快捷键，他都会按一下确定是否在那个位子吧
键盘上fj有下划线
不就是八格的空间大小吗
《我拉的世》
不就是八格的大
想起了龙长老。。
会刷怪
支持！
高速旋转的头进入中国
中文语音？
听力考试现在开始
加油
暗黑四！！！
原版有
之前在b站看过盲人直播玩我的世界
你过关
DNA级的病句(
支持
三连了！
谢谢你
看好了小子，硬币之力是这样用的
谢谢你
至少封住了，再远一格就精彩了
支持！
mod要念方块名称，盲人不会在意游戏卡顿
直接三连
他蒙着眼睛看不到村庄
也是直线（
这个题材很好哎，谢谢
看到公益两个字直接投两个币
最有意义的一集
挖三填一秒了
再进三个人就1000了
盲人的键盘肯定会弄盲文处理
手柄板
看好了小子，硬币之力是这样用的
而你，我的朋友，你是真正的英雄。
但想知道盲人玩起床战争是咋样的？
怎么感觉猪猪长帅了
盲人不是真正的虾啊他还是能看见一些光的
震惊
支持
fsg
雷姆了
三连了
《完美》
哈哈哈哈哈哈哈哈哈哈
盲人只要不是先天，盲打没问题
好流畅啊，我服了
那火把什么是不是没用
那么流畅？？
↑盲人也有朋友
966人
《仅仅》
前面那个m穴太厉害了
靠嗅觉（确信）
和我想的一样
《10000人》
空瓶！
幻逸：你神金吧
好家伙，假如给我三天光明是把吧
空瓶！
刚才打开背包的时候，我把左下角那个看成树苗了
5
不知道的，还以为那个一直提示方块的那个是听力考试呢
不用顯示器就是記憶力遊戲了
好卡啊
我也卡
啊，不对呀，我想到盲人怎么知道键盘是什么东西，而且他怎么知道我的世界的玩法？他也没法看视频，只能听听了别人展示的，他也不知道，还不知道怎么合成什么的，完全不知道，所以要真是盲人的话就完全没办法玩呀
键盘用久了能背下来的
，。。。
三连！！！！
应该是视频掉帧
投了两个
《地平线》
这才对啊
空瓶是我的啦！
空瓶是我的啦！
遇到小僵尸就老实了
村庄啊
空瓶是我的啦
空瓶是我的啦！
占领空瓶
吓我一跳
这改变属实有点大
我的键盘是75配列的 全剧终
谁不3连我跟谁急
前面的，这是Java
空瓶是我的啦
占领空瓶
占领空瓶
最有意义的一集
开了【确信】
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
666，泥这个入是桂，锁头桂（doge）
↑但离玩家很近的地方不会刷怪，不然一个苦力怕刷在你脸上晚上还怎么玩
占领空瓶
空瓶是我的啦
占领空瓶
雷姆了
雷姆了
呜呜呜，泪目了
空瓶是我的啦
空瓶是我的啦
占领空瓶
本关考验你听声辨位功夫
5
占领空瓶
空瓶是我的啦
占领空瓶
加油！
占领空瓶
蕾姆了
支持！
猪猪太有实力了
问题来了，那要是点错了怎么办
盲人 为什么 还要显示器
很多人盲人只是视觉障碍，不是一片黑什么都看不到
你以为F键和J键上的凸起是干什么用的？
羊：666，盐豆不带盐
小白：你好
能回家吗
近在咫尺的矿洞
mod开太多了
一般数字只要摸到中间的五，就知道方位了
山顶同人(doge)
忠犬八公的BGM吗
说实话，比真盲人难，因为up并没有真盲人的那种耳朵
支持
那怎么找末地门啊？
晚上？
↑上面的，你说的那个应该只是这个群体的一部分，是有真的什么都看不见的那种盲人的
视觉障碍不一定是全盲的
火把要放不然生怪
三连！
我是反作弊，这就是呱
雷姆了呜呜呜！！！！！！！！！！！！
这真的可能吗？这能被完成吗？
那如果有一个人眼睛受损，耳朵也受损了呢？
听不出，该罚！
前面一直刷盲人怎么下载的是因为他们的家人帮他们下载
三连了
为什么有压力板的声音 →
热知识：挖三填一不开和平就会饿死
不行 会饿死 ↑
提示：基岩
第一次给一个up两个币
现在是我的了
说明了成为盲人你的记忆力也要好
还没体验过盲打
说盲人不认键盘的，一看你就经常二指禅打字
爱
盲人不是瞎子
空瓶
完     结     撒     花
进度条危
——————————————————防空瓶——————————————————
破！
听声辨位
黑的地方会不会小声播报
智齿。
盲人可能不玩电脑
加油
6
基岩版全鍵盤模式
？
请问他怎么下载这个模组并找到？
聋哑盲人如何游戏？
猜到了
突然就不想玩了
史蒂猪涉嫌散播焦虑（doge）
挖了这么大的空间。没有光源刷怪。就只能死
[ohhh]
nb
顶
F和H键有凸起啊
加油！
点进来已三连，所以不三连了
[ohhh]
你是杠精吗？都说了是体验盲人如何玩游戏
伟大！
加油
你是杠精吧？你是不是没用过键盘？或者说你根本没用过电脑，所以对键位一点不熟悉，这种东西对于熟练的人来说都是盲打的，所以对于盲人来说也只是花时间适应的问题
又或是建筑大佬
完美的冢（）
在困难模式中不移动跳跃是不会消耗饱食度的
还是建筑大佬
就冲这个标题和选材就支持两个硬币
在没有水的情况下，小麦都长熟了。这花的时间可真长
你键盘用多了也可以盲打，盲人经过训练之后应该也是可以盲打的
666这个入开自瞄了
猪猪好萌，亲亲
盲人用的键盘上面都有盲文的
妈妈再也不用怕我眼睛受损啦！
好应当的声音
支持
这个可以优化一下呀
好！！！！！！！！！
有盲文啊，就像那种凸起的小点点在键盘上有些键盘就有
支持
右下角的火把。
大家记得投币
史蒂猪：我的观众需要光
调嘎玛值（没
帧率感人
明明是纯生存，但我却看得这么入迷
失之交臂。
镐了半天的树。
不会有人以为盲人有的是普通键盘吧
可以用盲文，让盲人摸到键盘上的键位
体积为8
生存大佬
盲人的世界不是纯黑。是虚无
？
看好了小子硬币之力是这么用的！
[ohh]
盲打不会吗，你见谁上班码字是看着键盘码的？
自愿三连
结束了
事实证明挖方块是比放方块更容易建房子的
小白：这人怎么不打我？
出院！
冢
起床战争建的都比这好
蛋镐
不转视角的时候也好卡呀
这还不如挖11填1呢！
好卡啊
连锁：？
键盘最有用的一集
三连了
《坟》
相当于盲人在丧尸世界中求生了
树多的地方简直就是刷怪塔
砍树的时候没有切视角，有可能录屏软件出问题
↑你们别叫了，对于盲人来说已经算短了
中学生注意：为什么…的原因是病句
那如果看到钻石却没对准钻石是不是会错过
5个小時
这些东西摸熟了，是不是可以把这个MOD装到竞技里边？这样就不用鼠标了
奥拉夫
所以盲人怎么看到键盘上的键位？
901个人
Mac：我吃lemon
众所周知 黑暗的地方会刷怪
空瓶是我的啦！
空瓶是我的啦！
《接近天黑》
空瓶是我的啦！
1145
空瓶是我的啦！
空瓶是我的啦！
《多加注意》
《仅仅两分钟》
空瓶是我的啦！
空瓶是我的啦！
最有意义的一集
看好了小子，硬币之力是这么用的
这个比现实还难，没有知觉
这个视频告诉了我们脑机接口到底有没有用
盲人怎么能按准键盘
盲人还是不太建议玩游戏了
还是生存大师
这下不得不三连了
火钳刘明
支持
《小白：偷袭》
dfs
5
5
空瓶！
1000多人
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
ggh
看好了小子，硬币之力是这么用的+
、他后面的那个方块儿，一个方块儿7块钱
《没开就是开了》
还是生存大师
不懂的路人：666这个入是桂
看好了 小子硬币之力是这样用的
智齿
制作刷铁机（doge
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
金嗓子手机（doge）
hhhhhhhhhhhhhhhhhhh
空瓶！
可以调伽马值这样我们的观感好也不会影响其他的
支持猪猪
幻翼：你好
繁殖
基建（幻听）
首先你要会使用并导入mod和游玩mc
空瓶拦截一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一
禁止空瓶一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一
《盲人只是你的谎言》
因为太黑了会刷怪呀
好厉害！
有个东西叫盲文
哎？那火把对于盲人来说是不是就没用了？
假如给我三天光明
泪目了
硬币之力就是这样用的！
←俯看确实是正方形
↓这不好笑
启动
↑那种紧急情况下，你还有心情费个十几秒去合成？
厉害啊！
占领空瓶
新 冢
这就是为什么要把重要的方块放到正方向上的原因，方便操作
这分明就是棺材
直接调伽马值不就行了
乐观点看，至少……不怕太黑“看”不见东西了
要是有峡谷那就好玩了
盲人点灯
↑键盘的一些键帽上有凸起，可以辅助定位，再以带凸起的键帽为中心记忆一下其他键的相对方位就行
坐标系秒了（盲人有学吗？）
以前在b站刷到过盲人玩，操作还挺熟练的
这个好啊！
感觉普通人去玩这mod能锻炼想象力与短时推理（要根据语音推断所处地点与情况）
爆率好高
热知识：没有人会在意你的空瓶
原神doge
调个伽马值就行了吧
高原
先生大义
语音播报：“草方块，橡木，羊，泥土，石头，苦力怕”
提示：基岩
注：大部分盲人不是全盲 他们眼前可能有现实世界的幻影
Java
◣◥◣◥DRANGR◣◥◣◥空瓶拦截◣◥◣◥DRANGR◣◥◣◥◣◥◣◥DRANGR◣◥◣◥空瓶拦截◣◥◣◥DRANGR◣◥◣◥◣◥◣◥DRANGR◣◥◣◥空瓶拦截◣◥◣◥DRANGR◣◥◣◥◣◥◣◣
智齿
加油
看好了小子硬币之力是这么用的！
挂！
你三连有了
传奇瞎子只找眼珠子
击碎空瓶！
火柴盒：我免费了
空瓶
。222222
陋室铭
注：火把在此处的作用并不是照明adj.
山顶洞人doge
你捐给他，他也不会给需要的人
前面的不是你的问题，固定转向会卡
他真的，我取消点赞了
不只是切视角卡啊，砍树也会掉帧看不到吗？
眼睛最舒服的一集
而且要防止刷怪
因为可能会突然爆出一句爬行者
[ohhhhhhh]
搁这背古诗呢，这么多要背
可是我该怎么找到
《明明就是豪华大棺材》
差点以为是阿山
占领空瓶！
！！！
游戏护眼（
B站上有个up主就是盲人，他出了盲人剪视频的教程，搜一下就知道了
最燃的就是bgm了
比我第一次建的好
励志
蜘蛛：这孩子说什么呢
支持，绝对支持
同款键帽
我的观众需要光! 他温我立
真有人认真回答啊是不是卡了啊
盲人需要一个人来辅助
《旁白》
942个人出来
‘’
3小时前，用岩浆热热还能吃
也许，盲人并不会玩游戏
冢
所以你们的暑假作业都写完了吗
。
简单的
吓得我啪一下就投币了
归西
明朝画质
要是再搭高一格直接完结
既然如此，给个三连
——————————————————防空瓶——————————————————
包投的
↑键盘可以盲打
这是啥视频制作软件啊
5
这是啥uipl
然后被三叉戟戳死了
幻翼宿管：你小子怎么还不睡，我看看怎么个事
看看我在得痴呆症的情况下通过mc
6
投了
键盘摸熟了可以盲打
晚上直接死了
但凡会盲打都说不出这种话
看好了 小子硬币之力是这样用的
《以防》
加油！
溺尸+三叉戟：你好
666盐都不带盐(
毕竟是盲人模式，所以根本也不需要照明了
但你为我们带来了光明（确信）
dream
进步
钓鱼不更好
结束了？
把盲游看成音游，差点以为盲人也进化了
事与愿违，有春装都看不见
支持！
《实现了食物自由》指饱食度小于7
666这个入开自瞄
看好了小子，硬币之力是这样用的
支持！
支持！
Tim？
农村不养鸡吗？
盲人打灯不是为了自己，而是为了他人
小白：感谢大自然的馈赠
cautious：0.3(剩余血量)
（极限模式）
问题来了，怎么知道小麦成没成熟
加油
pcl II
眼罩如果透光？
火把最没用的一集(确信)
挖到蜂巢就是神作了
我只知道前后左右
竟然没打错字
byd盲打还真男人挖矿是吧
要用键盘固定方向，所以像卡了一样
空瓶是我的啦
啊
卡是因为用键盘设定视角
真的没有人会跟我一样在mc里翻设置看吗，有一个专门给盲人的选项
三连了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
这个文章朗读好像在医院里
支持！！！
用这个玩起床战争
挖三填一会被饿死的
致敬恐鬼症教皇，我的观众需要光
pcl2
什tm绝世唐门笑死我了哈哈哈哈哈
现在才发现是极限模式
先生大义呀！
支持！！！
《blender》
”闪电苦力怕“
9:00
8:59
我的观众需要光
键盘的按键都是固定的。所以经过训练的盲人基本上都可以知道哪个按键在哪里。
官方不是有吗
大声朗读.exe
手机也有这个模式
人家把眼睛封上了看不到
支持！
刚在电视端看到的
时来运转！
好像PPT
PPT？
感觉应该很吵
为什么...的原因(
[前方高能]
[ohh]
[ohh]
请问盲人怎么知道那个键位是y键啊
[ohh]
？？《原石》！！
[ohh]
[ohh]
好困难...
蜘蛛：？！！
小潮院长
支持
那难道盲人就不生活了吗
记住键位就行
我的观众需要光（误入
移动视角用的是键盘，而不是鼠标。所以看着很卡。
泪目
雷姆了
嗯，庆幸吧，庆幸我们还活着
空瓶！！！
不，这是一种习惯
《铁砧：着陆》
要是没玩过mc第一次玩的怎么想
虽然我已经身处黑暗 ，但还要为人们带来光明
支持
那没有小键盘呢（）
打开复述功能（AI音）
666这个入升了自瞄桂
《双斧》
才发现是极限模式
不是有自动锁敌吗
血量：危
不是视角的问题就是卡了，每次挖完方块都会卡一下
买个带盲文的键盘不就行了？
还嚎
赞
这里的音乐是什么
幻翼：6
盲人还是开和平和死亡不掉落吧，up技术太好了
你四四就知道了啊
前面的，你试试笔者眼睛打字不就死了
420
原来你也看呀
盲人的听速可以很快的 不会这么慢
你可以留意一下 我会盲打 也必须时不时看看键盘
确实正方形啊，又不是正方体
好应当
"键盘上刻盲文或者借f,j两个按键上的凸起"
盲打懂吧？键盘上是有凸起设计的
盲人分不同情况的，有全盲的
就算是变成了盲人，也要玩我的世界吗？
但是会担心按错按键（
你币有了
这样玩游戏就不会近视了doge
加油
陋室铭
model，模型
觉得卡是因为在用键盘跳视角
你是怎么把盲人和游戏想到一起的
“末影人”   丸辣
支持
还有街霸
幽默幽默一群从脚慢跑过来散发脚气是吧
加油，会好起来的！
加油！
无限天，你不会饿死吗
加油加油！
受伤的声音咯里咯气的
《坚守者》
注意，盲人能听清的语音播报远超过这个速度，但是效率也只是高一点点而已
上面的红字，现实中其实是会比猪猪快很多的，因为这些无障碍的语速可以拉十分快，也能听清，蛮心酸的
他温我立
好耶
其实盲人连黑色都看不见
支持！
盲人：我不想玩
支持
加油
《方方正正》
这还不止八格
……鱼骨挖矿法，［岩浆］
这些想看实况诶w
这是给在玩过MC后再失明的人用的吧，没玩过的不会玩
那么问题来了，盲人怎么知道自己按的是哪个键？
░░░░░░░░░░░░░░░防空屏░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
支持
░░░░░░░░░░░░░░░防空屏░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
盲人怎么玩，没玩过用mod也没有
蓟县
看好了小子，硬币之力是这么用的
5
别钻牛角尖 钻的话怎么不说语音AI盲人是怎么装上去的
G和J不是有纹路吗
热知识：盲人连黑色都看不到
《仅仅》
我把离巢看成高巢了……
本关考验你听声辩物功夫（手动狗头）
我的观众需要光（教皇音）
这个歌怎么老感觉听过
不是我怎么听不懂
←盲人不配娱乐？
必须三连
墓穴
从视频到现在，一直都是白话
毕竟风险与机遇并存
mc ns版
这个挑战比真盲人玩，都难啊，正常盲人还是能看到些东西的
蒙住双眼不行
键盘j键有个刻感受得到
先生大义
美末的无障碍模式做的很好
我突然觉得手柄操作好像更适合，唯一缺点就是没法高精度转向
我感觉这款模组好益智
盲人也是有家人的
诺子会玩！而且非常好
《多加注意，我们就不（会落地）》
《铁砧》
挖坑不用插火把了
F按键和J按键有两个凸起能帮助定位的，打字员打字也不需要看着键盘啊
《   仅  仅   》
10级中文考试
我的观众不能没有光
挖11填1 X 挖12填2 √
《挖11填1》
《大帅哥史蒂猪》
用手机自带的盲人复读软件去打开mc百科之类的
那么问题是盲人该如何找到这些键
自动索敌
要是两边都是白桦树林呢
盲人盲打呀
我靠 我没币了
你猜盲打用不用看键盘
前面的会饿死
盲人不玩儿游戏
3D游戏本身就不适合盲人游玩
听到怪物的声音时，不要慌乱，那是幻觉，请换个方向，确保不再听到声音
《冢》
自动瞄准，简称自瞄
为什么不开噶嘛复写呢
刷盲女第五玩家是真魔怔了（我就玩第五）
我还以为吃辣条呢
吴子：全是运气
如果走着走着地面有个坑的话...
看好了小子，三连之力是这么用的
qwq
加油！
BGM：生命之歌
进度条危机
好应当
连火把都用不到了。
键盘有盲人辅助键
请收下我的膝盖
[ohh]
挖三填一会饿死
可以闭着眼听这个视频
防刷怪
盲打啊
开我西阁门
《原神》
↑记下来又看不见↑
我想到了诺子喵呜
哦还活着（
xswl 闭上眼睛就行了，怎么就不会有了？
比博燃
桌下老头发力了(确信)
等一下问题来了，如果我是个盲人，我怎么下载我的世界跟这个mod？
你币有了
可以让朋友帮助
这怎么看着那么像1.14刚公布的图片里的那个村庄呢
这么玩游戏就不伤眼睛了诶
烫死力
支持！
有树鸡的史蒂猪喔（方言
有定位键
假如是盲人的话，那他应该能听见吧，他又不是聋子
我的观众需要光（艾米音）
那眼睛蒙住的时候能看到键盘上的字吗？
我蒙住眼睛都找不到这些键的位置
哦家家户户飞蛾啊啊
艾米名言：我的观众需要光
三连冲冲冲，太有意义了！
Asdfghjkl?
最早一次
