《名蒸蛋柯南》
很喜欢这个游戏
《禁止随地大小变》
《直言不讳》
小夫（确信）
可爱到爆
可爱捏
最早
娇小可爱的坚果葵战士
算不算找童工？
異議あり！
这个僵尸属于英年早逝的那种吧
上面的我也是
给小学生玩也好，但是我没有电脑
明明就没有人刷任何别的UP主呀
其他版本玩多了，感觉这个版本有点独一无二
食堂开饭了（确信）
用火爆辣椒炸一下就直接露出原形了
小壆生玩也刚刚好（bushi）
超级棒棒糖
好可爱好可爱好可爱
2小是
貌似还有个金牙。
饼干
其实是大嘴花把小江江的棒棒糖抢走了，然后小江江跑了。
ws
这不是柯南！柯南是小学生！
感觉改成把糖果抢走吃然后僵尸哭更可爱
《不给糖就吃人》
丧尸贴僵尸符
拿他家长挡伤害（确信）
"似故而问""难道没人占领空瓶？"""
向日葵的使命之就当炮灰
小能小能能不能更新钢铁侠呀？
太可爱了啦
看成红领巾了（bushi
这不像小推车呀，像奶瓶车
终于更新了
可爱捏
认知滤网被炸没了
好吃死了
有颗黄牙。
植物僵尸可爱
两小时前？
好的，不当炮灰当跑友
《粑粑》
1000+？！
把认知滤网炸烂了
符咒被炸掉了 现出原形了
这个笑容怎么那么像猹的(主要是腮红确实很像)
朗朗
全都很可爱
《糖果派对》
可爱死了啊！
《笑脸》
那如果是娘化版呢？
可爱
蛀牙（确信）
坚果弱
《跑友》
有一颗金牙？
这是橡皮泥
首（
[ohhh]
禁止浪费粮食哦
给美颜炸掉了（确信）
饼干
德莉傻病毒
PVZ照亮世界
好早
40分钟！！！
炮灰葵：开幕雷击
棒棒糖可能是原版的手
好早
还挺热乎的，20多分钟前
认知滤网出问题了(
论：一首UT的曲子养活了多少UP？
这还有颗金牙
点赞量1145
25分钟前
1分钟前
期待血腥版
逆天，豌豆子弹也有表情
还以为不火呢，原来是我来太早了。
这是婴儿 板
僵尸更可爱！
21分钟
植物可爱！
植物可爱！
僵尸更可爱！
植物可爱！
僵尸更可爱！
植物可爱！
僵尸更可爱！
植物可爱！
僵尸更可爱！
僵尸更可爱！
僵尸更可爱！
植物可爱！
僵尸更可爱！
僵尸更可爱！
僵尸更可爱！
植物可爱！
植物可爱！
僵尸更可爱！
《听说早来了发什么都能火》
植物可爱！
最早的一次
18 分钟前
第一个弹幕
还有颗金牙？
第4千多个
13分钟！
十几分钟前
十三分钟前，正热乎呢
原形毕露
奶瓶：确实
已经1145个赞了
豌豆也有脸诶
是不是有个金牙啊
所以僵尸的本质就是土豆
两眼泪汪汪
甚至还给他留了点头发
朗朗：你再骂
牙黄了
不是坚果墙，那是融合版坚果墙
融合板排面
注意小能现在的声音
你的脸怎么红了？
以为不火了，其实是早了。
六分钟前热热还能吃，太香了。
《笑脸》
细节：符上写的是菊，可能是菊长大人的水印
这戴夫明显与图片不符啊，竟然这么粗矿的语音
好烫
¹11111111111
大PVZ时代！！！
这么可爱喂僵尸一定还不错吧？（dog）
两分钟前，烫嘴
第一个看完
热乎的
最早的姨吉
刚刚！
刚刚！
一分钟前！
一分钟前！
好早
刚刚！
一播放45赞
刚刚
刚刚
最早的一集
