狂魔哥36个小时
说不羡慕拼命的，看你拼命三十小时能不能做到吧
那些大主播能播十几个小时一直bb，话不停，这还是基础的
秽土重生
哈哈哈哈哈
那没事了
真有人觉得连续播30小时很简单？
贾君鹏是设计出来的  不是自然流量
思路清晰，关注了
闻会军就是炒作
顶针：啊对对对
别罗太了，罗太全是节目，跟普通人比不了
就是抽完水拿了80万
不如顶真
史中史
太味大了哈基米
那么多主播熬夜奋战，凭什么就他涨那么多粉？试问那么多主播都不如他嘛？肯定有别的优势
30多个小时啊。6000多个粉丝，也不是普通的呀。
？
哔站播黑神话的人多了去了
那内行呀。
纯黑他本来就有300万粉丝
小学看过
顶针了
不死鸟技术差了点，杨玩到12点多就通关了，我记得
新闻学魅力时刻，不可能的
up是什么牛眼
没人知道这是少囧么
三连了，真实
谁也不认识
白菜
我连游戏都不会打，还和他一样
氢㚷亄鵴
打了四个小时夜叉王
现在4w粉了
三史结合，是吧？
大力仑没有！她喊长城跑的时候才小几万粉，我一路看过来的
不知元深
赛马极致
不是杨齐家？？？
要是我有游戏天赋也去播了，可惜玩不来这个游戏
前面的，你没卡，他故意的
