还真遇到过这种老人开的，有味硬说没味，就没去过了
都开始黑父母了，真有出息，这个赛道比挑拨男女对立有意思
"我看你吃的史,比我呼吸过的空气很多"
都开始黑父母了，真有出息，这个赛道比挑拨男女对立有意思
"简笔，不想看了,阿婆以后少发点"
这种人还真罕见呢，从哪来的灵感呀？
非得让人怼一句儿才得劲
你怎么敢怎么放心的啊
丸辣
你跟我一个山东人说吃盐比我多？
血压高了
byd小玲还挺好看
老玩意
不开空调的饭店我都不会进去吃的
丸辣！
糟蹋完了拍拍屁股走人咯
经典为了你好
气死了我
哎人情可不是就吃顿饭啊，吃饭谁吃不起啊，人情还得人情还
自己也是逆天 这时候出去 女朋友的事情不好离职不就行了? 刚好开夫妻店
这个真的不行，已经不是小气了，是健康安全问题了
从娘胎里面生出来就开始当父母了吧
阿姨有高血压
……
安的心再怎么好做的事不对就是不对也别自己绑架自己了，有问题直接提出来最好
早这样，我早骂了
完咯
丸辣，我要变超雄辣
吃不出来
稳啦!
我觉得我要得高血压了。
这朋友不错
能害
丸辣
那你还真是闲的
逆天
这是贵人啊还主动帮你
核心出装来了“我不也是为了你好吗”
这视频都要结束了你才说
1983年小巷12月晴朗
丸辣
穷人认知低不等于缺德哈
没有下一代
核心出装
傻
人际
看不下去了太压抑
私人木秦
逆天
压力怪 神金
稳辣
我是矿工这是黄金
稳辣！
。。。。。。。。。。。。。。。。。。。。。。。。。。。
吃出问题那就不是省省就出来的了
啊…恭喜啊把我底血压治好了
那是你口重
稳了
大伙儿听我说，权丸辣!哈哈哈哈哈哈哈
哦？双喜临门
窒息了
这种太极端了，正常做生意不会这样的
.....
完啦，店要关啦！！
CS
早该赶了
干脆直接去要饭得了，一步到位
要当孤儿
fw儿子
我踢飞出去用我说
養父児に迫る
好了，已经不想看了，血压上来了
逆天了
这种店就活该凉怎么努力都没用，不把根源清了，凉了怪谁？
这都多少次了，该让人回老家就让人家回老家吧
丸辣兄弟！
你可以拿回去吃
《多放点》
"注意不是""慢慢""是""很快""就黄了"
可以了，已经想到了，完了
没有下一代了
差点意思就是你没意思意思？
红温了
小心肺结核
忍不了了，红温了
我看咱俩也别兄弟了，你做我爹吧
吻辣
就是不是真朋友也是看你未来有点前途可以当资源利用，所以能改尽量早点改
喂狗，养猪...
绝杀
不开空调的店我进都不想进
稳啦
稳辣
咋没齁死呢？
这个时候已经可以准备让父母回家享福了，宁可再招一个店员
让父母帮忙都不行，我店里让我妈帮我看一下，啥都不要她做，她非要做，给我东西乱摆，灰不擦，指手画脚第一名，抱怨她还成我不知好歹了
那时的时代红利可比我们现在容易吃了，他们又没有把握住，说明真的是认知比较狭隘了
逆大天下头父母
这可真是遇到贵人，但是父母挡住这个贵人给的运了
难怪能升组长，确实能干
最怕这种没有远见，只顾蝇头小利的父母了，能害孩子一辈子
啊？
你还不如自己把这剩菜打包了，自己吃了拉倒，偏要祸害顾客
给我看红温了
我暑假有一次，去沙县小吃发现没开空调，一瞬间就不想吃了，转头就走
看得我上火
？
《搞笑日常》
丸辣
稳啦
是这样的 这句我经历过 太特么真实了
无知的父母
丸辣
666
是你开的店吗？你就在这里指指比比
我父母也是这样的人，且在家没有主权凡事都要听父母的，这该咋办呀
升华了
给我看红温了
喂狗呗
丸辣！！
纸张浮木
你再怎么节约粮食也到不到非洲人的嘴里
纸张浮木
血压升高中
父母能整明白，咱们早就是富二代了
吃盐是吃盐，“进味”是另一回事
25 不收了
稳啦！
大部分亲戚都是这样的
说实话，看一半就关了，看的血压飙升
看懂了
包嫌弃的，有多远滚多远
就不下去了，好生气
看得出你挺闲（咸）的
丸辣
看出来了是挺闲的
真兄弟
稳辣！
建人浮木
丸辣
有时父母想的还没你明白，大半辈子白活了
我早就想到这个了
丸辣
丸辣
几块钱的事
经典
他爹也没见干活啊？？在这干啥的？
丸辣
稳辣
遇上难忍的直接掀桌了
稳辣
高血压了
食监局：红温了
夏天首选开空调的饭店
艹(*≧ｍ≦*)
俩牢不撕的都给我飞起来！
父母也不是保姆，另外请人还舒服
逆天父母
蒯丨
那不闲死你
又丸辣
丸辣
？
丸辣
又玩完了
丸辣 要黄辣
没有下一代了
夏天不开空调的店我也不会进
我靠真的会接着卖嘛？
游完了
你为什么不能强硬的要求他们做呢
文拉
湾辣
不能浪费自己吃了呗，恶心客人图啥
服了。。。
瓦辣
经典《一码归一码》
一滑二不就翻身了
老登
有这父母何愁能反身
想要人们就在第一次的时候直接把握好，否则以后都白费
…
这就是普通人想翻身的难度。
老东西还挺会制衡的
《总不能》
大家快投币点赞，让更多人一起红温！我忍不了辣！
刚改开那会，你当贩子也能起来
我爸的老板，早年是搬运工，做房地产起来的
到现在没看出他爸有什么用
阿姨你是食堂阿姨吗？
《皞逝》
我绝对不会进有吊扇的店吃饭，受不了吊扇在头上疯转
孬餐
byd
一码归一码！
完啦
你猜我为什么撵你？
我爸就因为家里不支持错过了个发财的机会
我妈是这样的，但幸好我爸不是这样的
一家子都不省心啊
看不下去了，阶级上不去，生意做不好一定是有原因的，这是其中一种
我家就是这种不团结的家庭，干啥都不团结
不能不带着父母了吗，干不明白就早搁家呆着呗
味儿正了
我要心梗了
这是真朋友
不说清楚对面是啥人，还是太相信父母了
这男孩也不和父母解释明白
稳辣！！
稳辣！
又寄辣！
猜到结局
不是骗各位，我有心脏病，不看了。
丸辣！
纯纯的逆天
稳辣
没下一代啦！直接死！
说得很对，有这样的父母如何出息
早该这样了
我开过店，太真实了。
主角是纯纯的活该
赶紧在
好了，我知道要发生什么了
件货
早该干走了
来辣
笑嘻了，关门大吉
666所以我从不在外面吃
完啦
一开一关更费电
看到这里，，是我爸妈也不让他们来帮忙了，，，，
这老登 气死
1000起步
没必要扔 要我我可以吃
红温预警
丸辣
？？？
完啦！！
舒服了
我已经红温了
咋不至于呀？吃出异物不足1000元，按1000元赔偿
别人付了钱的，哪还有成本
丸辣
会什么人情，嗯？说话以后过脑子，别乱叫
老一辈有个毛人情世故，真会送礼的有几个
时代变了呗
烦死了
背景呢？你以为资源真的会倾斜吗？不懂装懂
血压高了
可以自己吃
谜语人
喘不过气来
家长还要这么骂孩子
这种人这么抠搜就不适合从商，别跟我说什么勤俭节约
白吃的还要求这么多？
丸辣
这种情况孝敬是孝敬，该吵吵该熊熊，做生意可不能这算了那算了
都是必样的
看着真窒息啊。这父母能发财天理难容啊！
丸辣
不能吵个架？不能请回家请人来整？你憋的跟乌龟一样，父母做生意听父母，没做生意听你，生意上的事，都不听你的，替你做主了，还搁这哎呀哎呀的
这已经不错了，你以为餐饮店都是扔？？？ 火锅有油不利用10次不可能扔
丸辣
确实
中肯定
这是真兄弟啊
变成炸豆腐就好了
出生登场
所以一般别跟父母住一起
唉 这真的是搞笑日常吗
传统艺能
是挺多余
己所不欲，勿施于人。
不敢看了 太真实 太气人了
愁啥？人都走了，换我都高兴死了
完了
这都能忍？要是我早把老两口弄走了
送烟扯淡了 第一次接触谁收这个 还是公共环境 再说了 虽然普遍如此 说出来谁不烦这套
一会开一会关更费电
丸辣
你嫌浪费你自己吃掉不就行了，凭啥再卖给别人？
丸辣
我只要吃出来一回酸的有味儿的，我再也不会去
好了，已经倒闭了
一人多角?
一般长辈对人情更上心的．
完了…下面的你敢演我都不敢看
逆天，这么个重要节骨眼出去了
笑死我了，人家帮忙也不是本分呀
这做法是人？
这些剧情就是为了让你血压高 不知道为什么能上活动
文章宇宙
是他们那辈失败的人才大多这样
真节约自己吃了不就行了
真有这样的人？这不得直接掀桌子
看不下去了啊，这老板也是有病
又开始了
快滚快滚
丸辣！
走都走
你直接说求他办事不就行了 这几个字这么难说？
看不下去了，走了
丸辣
稳辣
《为你好》
伏笔
md，圣经
拼了
店都没了
好好好
伏笔
节约粮食自己吃谢谢
找服务员花钱，找你们亏大钱
还有这好事，快走
格局太小
其实就是没生意头脑
付15得1000怎么走了大妹子
这哥们是真兄弟，女友也很好
又想起了那碗全是青虫的饺子，那家24通宵面再也不去
不好意思我已经在骂人了
离谱
服了真的是
赶紧滚
实话改开遍地是钱，你就算当菜贩子都赚了最少一套房，我身边一个朋友家就光买调料都赚了市中心三套房，所以眼界和格局真的很重要
我感觉我胸口很闷，已经开始红温了
这是道德问题
我老公妈就这样，不该省的吓省，还她委屈了一样
如果这样的话，这店指定黄了
666
真实啊这种家庭
节约粮食你吃了呗
不会有下一代的（︶︿︶）=凸
真是好兄弟
你节约那你全吃了
剧情杀就没意思了，
这不只是好兄弟，这是送给屏幕前的你的话
6666666
哎妈呀不敢看了
最烦扣了吧唧的店进去热死个人
rz
看红温了
那你自己吃了不就行了。。
外面的店差不多都这样
开开关关最费电了活爹
经典燕巴虎
你吃吧
不是口碑废了
男的也不行啊
一点格局没有
你花钱吃别人剩下的什么感受
升华了
好窒息的感觉
抹布也是为了你好
我就不信所有的店……
一千？
吃了那么多盐，为啥没长进呢
丸辣
又丸辣！
舒服了
丸辣！
？？？？？你不能做完再走？十分钟的事
这么小个店为撒要请父母呢？自己和女友干不就行了
这不纯自己问题，重要客户不亲自接待
不浪费，没人拦着你不让你吃
女朋友孩子都是大海的，还好兄弟呢
经典没苦硬吃
？？？人家借钱开 你还一码？
又不是你吃当然吃不出啊
小灵好像极速拍档nana
出生浮木
太好了
让老人回家休息不好么
这辈子有了
确实 那时候可以说是黄金时代
还好我自己有主见，没有让认知低的父母干预！
安排这剧情意思是之前送了礼就不找茬了？主播真是，Big胆
丸辣
完了
赶紧滚
血压最高的一集
不都是自己吃吗
那就不能卖废品吗？
稳辣!
又丸辣!
能有钱开个饭店这就不是一般家庭了 父母再怎么目光短浅也差不到哪去
我真无语了
真的
《我们还能害了你吗？》
这种时候就应该让老两口回去享福去，不应该让他们插手了
完了，不敢看了
丸辣
？
太对了
忘记主题
能说出这话的也就能吃盐了
丸辣
真的是多余
红温了
我怎么就没有这么好的朋友...
看的都红温了
丸辣
这种剧本也是真绝了。
自己吃了
真贵人呐！
想打人
那你吃了
要我说出去找个临时工都比较强
他还在发力！！！
？
我草看个视频给我看难受了
发癫了
一定要心狠，这种不心狠没用
那你别吃饭了呗
逆天
看红温了骂人的话就在嘴边了
老婆会做生意，可以的
一言为定，双喜临门
简笔话还挺多，红温了
不能浪费，你可以自己吃，没人拦着你。
寄
件货
稳辣
………
丸辣
自己家头发跟外面的能一样嘛
血压高了
把大哥惹了哈哈哈
我宁愿自己一个人弄。也不会叫父母。
。
…
哎
????
…
谁家盆友收钱了
经典发言
花生确实都会倒回去
无解啦
讲真别人吃剩下得真的有点隔应
为了你好直接秒啦
剩的这个确实可以属于自己，顾客抛弃所有权了，但是又为了食品环境卫生，所以不能放回去，你顶多自己吃
红温公式直接秒辣
這麼說的話，你讓我很害怕
逆天
能编出这种剧情up也是有脑子的
翻不了身是他们自愿的
丸辣
为了你好直接秒了，公式化做人就是爽
什么瘤胃啊
这不纯初生？
一家子都分不清轻重
老一辈的有苦硬吃
丸辣
真是好兄弟啊
稳啦
你收钱你觉得你赚了小便宜，可是你损失了大人脉
完啦
让这父母别干了呗
好兄弟啊
丸辣
现在知道一码归一码了？
丸辣
这是去大学食堂干过几年？
好窒息
父母要是这样的话，就不能带他们玩
毒了，太真实了，当你想有一番作为事，真就处处给你扯后腿
正常付，说明公事公办，惨咯
你脾气咋这么好
丸辣
极致降本
还不给这莎士比亚赶回去
《咋的了》咋的了你不知道啊？
莎士比亚
完了
司马浮木
丸辣
不是能忍，这只是脚本
好恐怖啊这样的父母
谜语人
方   博
真兄弟啊！
丸辣
有俩老登在这店绝对黄
丸辣！彻底丸辣！
直接放鞭
骂出去
想靠小生意翻身？根本不可能，五十万以下的生意连生意都算不上
这店有了
不自己干，可能是因为干这个来钱慢呐
你不想干就自己走呗腿瘸了？
难怪你这么闲，原来是盐吃多了
快滚
二笔吧
好，这期视频到此为止了
你自己吃当然没问题，但是卖出去那就不行喽。
仁济
离谱 这么重要的人你不亲自接待
这倒是比较好的
餐馆花生一般会倒回去
稳辣！终于稳辣！
《搞笑》
典
升华了奥
我开了三家餐饮了 大店小店都有 压根没这些潜规则套路
这是遇着小贵人了
烧烤店?承接上集呐？
视频这样故意展现有点离谱了
稳啦
逆天
老板看了直接骂的，不管你是谁
完辣
漂亮
让这两滚回家待着不行吗
丸辣
丸辣
纯纸张
感恩我的父母很开明，尊重我的爱好，感恩朋友的贵人，感恩尊重与理解
只能说活该一辈子底层
真丸辣
放心，现在只有风扇基本没人
看得我窝气
让他们滚！！！！！！！！！
受不了了
虽然是演的，但我还真想看他跌吗一步步把他推向深渊
反复开关空调，压缩机能耗爆炸，还是商用电
丸辣
典中典
byd
这辈子有了
丸辣
是卫生问题，真没开封的也无所谓
这次没说清楚，活该
确实有时候别道德绑架，顾客付钱后有处置权，就算买了吃的倒了也造成了经济价值，粮食不是这样省的
妈宝男？
全家都是拖后腿的啊
这种成本节约了出事能让你破产
快滚
逆天浮木
人情就归吃饭就解决了吗？
有这样的父母真的别想翻身了
这视频看的我真冒火
法律问题
丸辣
真想看自己干成了打他们脸
一时小利坏了招牌
没齁死你
省流:别看太恶心了
没老房子吗，这种东西还要来帮忙
打感情票也不能让我店黄！
我家开饭店的细节做的可以，但是饭有点难吃TT
好窒息
你吃的史比我吃的盐多
丸辣
《为了你好》
太爽了
丸了！！！！！
爹妈歇着得了
看的我想打她（她指这个妈妈）
气死了，大半夜看这个想杀人
红温了
鸡蛋6毛钱一个
真是
告诉我有没有反转 想骂人了
丸辣
高血压都快气出来了！
这父母绝了啊
我真窒息了……
你是亲生的吗
丸辣！
稳辣
看不下去了，我就退了
疯了？
艚匿嗎
啥匕
唉，看不下去了，不敢想后面的惨剧了
那你做生意还非得把父母叫上？
看得好累啊
稳辣
丸辣
女人误事
丸辣
这有啥好愁的，要搁我我直接就给这老两口子轰回老家养老去了
幻想哥幻想时刻
最后这哭你给钱了吗我还真遇到过两次
早该这样了真的无语了
如果父母没能力，千万不要相信他们说的话。如果他们说的话有道理，他们早就发了
这倒是真的，那时候房子跟不要钱一样
这，真的存在吗我天呢（指开店情况下）
不能多看，会气到
完咯
丸蛋
这一家八字犯冲，别住一起
这辈子有了
这还不让回去 店肯定是没了
俩老毕登真无敌了看得我血压爆了
红温了
开始了开始了
丸辣
红温了
窒息了
真兄弟啊，说实话干生意就不能找父母
这俩东西能活到现在已经挺不错了
不能浪费你自己吃啊
不分轻重
节约成本不代表节约诚信
能不能说清楚啊啊啊啊
欸woc半夜给我看红温了
别想了大多数人连吃饱饭都是问题
真是节约，你没经理过你父母那辈所以你不感受到，你经历过绝对不会这么说
人才
稳啦
我先走了怕得乳腺癌
红温了已经
丸辣
太窒息了
整的抠搜的
这父母别要了，尽帮倒忙
彻底完了。。
丸辣
绝绝子
完了…
擦坤巴是吧？
放屁，肯定事业重要
两千块登顶，不好意思
。。建议做生意别带上父母
绝了
我是鉴宝师，这就是神金
键人
这种不说一顿是不会懂的
付出论
不是你不能说清楚吗？他是谁？你说清楚啊
已经红了
你留着在是赔钱
有这父母确实难翻身
难绷
男主还这么淡定？
丸辣
完了生意要黄，女朋友要分。
能
有病好像
科幻片
顶级回怼：我吃过的盐比你吃过的大米饭还多。回怼：怪不得这么闲（咸）。
你可赶紧走吧祖宗
啊这
我想扇她一巴掌怎么办
有这样的父母，我也不愿意和对方结婚
又丸辣
你心疼自己吃了呗，还给人顾客
当年我开店我妈也这b德行第二天直接招人让她回家爱哪待着哪待着
不看了，制杖老登太涨血压
不浪费您自己吃
你就该吃这玩意
我草，两个老逼登
搞篮子妈妈
稳啦
经典帮出错
拆家的吧
任几父母
自己也傻 来人了就不往外走呀
有的小的店就敢这样做
经典没苦硬吃pua
额，他女朋友误了他事了  这时候人不能走的
彻底丸辣！
我是快递员，这种件货要撕码
是我我就让他们回家去，爱干嘛干嘛
boss最终段
我死了我被气死了
盐王爷
就这头脑还做生意？
我c，给我看红温了！！！！！
太好了
还是提倡不浪费粮食
舒服了
逆天
谜语人真该死啊！
啊啊啊啊救命啊啊啊啊看得我甲状腺结节又变大了！！！
情商问题，不会做生意，情商太低，这种父母难怪一辈子都是低层
想杀人了
可谢谢你
我是诗人，这就是见笔
一家子扯后腿的
我现在感觉当今社会做人做事最不可靠的就是父母
要过段，会取舍，这种情况下父母就不用来店里帮忙了。
有的时候  生意不能让想不通的老人插手
血压上来了
他这是自己的问题，自己父母啥样不知道吗？我最讨厌那种自己开店为省了两钱，把爹妈捆一起的。本来就不是专业的，更有的爹妈出了钱还得免费干活，完了自己还哔哔赖赖。 视频UP生动的表演了什么叫出生！
这个确实，父母那个年代起不来的，基本都没那个脑子
这辈子有了
《我们还能害你吗》
笑死，越低谷越信命
要是我的话直接扔了，干嘛要问他
我：爱吃不吃，不吃别影响我
血压上来了
你可拉倒吧，人情世故，纱布父母从来没少过
丸辣
？？？？
这男的也是白眼狼，懒得跟爸妈交流，还嫌爸妈笨
玩蛋
节约那也是自己吃
彻底丸辣椒！！！
问题是他们节约影响客人呐，客人他妈招他们惹他们了
人机父母早点回去歇着吧
丸辣，彻底玩完辣
负罪感压力
让他吃，他乐意吃就让他吃，有好的不吃就就爱吃那剩的东西
逆天
不敢看了
选择大于努力，一个好的教育大于选择，要不没有选择只能捡着吃
恶心
谢谢，血压上来了
无处不在的月计人
本来就多余
不要和亲人一起做生意
稳啦
红温了
完啦
不是哥们
逆天
我求求你了，你雇个人吧
不要尝试纠正任何人。因为你做不到
这样下去连朋友都得整跑
我都不敢往后看了
你不嫌弃就自己吃，也可以给狗吃给猪吃
省流：大件货
已经看得血压高了
丸辣，彻底玩完辣
那你快吃了呀
完啦
这两件货能不能滚
普通人想翻身最好的办法就是脱离原生家庭
红温了
完啦
不倒闭我吃
红温了
这里有点夸张了吧，活大半辈子了能连这点道理不懂
有多远滚多远
完啦
那你口味挺重啊
真实
这是兄弟？，这是我失散多年的干爹啊！
byd开个店都找byd父母帮忙
不是，也没说你错啊
有道理
窒息啊
我不行，我红懵了，我从头看下来我真的想骂人，我的乳腺也是乳腺啊
上面的，不提前说了吗？
说清楚了还咋拍
那就别帮啊
隔着屏幕给我气到了
别让父母帮忙了吧，天天打着为你好的名义帮倒忙
一家没一个省心的
真的服了。看着红温
兄弟太通透了！
废话
“没苦硬吃”
低血压狂喜
好兄弟啊！
要不说你咸的呢
稳了稳了，生意兴隆！
速走速走
这是义父啊！
快走，受不了了！
看的上火！
闭环了
感到窒息了
爆炸了
这不得放鞭炮庆祝
抓住机遇确实要钱，但是这个钱你真有胆子，你去借都能借到。不要为失败找借口去想原因。
就这破事还把他叫来？
不是你叫他来的吗？
丸辣  都丸辣
出问题了，却不解决问题，怪得了谁呢
要是我我宁愿招人也不让他们干
大挠喰父母
好起来啦
已经能猜到结局了
啊？
谢永强跟谢广坤
完了
丸辣 我已经知道怎么失败的了
丸辣
我光速吃掉
又丸辣
？？？？？？
彻底丸辣
两个老触升
不浪费你自己吃了多好
完了
成功按死在地上啦！！！
省流:给钱了吗
这个时候就该说：一言为定！双喜临门！
在这干你是赔钱货啊，为啥让你在这儿啊
ky小鬼发力了
好想揍人啊啊啊
丸辣
那你自己吃啊
完喽
来了来了，盐焗老灯
