有一种钢丝萌化mod加载界面的感觉
少女前线前传无误
还有高手！
建议先看实机再考虑pv
三连给血液型了
少林功夫好
我刷到了什么？
还有高手？
阿尔派（
洁芙缇
SVN-98，就是烧钱的KSVK
74UB和配套的BS-1消音榴弹发射器，具体图片可以在枪炮世界找到， 加装的1p78有点出戏
杠三车体接头杠4炮塔？
BTR80
二次元文明？
看起来像是2D纸片人游戏
直接做成后朋克就好，
又是二次元？
烧钱3
第四国际？
还有高手？
少前？
Soviet Constitution Vehicle
能源号
北陵重工!为什么不继续德尔塔了
T-80U第一次实战（
二炮手好了！！！
非常好的BGM，使我开上苏25
不如说是血液型PV
这火箭着实让人头大
什么合成怪
《名叫太阳的星星》
三战了吧
好好好
企业号和暴风雪号
战棋？
行程太短了
这又是谁的部将？
少前三
是俄文！！！！
NASA朋克
酷毙了
t80UD
我靠
封面是大力神？
看起来还不错
有点意思，这我要定了！！
不是飞机射击？
还有高手？
哇，真的是你啊！
这是一个画风？
当俄语响起时，二次元少女在这种背景下便毫无违和感了
我嘞个特80U
想到一个俄罗斯小品，一个中尉直接被搞成准尉了
我就是来看个宣传的你们在抖机灵吗
woc，谁家远视超人
“原型是占领国会大厦”
弹幕笑死了哈哈哈
啊，我看看怎么个事，又有哪个不怕死来二游赛道
物
我超 崔！
明明是2a28炮，是bmp1啦
据说一有大事就一直放天鹅湖，比如819
波兰翼骑兵？
炮打白宫
OGAS
少前？
啊？
经典俄军MRE
物！
气突苏
突然乌拉
少女前线麻辣
我嘞个T80B啊
Gacha game？
??????????
我超，北陵重工！  这下不得不关注了
byd bgm还挺好听
泪目
这一年的高手越来越多
幻视红弩箭
还有高手？！
？
我超，血液型？
鉴证启动！
真可以
欧~大姐~
又是二次元
两颗地球!
A K 1 2
有些拐别的游戏的，弹幕可查，现在套盾还来得及
消音器是白用了
P V 欺 诈
物！
woc，崔！
预告那么帅，演示那么搓
咋的都是PPT
还有高手？
啊？
woc
我测
我嘞个后朋
redarchives
大变
这又是什么高手了
芝士克雷松（不是）
49年入
比例不对，星舰直径9米，能源号直径7.75米，高度比星舰稍微高一点
加注灾难，一个发射台要集成氢氧，煤油，液氧，甲烷的加注管路
不是暴风雪吧，这还是有挺大差别的
不是暴风雪吧，这还是有挺大差别的
啊？
无主之地打画风
t46
乌拉！！！！！！！！！！！
精苏落泪
我的能源号应该挂着暴风雪，脑袋上的有效载荷是苏33才对！（
感觉像BTR-80顶了一个BMP－1的2A28 73mm低压滑膛炮
黄鹅游戏，哈人
后朋克？
苏联朋克
北陵牛逼！
能源-starship
攻克克里姆林宫
这才是我i想要的少女前线
二次元美少女又要拯救世界了？
还有高手？
无处不在的安东星人()
恩! 情!
提醒：这是那位滑石圣殿骑士做的游戏
还有高手？
好石袋，来拎力
is2U，图纸车
来人喂大人吃饼
什么时候上线
进攻D点
确实难绷。
CCCP
还有高手
这怎么是金丝雀系统？怎么还投入实战了？
M1A2瞬间就不香了
波波沙
重返 1999？
WOC北陵重工
还有高手？
少女前线？
爆反btr?
这是一个群英荟萃的时代
啊？
啊？
进~入~车~辆~
我需要立刻玩到这个游戏
值得信赖的部队
礼炮空间站！ypa!
这又是谁的部将
一点游戏内容都没放出，，，纯在播片唉
能源绑星舰，无敌了。
哇好听
是手游！
啊？
这是二次元少女二战吗？
啊？你是？
wc是崔！
这BGM我在gta4里经常听到，触动我回忆了
少前精神续作
安225和暴风雪
我就说怎么这么熟悉
你才是真正的少女前线二
二次元坦克世界？
这是谁的部将
开坦克啊？
曲名：血型
少前精神续作
维克多崔
来者何人！
不够写实  一群萌妹子的战争？
4130开赌
要素过多
乌拉！
都是妹子！
都是细节
新苏联
现在的手游起个名字都这么抽象
手游？
手游 可以散了
omg，it's 血液型
又是二次元吗
IS7？
十一点钟方向！艾布拉姆斯！
还有糕手？
啊？炮轰白宫！？
准尉军衔真的不高就是顶天排长
还有高手？
好友高手~！
炮打白宫司令部
一轮强劲音乐响起
这又是哪位高手？
导弹维修？导弹还需要维修？
等等，红枪？
苏联基地车哈哈哈哈哈
阿富汗老兵
进 入 车 辆
哈哈哈哈哈哈
苏！
这大头娃娃……
二次元射击pvp？
可以啊
红海军呢
我勒个雷霆战机啊
这就是杠3，只是头长得像杠二
暴风雪号 安225
伏尔加哈哈哈哈
低膛压76炮
btr
俄罗斯单兵军粮
物！
歌好后朋
噔噔咚819事件
钢铁洪流
暴风雪号，安225
这玩意儿要素过多哈哈哈哈哈哈
看着挺不错
还有高手？
音乐一响，牢谢想你的su25了
还有高手
谢尔盖，现在可以弹射了
血液型啊啊啊
这画风，齿车大大？
woc！崔！
先看2p
先看2p！！！
单眼3D（）
有抽卡的话直接放弃
《星空启动》
吼姆doge
不是上午不才2000粉吗？
突如其来的冻鳗美少女
实际上的少女前线2
雪地奔驰（雾
必不可少安东星人
还有高手？
还有高手？
北陵重工？！！这大佬也参与了？
woc，血液型
bgm维克多·崔的《血液型》
bgm维克多崔的《血液型》
不  行  ！
进攻d点
重返毛子1991
阿波罗飞船上挂的什么旗？
女性角色，一二站或者启示录，大概率又是战旗或者回合制
啊？
aks74ub稀罕货啊
血液型！
还有高手啊
等等，文案是红色枪骑兵，不会是那个红色枪骑兵吧？？
应该起名叫 血环 啊
啊？红枪？
哈哈哈
红枪骑兵?!
啊？
WC红枪都来了
玩法都不说？
见证版ba是吧？
一般般
这是谁的部将？
还有高手？
还有高手？
高手
时代，前进
进攻D点！-不行！
我嘞个世界蛇
我勒个远视主义啊
赛亚人飞船是吧
重返未来1991
嗯？
还有高斯？
北陵！
我去，崔
blue achieve
啊？！？！？！还有新二游敢入场啊？！？！？！
卧槽
十月事件
？
沃日，血液型
雷霆圣殿骑士？你和滑石圣殿骑士什么关系
血液型！
我超北陵重工
看见标题，我以为是特将军
1 9 9 3 黑 色 十 月
龙飞船的贴片太阳能板都没去掉
崔没有死，他只是出去抽根烟
潜行者bgm 土匪收音机bgm
加油，等上线
还有高手
我嘞个血液型啊
我丢！
我是来玩二游的，你们要干什么！
谢尔盖什么时候出场
我做梦了，这就是少前正统续作
我勒个血液型
有种斯拉夫味的浪漫？
woc是血液型
手游啊？
陕西波兰
还有高手
什么炮打白宫
我去，维克多崔！
重返未来1993
？
粥女前线
还有高手
白天鹅，懂了吧
风格牛逼
少前？
战术小队 鹅湾（确信）
重猎的助推
我嘞个枪骑兵，合着视频更新到这了是吧
这个倒在地上的雕像是…
我嘞个远视主义
还有高手？
还有高手？
能源号上背星舰
超口径BMP1？
你燕尾槽呢？
瓜园U给btr82？
我测，你真找他们了！
这么高级？
手游
这我得坐起来听
？
苏联
气突苏
这是谁家部将
原来是准尉啊，不知道的以为是将军呢（
这个看着不像国会大厦，像是东欧那边的
啊？能源挂星舰？而且这星舰怎么还有垂尾？
能源号的芯级，猎鹰9当助推，头上还是龙飞船，星舰当载荷，难蚌。。。
还有高手？
这紧身裤啊
？
进攻D点
草
第三人称射击？
抽象，四个猎鹰一个能源送星舰上天
卧槽，白面鸮
看完也不知道玩法是啥，甚至没有live2D纯PPT，鉴定为寄
有点意思
牛逼
太难蚌了，助推的猎鹰9号头顶的龙飞船甚至没有去掉，不但没有去掉，还被扭曲成了斜头锥
去快爆看了是塔防
这是少前几？
准尉的定位，是排或连得军士长……
我去，血液型
alpine？F1车迷乱入
bmp怎么会有这么丰富的空间（doge
准尉是一些国家给资深士官的衔，也可以翻译成“大士”，因为比上士高，又不是真的军官？
物！
。
进攻D点！！
嚯，红枪佬怎么也来了
好性感的歌
怕惨了
不回是塔防吧
我超
手游？？！不是吧
这么强
熟悉的毛子军粮
箭簇+杠2的头，IS-2U？
还有高手？
又来一个
小时候看这集被叫去地下室听释放令了
策略游戏？
还有高手？
蚌埠住了
is2u，这玩意的炮塔不是is3的
进攻D点（无端）
能源号？！
牛壁啊，兄弟
1000+人正在观看2024-9-7
进攻D点！
什么苏维埃
物！
老张开车去东北
还有高手
怎么又是手游啊！
星舰安个暴风雪的屁股爬能源号上，助推器还是猎鹰9
音乐不错
这是谁的部将
俄罗斯少前
血液型！！！！
察里津
音乐好评开赌！
有种少前3的感觉
毛子的后朋emo还是不错的
什么安东星分房啊？-3-2和3485打骑兵？
我的DNA动了，进攻D点
这玩意是要直飞木星吗
1.3W
还有高手？！
静坐上线，开赌！
AKS-74UB上PBS-4消音器打7N6普通弹是吧，还能全自动射击的
红色枪骑兵
维克多崔
这个歌？！心动了
你，何时来的？
不是，哥们儿，原子之心啥时候有手游了
游戏公司的动画都做得好好
红枪，蚌埠住了
星舰粉、能源粉狂喜
没看懂这游戏是玩啥的
毛子狂喜
这我得坐起来看
这是什么个鬼东西
妹啊，不冷吗
PPT？
少 女 前 线
这又是谁的部将？
1148开赌
火钳刘明
破万了呢
用俄语遮羞的....
我超，崔
白色军
牛壁
握草，硬核
带着星舰的能源号
北陵？！
芝士雪松
会赢吗
远视主义
红场大道东
bgm是血液型，战争雷霆一个pv也用了改编这个很好听
想你了少前
俄语第一人
兽耳星铁？
这是？
画风像粥（
這是？
手游？
↑二少管！
对味了
你来真的啊
优菈
精苏狂喜
暴风雪！
还有高手？
坎星人设计一位有情（
不会又是战棋或者塔防吧
啊？血液型？
物!
者火箭什么情况
-2吧，-3的脑袋更扁
这画风太漂亮了
冲这个音乐关注了
12点的视频，现在六点，一百多万的播放，才300的弹幕，买的挺多啊
这音乐？
格鲁巴 克鲁维
卷起来
血液型？
这是谁的部将？
红色枪骑兵！
枪骑兵？！
这图我是不是在哪看过来着
1万粉丝打卡
一万
进攻D点！
还以为机动警察
这画风爱了
AK74S
命中目标！
8717开赌
9809开赌
明年我要看到成果
还有高手？
後朋克b聽爽了
炮 打 白 宫
9千开赌
进攻D点
这播放量可以啊
我去，崔
T80UD一战成名，1h22min速通白宫
我超，崔！
物！
暴风雪和225！
我超
血液型专辑的磁带！！！
？
8600
红枪兵公公？
箭形装甲，大概率IS3
看到北陵重工就知道这个视频的含金量了
前排提示，排队枪毙类手游
还有高手？
何方神圣？
8607赌
8651从现在成为老粉
战雷玩家狂喜
Alpine也干了？
看到红枪蚌埠住了
嘎？
8492开赌
我姓崔谁叫我呢
才一个下午就涨8000粉啊?
期待期待
远视主义苏联是吧
俄军mre
第9999个赞
角色不是很好看
我超bro你来真的？
啊？
远视主义
啊？
怎么又都是女的
7944
看着像BTR顶了加了自动装弹机的BMP1脑袋
梦回格里芬
看着咋像大力神
不好意思看错了，这个应该是米10
我去这张图三年前就看过了，原来这么早就开始做了
最早的一集
开赌！
？
VSAK-M反器材狙击步枪
军武二游？
7549开赌
AKS-74U
导师雕塑被推倒？
t80ud的首次实战
能源号？
我去血型
我靠。
“威龙02呼叫珠峰，我已到达指定空域。”
甚至卡点
is2或3吧
基地车
卧槽，血液型！
哎呦我去，哪能去呃又唔晓得了？唔晓得问小吕同志，才晓得呃！！！
新的世界线
牛啊~~~~~~~~~~
物？
血液型？
什么远视主义超人？
血液型
6784开赌
这是Mi-10吧
一轮强劲的音乐响起，好像是首很老的歌
我超，崔
音乐好评，血液型
崔只是出去抽根烟
北陵！
在BTR的车体上创造性的撞上了BMP-3的炮塔和爆反（
米-171
这翅膀足够滑翔了
星舰还是魔改成类航天飞机设计了
T80UD
第一眼看成校尉了
时间过快些吧，好想去未来
远视苏联？
航空竞赛
太棒了
红枪姥爷做的文案？
牛
那年1999，不想回忆过去，我们保护了00后
这是什么，苏联旗和欧盟旗？
航天飞机看着很帅
火了赞我
pv很有格调，爱了爱了
全员狠人
老苏未能完成的我兔来实现
这也太精苏了
炮打白宫
我超
血液型！！！！！
woooc，玩儿真的啊
ksvk
woc，这我可太喜欢了
崔 何时来的
好像章鱼炮
T80UD首次实战
不是在安东诺夫机场被摧毁了？
官方ID在上海，又是硬核末世风，又是战棋，又有美少女，还是十年前画风。聚炸七号战船原来是你
5187赌
还有高手？
？，打战？
A- 225
赌一次！
卧槽这熟悉的画风 居然真的出游戏了
我超北陵重工
加入欧盟吗
崔还活着!!!
2a28配松树u，我怎么会做这样的梦
二游满天飞
4779，开赌
2a28?
箭镞形首上应该是杠三，但炮塔又像杠二。
什么世界线的苏联
炮射RPG？
用顶着龙飞船的猎鹰九做助推且载荷是星舰的能源号
北陵重工？卧槽
BTR-82？
我勒个朋克啊
少前动作版本
猎鹰9沦为助推（悲
747停产力（悲）
何方神圣？
物！
暴风雪和哥伦比亚编队飞行，我在做什么梦
BGM-血液型多版本可听，加入安东星大牢喵
是安225和暴风雪号
什么，还有高手
猎鹰9助推的星舰航天飞机，这啥
WC
这是步战炮塔，加爆反？
我去北陵
枪骑兵？
啊
ksvk
不是纯音乐啊，这不涉及到版权吗？
如此奇特的世界线？
？
卧槽，，
这个竖放置的弹药应该是bmp3或者bmp4的自动装弹机
炮打白宫
啊？血液型都来了
能源号挂星舰草
忠！诚！
1993炮击白宫
维克多崔，，
崔胜利
将军请下命令吧
這是哪條世界線 ? !
@北约美国
终于听懂了（
733
这个吃过，一模一样
米亚西舍夫的核动力空天机
卧槽玩真的
IS3
安-225
我的梦中二游
右上角盒子就是血液型磁带
能源号
Salute 8
2323
冰锋纪念碑
太空竞赛
2238开赌
还有高手？
苏联航天员登陆诺克斯星
乌拉
地球与诺克斯星之后美苏合作接触诺克斯星
精苏落泪
V-94
卧槽崔
我去，维克多崔
无敌
这个到底是哪条世界线？
我草，血液型
能源号
应该是杠三，杠四的观察窗很明显
1530粉，开始赌
乌拉
血液型能不好听吗
？
我超，崔！（不是，来真的啊！）
没想到今天又听了一遍血液型
血液型！！！
波兰翼骑兵
什么诺克萨斯？
物！
bmp1的内构
从没想过能在二游Pv里面看到炮击白宫
崔还活着！
1993（哭
这个是最值得赌的一集
良作无人
哈？
583人了
1091开赌
MAZ
？
1145粉丝（难视
woc，崔
IS-4？
卧槽，远！
HAGURUMA-C，我喜欢你！
好听
啊啊，暴风雪号
woc，远视人
1993炮击苏维埃宫事件
1991
天鹅湖
倒是唱词啊
草，看到文案绷不住了
这个军粮一模一样
哥伦比亚和暴风雪哎
速度上线我要送钱
哦不
有内味了
血液型！
出音味来
血液型！
