胶水拼的
确实，外国天天不是发现这个就是发现那个
荒木老妖:看我干什么？
是生殖隔离
丰饶赐福
刃
梅尔基斯德
不敢搞实体展馆怕被发现
所以你猜猜为什么历史会叫历史？
哟，还挺懂中国的历史
梅林的胡子啊
梅林人造馆
梅林午餐肉。
马如龙
大家说我去查这个梅林的话，能得到的线索，只有极少的几条，而且还不是很详细
九在古代代表很多的意思，不只是有九种
这个太假了
我是朱元璋
国宝帮了
小孩的下颌是这样的吗？
梅林的胡子
夺少？
我是轩辕黄帝
里面有没有鸭嘴兽的标本
异形
谁被坑这么惨
SCP已介入调查
发现于桃园
简称DIY
手办 那翅膀一看就不是一体的
伪造的
神秘小屋（确信
他可能就是梅林呢
《全》
他可能还活着
官方说了，纯属虚构。就当看个乐子
你就运吧，还梅林我去，大魔术师之神
？
斐济北美人鱼
啊？
你管他真的假的当个故事看不好吗？一定要在乎真假
复活石？
哥布林
只有笔记，只有行路，否则你依旧在，推动
妥妥的研究笔记
好家伙都有组织了，不可思议
果然和我的想法非常相同，世界是通过运动来稳定的，但某种原因无法看到，又或者没有那个实力去驱动
音律和物质可以发生变化
有日记吗？或者是线路，又或者是方向，那么你可以看到所谓的世界，你只不过是你看不到的地方
基因采集了吗？最终的实验是否死亡？或重生
赞美伟大的魔法师
我不信
拜见始皇帝
?
19世纪18几几年？跨越这么多洲？！他命大钱肯定也不少，当地关系硬语言还不差，梅林才是那神奇的所在
敢不敢拿去做dna
如果进化论成立，那这些也有可能
手办馆
没一个是真的
大量的假货
是啊，我也想问你呢。。
一本正经的胡说八道
我是美国总统
我是美国总统
梅林午餐肉
看看就行，不要当真
存在过就不只一个遗骸
呃混血种？！
好吧，这都不用拼接了，直接PS就行
有没有一种可能英国想要复刻中国山海经，搞了这么一出
这种标本早就证实是拼接的吧
相信科学
高端手办模型
不老泉是吧
原神
奇幻精灵事件簿？
胡说，龙生九子是因为那龙，它太兴奋了……
生物隔离了解一下？
有没有灵魂之子
梅林的胡子啊
你确定这不是塑料的吗
《粘的》
《拇指绒猴》
《民间自制手办》
哦 梅林的胡子啊！
梅林的胡子啊
拇指绒猴粘上蝴蝶翅膀？
胶佬：这东西是真的，圈子里叫地板小精灵（doge）
圆桌骑士团是吧？
在古代九是大数代表是多的意思
啊？
什么小飞侠
噔噔噔噔噔噔噔噔噔噔噔噔噔噔噔
!
牛头人
一个人？
这个拼凑感觉有点强了
我第一眼看成了梅根
视频同款 立即购买
把虎凤蝶的翅膀稍微修剪一下，然后随便整个玩偶再把翅膀贴上去
没灭绝 我家还养了一只不过现在都是草饲
说龙那个，龙是多部落图腾拼起来的
梅林
黄帝，炎帝时期其实就提出过龙的形象，是由各种人们喜欢的家禽拼凑而成
比如《山海经》食谱
血祭
三山
制杖
手办
不相信
旅行者（无端联想
烤着吃应该也不错
胶水粘出来的新物种
估计又是日本人做的小工艺品。。。
人造的。
吹牛逼，还160，尊重下科学行不行
虾羁绊说
100%假的
刚才那个羽毛太大了把，不像真的
蚌
捕月说小岛
日本人
南极冰墙之外 就是这群生物的所在地
找到安琪拉了
都是模型，如果是真的话，早就人尽皆知了
胶水质量不错
就看一乐呵 管真真假假呢 说是假的显着你聪明了？
他就是梅林
所以我有理由怀疑这个大胡子就是梅林本人
全按童话故事做的小人玩具
手办作家
我家有奥特曼标本，要不要看看
中国人都不信，也就外国人没文化信这个
我不信
日本人
开局一张图，内容全靠编
树脂捏的
这个不叫考古学家吧，叫博物学家
仙人跳，国宝帮
海马改装的
宫崎骏
得了吧
哦，梅林的胡子！这是多么的不可思议！
有没有水箭龟的标本？
立地货
一看就是手办
包假的呀
假如一词表明此事真实性不高
全然不信只为满足自己的好奇心才看。
有没有可能他可以看见这些生物 别人看不见
烈空坐和喷火龙是吧
塑料
啊？
别人做检测就有去无回
亥伯龙对吧，你应该知道我沉船了吧
不信谣不传谣
有没有可能这个人就是梅林
都是假的，人为制造的
《虚空掠夺者 卡兹克》
这不是权力的游戏吗？
他名气大了，作品不就卖的出去吗？
哈哈哈
哦，梅林的胡子
拼凑你叠
阿拉巴斯坦
不老泉
是你，死亡之翼-奈萨里奥
？？？无敌了
图一乐
地狱男爵
拼凑的
jacklope，灵感是鹿角兔吧
什么原神纳塔
不信
真真假假，都无所谓，对于历史长河里微末的人类，混沌而生混沌而死
他和梅林什么关系
等它“借”点你的东西的时候你就有童话感了
梅林会做午餐肉嘛
哥们把自己也骗的当真了吧
现在的人都不愿意接受事实了。
鹿角根部接合痕迹太明显了吧也，胶水痕迹都溢出来了
"搜集NO,伪造YES"
不信
简直是小畜生。
更不信了
不信
格林
大型模型博物馆，哈哈哈
你都说了他自己是一个摄影师，，，这就不言而喻了吧
延缓新陈代谢？
篆龙部
训龙部
post malong
有没有一种可能，龙的崽子就这9个活下来了
拉倒吧
1999里也有个
它都叫梅林博物馆了
这个脊椎位置都对不上
但东方可没有这种童话故事。
马龙。
他们管这个叫借，我真的哭死了。
午餐肉的梅林。
好像无忧岛啊
玩炼金术的？
天龙，我要和你赌命!
？？？？
福光岛（doge
上海做罐头的吗
吃午餐肉就好了
喷火龙使用喷射火焰
我不信
卡兹克？
埃里克森和梅林是什么关系
做模型的
飞蚁
梅林罐头觉得很淦
地狱男爵
天龙人
梅林会魔法吗？
一眼拼接艺术品
离谱
经典一播放八赞
