濯垢泉是当年蜘蛛精们洗澡的地方
我感觉 这里的笨就是说八戒想复活悟空
我刚好被毒死了，复活后虽然也要跑，但是后面没有东西
第三章之后 基本上boss六七成以上都可以一遍过 不能一遍过那
这才是真宝贝 顶级精魄 毒池久 伤害高
大姐长得有点像秦海璐
白晶晶呢
紫仙娥是怎么变成紫蛛儿的捏
这里没有4妹
应该是青梅竹马的大姐姐
空气墙战士
一个游戏都能扯上动物世界了，神话里面还看蛇的品种。。人才
也太冷了，蜘蛛织网捕虫是给你吃的是吧
说是下不去手，实际上不一定打得过
这神话就没有好人，只有利益。蜘蛛精也吃人
我不会说话啊
生活不易 猪猪叹气
搞笑了，都修炼成妖了会有生殖隔离?这是神话世界啊，兄弟
怎么还护食呢
字幕啊啊啊啊
昆仑是原始道场，所以是阐教
有没有人知道，四姐说的老不死是指谁
鲶鱼吧
就问这些蜘蛛精哪个不好康
狗也说过 炼丹是什么什么
古代盘发又不是已婚
生化危机6的javo
可能不止一个
又穿模了
看着也太怪了吧
很明显在骂百目魔君
铁扇公主吧
天名人是哑巴？
什么周渝民  这不是苏可吗   演于谦的那个
来做个CRPG
异形：正是在下
三清至于拿一个小小蜘蛛精炼丹么
《另一张猪脸》
我的四妹
是我的硬盘
太阴星君的弹幕云麻了
《男耕女织》太绝了
捏咋才来捏（荷兰语音包
这就叫岁月不败美人
这个画面每次看都好难受啊
灵韵才是长生的关键，而妖怪的内丹饱含灵韵，所以炼妖吃丹比修行收益来的快得多
这灯笼又不是前面的灯笼
痛
探春
病根：蜘蛛交配后需吃掉配偶，可是紫蛛儿真爱八戒，没吃
好啊
看着像黑手，分不清了
肯定是玉帝没跑
我是哑巴 说不了话啊！
勾史字幕
一个字都没听清……
《原来这不是我认识的嫦娥奔月 》
这章别人都说他尖嘴猴腮到蛛四妹这里变成了伶俐
这不是我
那个回头 有点像大话西游 至尊宝的无奈回头
薄情人？可他是只猪啊？
怜蓬
八戒不敢违背天命啊，能力不够啊 可怜
全是空气墙跟独木桥
因为怕啊
dlc入口
就是老君啊什么掉价
WC，前面弹幕说是南京栖霞我才发现去过
黑神话里面没有错投猪胎的设定，后面是被神佛强制变猪妖的，就像哈斯哩国人全部变成鼠妖
五妹我爱你
一想到天蓬人形的长相用这个腔调说话，觉得更搞笑了
鹤是太上老君啊
痛、太痛了4
怪不得叫黑神话，理解了，黑暗故事线
丸辣！！！
灵吉没了头都能活，说不定毗蓝婆还有救？
不是别剧透啊 ！！！！！！
战老，是你！
猪猪叹气
这货一阶段让我以为是个小怪，结果二阶段发现他就是个小怪
北境苍潭
跑慢的话会满身都是蜘蛛  起了一身鸡皮疙瘩
好奇一下为什么红蛇原本没有颈部的扩张部分，但现在长了人头却有了
布雾郎君~喵喵喵？！
你明着认性质就不一样了懂吗？弹幕里的人是真刚
这里是老猴子的说辞，不知真假
这镜子怎么有我的照片？？？
你太笨了，不明白我宁可不要这条性命，也想与你一起
二姐好姑娘
这一看就是亲生的，长得跟镜子中的一样
吃不下去，太腻
蜘蛛宁可一起死，猪却只想分开活
天庭第一大帅比
假面骑士
你还是不知当年八戒还是天蓬元帅的时候他还是个大帅哥呢
四妹这人情，都不知用啥来换
不是，那两个灯笼不是被割下来了吗？怎么又在了
那看样子我是另一种剧情了，这些怪都没见到过，直接去打蜈蚣了
论辈分还真是叔叔
这应该是二代蜘蛛精了
怕连累小孩吧，这急的明显不对劲
幂幂是你吗幂幂
小猪猪
八戒：休要坏我好事（doge）
你是一只猪，我也是蜘蛛。不能在天上做神仙眷侣，就陪你下界做痴男怨女。
是自由
蔡少芬？
八戒你猜在场的各位谁又黑又丑doge
当时第一反应就是要么是开箱陷阱要么是宝箱怪，结果全是真宝贝
boss开场有鸡叫
你这顺序不对吧
是空气墙
本事就是鏖战之法
黑吗？
最喜欢三姐
一般人哪有实力把天鹏元帅贬下凡
嫦娥，织女等等都不是一个仙子，而是职务或者称号
草 怎么用我的头像
雀食是猴子害的
炼丹的本质就是吃人或者有灵力的东西，化为自己的内丹
原著毗蓝婆破解蜈蚣精的罩子就是用卯日星君眼里炼化的针
子母河的河水
呼吁三遍，别拿，别拿，别拿，你不差那点
爱情这东西我明白，但永远是什么
关底壁画看右上他背后人举的名字是太上俩字
三姐：尊重祝福
规则怪谈
须佐之男
这也可以算人首蛇身吧
妙啊！
这是up画质问题，我看别人高配人物可好了
巫山神女
八戒没堕入凡间时还真挺帅的
亮血条吧。鸡你太美
这段是说他们渐行渐远，一个逐渐妖化，另一个逐渐成仙
进击的四妹，去探索墙外的世界吧
音乐真是太棒了
不不不，西王母是西王母，王母是后土娘娘
百眼把天命人和八戒引来搞定，自己可以换取自由，但蜘蛛们要留下（有可能要被拿去炼丹）
八戒每次被抓见到大师兄都是这句话。。。。
大。。
未亡人
仰天长叹，也是不然泪出来
黑神话世界观的百眼魔君可不是啥好人，到处搞杂交实验
蟠桃已经没了，，大闹天宫都闹没了
哈哈哈哈哈
你是刀哥好果汁公司的？
周渝民！
打黑手道人后面那，等紫珠儿死了，八戒放的定颜丹吧，结果还被天命人拿走了
宣传片里面的哪个蜘蛛精让快跑的那段咋没有了
我最喜欢二姐四妹
夫人是瑶姬
白乌龟
金针就是在昴日星官眼中炼化的
青霞
36
它好像一只猪啊
后羿是哪根葱？他有资格贬天蓬？
大姐不是怂了，是看得清，知道改变不了什么，作为老大也不想带着妹妹们送死，而且最后也上了
你们只是牛马，不吃你吃谁？
前面的手怪就是呲蓝婆的手
说实话 当着孩子的面这么说，，
好漂亮
小猪最喜欢在泥浆里打滚
嗯凑
难怪她是大姐
天蓬大元帅
"除了不是实时演算,其他都是实时演算"
这靡道人曾经误入百足虫巢穴，靠伪装小百足虫呆了一年才逃出来，也是牛壁
三姐和五妹也非常漂亮，可惜戏份不够分了
应该是当初和猪八戒交配后，违逆本性没有吃掉他，留下了病根。后来又受了重伤，别说年轻，没有打回原形就不错了
没那么简单，动物灵智未开，处于蒙昧状态是有可能交配繁殖的
被自己帅哭
你对西游记一无所知~
遭瘟的弼马温
四妹泪痕加重了
人生若如初见
紫蛛儿墓前有定颜珠，傍边的宝盒里面有九转还魂丹，老猪什么都知道什么都明白，什么也都准备好了，就是不敢用啊啊啊啊啊
我要打上天庭
这些布和纱就像二哥追求那飘渺的感情一般
最刀人的章节结尾动画，太催泪
两个歌手名字里都有紫字
731都不敢这么干~
好美的手
骂人飒？？嘛意思 弟弟
好 侄 子
有点过度解读了吧…
巫山神女
是紫宁呀
识破到死
虾堡的游戏人格
原著我记得濯垢泉是七仙女洗澡的 蜘蛛精来了直接霸占
为了等八戒，紫蛛儿从人变成妖，而八戒从妖变成人，二人注定不能在一起
那么多年，一切都发生了很多的变化
长得有点像新疆那边的人
除了最小的蜘蛛精，其他并非紫蜘蛛亲生↑
卯日星官是低一级的官职，可以去看影神图，有写新的卯日星官和鹤仙人问话的细节
前面的下凡入赘到云栈洞和卵二姐一起，死了才去的高老庄
去去个虫人马看我林克的大师剑
坤哥走好
这段剧情每次都看完，太喜欢了
小怪级别的boss
她夫君也是真的厉害
巴蜀谐星张紫宁
80，80，80
好像晖月魔君也没有死，没有羽化
现在变成黑泥泉了
←主创牛魔，司马尬黑够
只有蛛母是和八戒有缘的
墓碑上写着“慈母盘丝仙紫朱儿之墓”
X光
猴头留下
太乙久苦天尊
懂了，异形
我那七个老姨算一难呀
人家本身就是真武大帝手下掌管天河十万水军的天蓬元帅
一起去啊
她笑了
我一开始以为是白雪岑老师，后来看了配音表才发现是邱秋老师
好可爱的蛇人~
王灵官为啥要去告八戒的状？？
那其他几个女儿全是八戒的吗？
练蛊
其余几个女儿是蜘蛛精跟谁生的啊？
鹤仙人有个徒弟叫天津饭？
这个时候两个人都认出对方是谁了
他自己打不过，天命人打过了，他还敢动手不知死活
是什么组织要害卯日星官？
多情自古空余恨
昆仑山的道门师祖，明显是元始天尊啊，再加上之前的鹤仙人，还有游戏里加血上限的碧藕金丹，西王母可能和元始天尊联手在炼妖丹
完了，我看了她眼睛了
想到了 五女拜寿
古代智能家居
《按照原著的设定》
天蓬元帅可俊俏了
四妹来了
老五真好看
此时的bgm也是敢问路在何方
很多bgm都是云宫迅音的改编
又被自己帅到了
想起一个叫凤辣子的故人
嫦娥应该是一类女仙
为什么八戒在动画里就没有镜子里那么帅呢
小蜘蛛长得猪头猪脑的好可爱
能不能分我一个（）
舒服了，全部上去白给
我也想去（）
某日星君吃的是昆仑的仙卵
老子管定了，谁都不能带你走
那个不笃定的，你看到后面牛魔王的下场就知道了，相认就死
Duidui 大王
我玩到这里可把我恶心死了，那么多蜘蛛
猪和猴都会说话了，还生殖隔离呢
你要是敢认，老牛一家教你做人
八戒这是在保护他们，不认他们
什么逆天字幕
本来就是了，八戒说的没错
八戒被自己帅醒了
爱你的人不管你变成什么样，你都是天蓬元帅
四姐在跟踪天命人
八戒破防镜
这里二姐明显想上，但自己的姐姐妹妹却两股战战，几欲先走
二姐从小被当成男人培养肯定比较烈一点
都说了魔化魔化了，还能保持普通公鸡的外观吗？
这个叹息和后面红孩儿自尽后老牛的叹息都像哭一样
兄弟做的太好了
我还以为你要变猴子
这句话刚遇八戒的时候也说我们是痨病鬼
这里如果不打，毒敌大王会帮你一起打晦月魔君
本章宗旨：下不去手
这是集贸的昴日星官，这是鹤仙人
如果前面的都摘掉了，刚进这里四妹会大喊让我们快走
我中毒了
哥哥~~
照骨镜：不是哥们
二姐有事是真上啊
相爱相杀
替你收着，语气都不一样。落入别人手里可就是死了。
这里身份最大的姐姐却在母亲被百眼魔君吸收时踌躇不行
她还特意化了当年一样的妆
这里应该是演戏不让王灵官搞死四妹
神鹰道人（）
骑骨大圣
感觉身体被掏空
"hjkhbkn.l;l,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,..,..,,.,."
看见没？都是未出生，所以都是老猪的女儿
以前我没得选，今天，我全都要。包括那个老的！
品如复仇的配音是吧
她是不是品如复仇后装的高珊珊的配音啊
别说了，亮血条吧
天命人：和我说话没用，我哑巴
梅山兄弟
猴子都会飞了，你还跟我说生殖隔离
一声叹息
猪儿虫
帅哥你谁
跟被钗控的时候走姿一样
嘻嘻不嘻嘻了
是在看天庭，也是在憋泪
战鹰
因为他们收钱了
居然是小兵
还有蝎子呢
这句话指如果继承了悟空反到天上，记得来找我
生殖隔离，神话小说，让你们整得跟现实一样，你变个蜘蛛我看看，再者说他们生前也是人身，是被诅咒的变成妖怪
笨啊 以为不相认就能保母女俩一命 天庭早就知道了
这焯沟泉常年热水 怎么会有鱼呢
二姐和四妹都好美啊
紫蛛儿下界变蜘蛛不是天庭指派的？
八戒以为不相认就没事 实际上天庭一直都在看着
永失吾爱，举目破败
戌狗说人炼废了就没了
而且被猴子吃了糟践了很多，导致之后的成百上千年，蟠桃不够分了
视角是反过来的，暗示八戒在说反话
王母
仙娥为什么会下凡变成蜘蛛精
那能不能是天上的七仙女，下界成了七个蜘蛛精，紫珠儿是其中一个？
合作？怎么可能合作，你是身居高位的神仙会和妖怪合作？单纯利用而已
字幕叠一起听不清啊
dlc还能发出来吗
太上老君
牟日星官都拿去做人体实验
“天上买卖”
按黑猴的故事线天兵天将是直接去地府找灵魂炼化的，相当于消耗品
是没办法啊！
错了前面的，下界找的妖精是翠云山得卯二姐，是兔子精，被老猪鏖战之法弄死了。后来高翠兰扛了两年
有问题，都未出生。那猪八戒的女儿为什么是最小的
近在咫尺远在天涯
就喜欢听你说话
濯垢泉都干了，水都没了
一秒也没有为四妹的离去而伤心，紧接着上场的是黑手道人（
蝎子王？
昴日星官
蜘蛛是卵生
男耕女织纯属巧合脑补，原著有这些设定的时候哪知道猪八戒会和蜘蛛有一腿
好果汁吃
四妹啊！山岭外全是空气墙啊！
四妹啊！山岭外全是空气墙啊！
四妹啊！山岭外全是空气墙啊！
你看看牛魔王一家的下场就知道如果认了会是什么下场
四妹啊！山岭外全是空气墙啊！
看不下去了好难过
天呐，这简直就是我
星瞳
看第五章就知道为什么不认了，牛魔王就是为了保全家人一步步被天上折腾得家破人亡
这就是你们说的被自己摔醒了？
以后就由后爸养育你们吧
知足吧，游科没让百眼魔君把这些蜘蛛姐妹们全打死已经很收敛了
大姐不是怂了，是知道这时候上也是白给，到后面天命人来了才能一起打团
.
这是原著中昴日星官用眼瞳炼出来的绣花针，克制百眼魔君的金光
................................................................000000000000
走路都走不稳，还想我比划
她心里有我！我却救不了她啊啊啊啊！我没用啊！！！
注意看猴子坐起来的时候，后面的墙有亮光，是四妹变身跑了，脸上泪痕也是这时候哭出来的，第一次见四妹是没有泪痕的
奶奶，不是我说，你看看西游记里面吃了猴子的妖怪哪个有好下场……
也说明了古代男人的向往是就算我xsr还偷看异性洗澡但还会被美女暗恋一辈子
有牛不玩
最终幻想
什么字幕，挡住了啊
配乐无敌
为什么猪八戒
男的把自己睡过女人当成多大恩赐一样在yy
我对这个最有感触
主创心理女人会爱xsr犯一辈子，男人一思考上帝就发笑
这也是梅山兄弟，蜈蚣精吴龙
白发是太阴星君，和天帝是夫妻，生了十个月亮
真正的宝贝是这个琴螂
不曾迎接远客？
二姐给我
八戒不想让她说出来
女之耽兮不可说也。。。。
所以别拿也许有DLC
自己的内容几分钟，剩下都是游戏片段，太水了
八戒心都碎了
张大仙是你嘛？
我目前猜测没有什么“夫人”，是二姐早就识破了八戒陪他演戏
细说一下毁清誉这个事情
细说
1
尸鳖单
别说恋爱脑了。功利为上的当下人人在计较得失，哪怕是对“爱人”。在该真情的时候大家好像机器，而这一对才是真正的人
雷姆
惹祸上身？我就是祸！
哎呀这笑得
除了玉帝能指挥王灵官，天庭还有谁？结尾的影神图鹤仙人旁边的旗帜就写着太上
这一章最黑暗最出彩！
我在想这么绝美的爱情故事要怎么翻译给各国人民看。。
悔恨个P
猪八戒原型就是又丑又黑的野猪，他对他的女儿的形容词就是又丑又黑
濯垢泉不是找五蕴的那个地图点吗
《他们一定是没有俺老猪英俊》
人间丹药，是灵草灵根，天上丹药，是玲珑内丹，玲珑内丹的介绍再看看就懂了
草 你等DLC的 弄不死你
这里不是濯垢泉啊
曾经大圣也不怕死，可老猪已经不想再失去谁了
这和第几个变得有啥关系，要是没那心早就跑了
四妹是妇人发髻，可能和前几世的天命人结过婚了
毗蓝婆是灵山势力跟天庭是对抗又合作的关系，什么叫连她也能牺牲，这就是天庭为了顺势把有灵山背景的昴日和她娘除掉
西游记 四大名著 很多东西暗合。。。我们都是看了个皮毛
不能认，抬眼看天的细节就是怕天庭找查
西王母不是王母啊
恒大歌舞团
这才是真爱，
打打就知道了，这boss动作模组就是鸡，还会打鸣呢
说反了，这里在大喜之前
这里猪头刚超过花丛，莫名好萌
这恋爱闹
看不惯就自己去玩
蛇蝎夫妻，看上去剧毒危险，其恶却比不上天庭万分之一，实在讽刺
原来 目的是这样！！！！
水脏雷
人物原型:王熙凤
这里我清了两遍图才出
每次看这个动画都难受想哭
注意八戒这里反应非常大，急着撇清关系，其实是能看出来其用意的。
确实是救人易，救己难
昆仑的祖师还有谁，元始天尊呗
天庭是道教神仙在主管，但天庭里还有灵山，昆仑，蓬莱等多个势力
不是王母娘娘，西游记里写出来过，不是一位
靠 周渝文的女儿？？
奔月的嫦娥就是白发的
应该没杀光，原著里就是杨戬负责烧山的但没赶尽杀绝，游戏里更不可能了
不是单相思一夜情都搞得这么煽情的吗
这是日金乌。。。。。。
六姊妹性格都不一样，但都很懂事，紫珠儿是个很合格的养母和母亲，如果不是赶工的问题，她们的剧情应该会有所增加
黑悟空 真的太细致了
你是不是梁龙扮演的 来首《仙儿》
王母娘娘是王母娘娘，西王母是西王母，别弄混了
名场面
别扯其它文学作品，西游记里只有王母娘娘
八戒是最通透的——上界都是些什么玩意儿，认亲就是死，所以死也不能认
从背后打断他的手，会给一件装备，下毒手
估计是渲染出了问题，之前实机演示的时候没这毛病
刘亦菲李现演的电视剧里面阿辽的奶奶 大美女
看了无数遍的场面
四姐估计是和之前的猴子转世结缘了。天命人不知道是第几个孙悟空转世了
晦月魔君应该就是拿卯日这么做出来的
莲蓬 连蓬
前面都要的，你一个不够她们塞牙缝的
太可爱了
猪八戒其实一直没忘她，在猪八戒的语音彩蛋里有，他一直放不下
尾后针！
我下不去手（我打不过他们）
游坦之
哭死
十块
西游里嫦娥是个官职，只要在那个职位上的都叫嫦娥，不是后羿的妻子嫦娥
翼火蛇
我隔老远听成了“大你 大你”，我说怎么黑悟空里有斗地主呢
6啊
太上老君可是三清祖师之一不可能亲自干这种脏活，鹤仙人应该是太上老君的灵宠，处理脏活的手下。
感觉就是完全错过了
前面都对 但鹤仙人不是太上老君 它给人仙丹还说是老君练的丹
二姐真的很不错
其实是卯日星君，那个鸡公
男耕女织这个细节还真没发现
新疆妹子
这boss拿了绣花针3遍就过了 没啥难度
女娲娘娘？
昴日星君
、】
是紫珠儿的嫁妆，不是四妹的
帅哥你谁
八戒这个佝偻前行的背影简直要杀了我
注意看根器的莲子是满的，背包里缺了一个
影神图里有说，这位蛇姐姐是神仙
他是新上任的卯日星官~
姐姐们让我做什么我都愿意
我天，这晦月魔君是原失踪的昴日星官？
这是前任昴日星君 现在有新的接班了
看眼睛直接给我控住了，差点没打过
黎山 不是骊山  两码事
孙悟空和蜘蛛精谭玲爱？？？？
我杀光了道士页没出任务物品 然后触发了辉月魔君 打完再回来迷倒人就不见了
这里的师兄说的是那个蜈蚣精
还太阴星君呢，游戏没玩视频也看不懂？
这个道士就是影神图里那个想为父报仇的少年吧，有一系列的故事
哎
太阴星君
长太息以掩涕兮
欧内的手
八戒wife！！！
古代医学神器
师祖 就是指西王母
不是秦朗卵 是昆仑给的仙卵
你又下不去手？
@嘟嘟
这配音配的真好
尾王
这BGM起鸡皮疙瘩了
猴蛛殊途啊 女妖精施主
小蹄子清朝才有的称呼吧，满人的
绿蛛蛛是老四
马上就换了姿势
一只猪和一蜘蛛的爱情故事
这一段太心疼了
叛逆老四
这个变身最费劲
这个支线最后莫名其妙
"起念断然有爱,留情必然生灾"
不会生女儿的玩意儿
周渝民
呼叫潘虹
一定要把四只手打断！
隼居士影神图里说了，鹤不是老君
"起念断然有爱,留情必然生灾"
游戏真好
md，这是我唯一一个错过的怪，老公鸡杀的太早了
没事，眼前这个大翅膀后面就敲死
好刀的一章，处处都遗憾
家人们，今天被精神操控了，结果照镜子把自己帅醒了、
这句话感觉也是对自己说的，忘不掉
巫山神女
巫山神女瑶姬，王母第二十三女
有刀
第四章出生boss
嫁衣？
他人还怪好的 先礼后兵
他们两个吵架的时候，嬉闹的时候，都是叫孙悟空，弼马温
四妹一直在和老六玩
这不是白晶晶吗？  致敬大话西游吗？
因为大姐软弱
x光
哎，炼颗丹给你尝尝！
只有六妹是亲生的，大姐到五妹都是紫蛛儿姐妹的孩子，她们母亲都被八戒打死了
昴日星官？
瞳瞳！
如果不取符，按照影神图剧情，所有蜘蛛姐妹都会被抓走
开心罐头
白刀子进，红刀子出！
一下子就急了
悔恨交加：指把盘丝洞的虫子们都卖给东天
真俊俏郎君，王灵官的影神图里都明确说了王灵官不如天蓬俊美
闹洞房闹出人命(bushi
大姐怂了，二姐勇得很
借了东西肯定要还啊有问题吗
一阶段小怪，二阶段另一种小怪
开档魔君
老蜘蛛精怎么会有昂日星君的针
绑了个花样 吊起来戏弄
这是四妹给我的嫁妆
巫山是那个蛇女吗
不是，我居然从一张猪脸看到了遗憾不甘？
注意莲子的数量
前面的，昴日星官有资格指挥王灵官？去看看原著王灵官是什么级别
岂止是叔叔，直接叫爹也可以
夫人应该是西王母，说你神仙暗中和下界有勾结
大圣根器
这里剧情过反了吧。
有事大师兄，无事弼马温
太白金星吧
艺术品
濯垢泉没了水，珠儿妹妹也流干了泪 弼马温 如果不是你 他们都不会死
第5张也惨啊。真黑。
根器上面莲子还被抠了一个，不知道是八戒拿的还是猴子拿的
多供养神，仙，佛，祖宗一些饮食 仙佛也是人修成的
怎么想的，他觉得他的同门怎么死的
一股龙门飞甲的感觉
每次看到这结尾动画都会泪目
反差女
二师兄，没想到这么帅
糜道人不想做人了
原著悟空单挑都打不过百眼，拿了又怎样
很怪
原本都是神仙，还有啥生殖隔离
偷吃贡品
猴头菇
伏笔
手好看
小知识，左手被青蛙吃了
第二战他提到回梅山，就是杨戬的手下
“女生”
这哥们影神图写的很明白，是作为学徒卧底在百目身边的，但是因为本来就修炼过，身体体健，结果被百目察觉为了虫卵就神志不清了
梦开始的地方
二姐好看 但是我喜欢四妹
80  80  80
原来只是想要男耕女织，哭死
这一幕当时给我看哭了，谁说恶心，真的好有感觉中式浪漫
太空电梯
因为是罗刹族吧
这是四姐的兰床啊
这里哪里恶心了，这个镜头语言无敌了啊，不用任何台词都能看懂想表达什么
还以为是树桩
