巨人：怎么？在想我的事情？
我重生了，重生在第一次见到王子的那天，上一世。。。这一世我要。。。
魔法大妈
这不得不看了
我已经要笑了
唯一真神
平职出三了，太好了
好好好，又是魔法少女
晋江文啊
声优都是怪物...
稳了
晋江领先十年
女厕所厕纸
地错！好耶
性转后宫鼻祖
看过电视剧版本，确实牛逼
最期待这个
决斗？这下不得不duel了
神1
但是蓝色时期很好看！！要相信原作呀！！
安塞腰鼓2
真神降临！
强的可怕呀
？
这动漫，我的青春在雷姆倒下的时候就结束了，后面根本不看
\
+
必看
我的天夏目！
牛尾诶
团长
不敢看，感觉很催泪
我记得是有电影的
牛逼
好多厕纸
巫师朋克2077
这个好
上年纪了看不得这个
纱织姐姐！
哈哈哈
网王！
别骂了别骂了
警察：我在记，你继续说
难的重制不换声优的海贼网飞重制应该换的
这部真人版给我哭麻了
播片动漫
但是但是，第一集真的很无聊
最喜欢的一集
卧槽！！！！
我靠这个，相当治愈
战姬绝唱还是印度电影番？
前面都挺好，到这就逢魔
这画风好看啊
日本兆很大，美国的兆是百万
我超，窗
重量级
真神
不愧是master
救命，我脑袋要炸了
我嘞个吱吱啊
邪道的展开方式，王道的展开方向。
啊？好久之前听过
日本的兆应该是万亿
等会
画面风格和女主都像汤浅的映像研
啊冲着toki王子音想去看一眼（）
垂死病中惊坐起！
卍解！
这不是异常状态赋予？
赤木茂（）
？
重量级
!!!!!!!!!!!!!!woc
!!!!!!!
马猴烧酒new game（doge）
真人版好看！！！
约尔太太 是吧
这个必须看啊！
进化之实2.0
异域丁真你要笑死我
啊啊啊啊啊啊啊啊啊啊啊啊久等了！！！ ！
6666
我去
你继续说，我在听
东野圭吾的秘密
游戏人生！！！！！！！！！！
原作很顶
？？
35年前山口胜平已经出道了？
回复术士！
没时间怀旧龙傲天了 接下来登场的是 最强话痨！
夏目！
想到那个小说《四十年后的爱人》了
典
蝶野雏 本作塑造的最棒的角色！没有之一！！！
后会有7耶耶耶耶
这个还行
这个超级温暖
一堆厕纸
我是要成为雀魂王的男人
这个有点难评吧
这个真人版是宝冢姐姐演的吧
嗯？马克龙！！！！是你吗！！！
假发的脑内剧场动画化()
哈哈哈哈
唯一真神！
这位更是重量级
百花缭乱
SM
干嘛？这队队长叶修？
有男不看
我先110再说
不是，这作者还是太全面了吧
？什么刀剑第二季？
我靠这个超好看的
嘶…好，好耶？
哦 ff7.0
好
啊？这下不得不看了
这玩意怎么感觉是李狗嗨漫画那集的原型
那个问号真的神
@斗牌传说
越看越看不懂的漫画
接下来转到轻改厕纸系列
？这也能活！？！
诶？
惊现！4能佳百D
卧槽！我看爆！
这个好像有电影？
小时候看过
不是 他们还配得出当年的声线吗
原来起点领先这么久了...
这下不得不看了
已经四年了么。泪目啊。
真想看了
纳尼？
警察:好新的题材，我在记笔录
这个是真想看了
典
画的挺好的
+`
绘、绘里飘？
真神
又伪恋
科幻片
这个是治愈系
厕纸还是一如既往
复活吧我的爱人
画男硬说女？
少战（要素察觉）
bg解来了
非常浪漫的作品
纯爱战士泪目
？？？
骨科 好
岳飞？
人设让我想到了黑执事里的那个女仆姐姐
不是ggo，是ggo外传第二季
？
最后是致郁好吧
女主+两个炮灰
好好好 很多看过的漫画都动画化了
这个居然出了
超现实 但是超现实
伪恋
我小时候好像看过
什么黑礁
暗牧是吧
啊啊啊龟龟
异世界厕纸
?
这个强
塞尔达.王国之泪  Fate：UBW
等等，刚才什么过去了？
不愧是你
卧槽，那我到底在看什么？
原作无敌
这里好像有决斗的气息啊
给我干哪来了
我超这还能出动画
四年？
艾莲.乔
刀剑外传出第二季了？？？
神舞幻想
？
影之韦小宝
地错！
神1！！
逃避可耻但有用…
怎么这么多歪嘴
汗流浃背了
又是典
经典网文套路
典
言灵？
小时候超级喜欢的！！！
这个居然来啦！！！！！！！
典死了
这下不得不看了
白魔:你最好等下别叫我奶你
这个日剧版的小孩子演技超神
这下不得不看了
闹酱！！
啊？！我趣，这部啊
？？？
??? 谁家队伍会踢掉牧师啊 这么勇的吗
来了来了，他来了
我来组成弹幕~~~
所以她俩打招呼了吗
神金
黑馬? 霸權!
卧槽！冰！！
神选(突然激动)
也可以是保镖吧？
老天啊应届毕业生哭了
南通
这个是真神……漫画看哭了
刑啊
刀剑第四季什么时候来捏
唯一真神
吾等前方绝无敌手！
想起肌肉女仆了
卧槽！
原创好评，就该原创
千年血战啊！
他还是忘不了他的蓝色时期
西伯利亚才有压迫感啊，对于日本人来说
！！这部
？
鱼韵！！
6
艾斯爱慕
卧槽我的童年
一上来就给我看这个？
彩加，小町，团子
卧槽，小学战神
说起来死神火影是不是原来就有很多原创集数
在黑船上捡的
女王蜂
龙哥才是龙
三五成群
真神
到法定工作年龄了么
撒旦先生、King：这都能当主角？
说27岁的，人家作者又不是今年才画完的，早画完了
青年向？中二向！
叶秋：确实，不需要牧师
笑死hhhhhhhh
野泽雅子这个年纪，精力太可怕了……
漫画质量高到爆！
旁白组长啊
啊？
憧魔已经成为一种标签了吗？（欣慰）
绝世好姐妹
幻想数学大战gkd
小期待一波
从后会有七到如七而至
空军看看
觉醒前世回忆
真的感動
gb？
虽然人变小了，但是身子一样发光！
白月光回国！
我爱厕纸
卧槽我小i时候真看过
科幻片
我都看腻了，日本那群人没做腻吗？
怎么听着有点像万国志
enmmm
嗝～
很期待
单身男性收养女性条件就是差40年吧
卧槽哈哈哈哈哈哈哈
典中典典中典
不是去奶妈有点离谱了
啊这个题目好熟悉，之前还看了一部那个驯兽师的，一模一样的标题字都不差，我看了这个标题就不想看了
哇！这个漫改啦！
？
剑骨头
中世纪“科普”番
一拳里面的英雄
强者画风
十月阴阳师与夏目联动，欢迎各位抖m来玩
啊？
起立
这个漫画其实还行
好多年前就看过第一集了
巴犁世家张默
我好像活在一个循环里
？1
漫画好看！！！！
迪化
兄弟们买得起房吗就想着结婚？
这个漫画超很好看的！！！！
神金啊
John wick
？？？
全体起立！
神中神
感觉没有漫画那么震撼，希望比预期高吧
ggo还能出？
啊？
啊？
约尔太太就是做饭难吃一些，其他家务还可以的
水门还阴
这个的剧情超级离谱
这个还有点意思
我靠鸭乃桥论？！？！？！！？
哈？
啊？？？？？？！！！！！！！
6
2333333
？？？
？？？
？？？？？？？
？？？？？？？
？？？
挖土豆咯
？？？
冰之女王
我喜欢
？？？
游戏人……
夏目！！！！！！！！！
牛逼
啊？七大罪？
平凡是认真的吗
刀剑神域外传还能出？
我的棍勇2呢？
赤木茂？
什么谁去了初创小公司
喜欢帅姐姐！！！！
想看了
这个原作相当可以啊
《妻子成为小学生》X《狗子成为小蘑菇》√
可以我喜欢
住一起这个好！
卧槽谢斌
网球这出血量能播吗
火龙果宇宙，启动！
地摊文裂痕史观预订
嘿嘿我家白白最帅
身体虽然变小头脑依然灵活，不是
雀魂快联动这个
老版乱马很多露点镜头，新版估计都会避开
蓝色监狱有第二季，青之芦苇没有？
那幻想数学大战什么时候出动画
我去，这个小时候看过
这个爱了
跪求BEASTARS改剧本
JOJO
这设定能探讨得很有深度的
好家伙香开第二季这么快的
番茄女频
什么蜘蛛子剧情
原作是不是消失了后来，还是我记重了
但是是泡面
海藤bgm
也没落了，抄袭别人的也算了，现在连自己的也抄袭
这个居然…
女主好复古的画风
？？？？这个居然也出动画了
我喜欢
给我报笑话呢
我一定要来句，闸瓦  闸瓦 闸瓦
hhhhhh
这不一个苦难之心蹦死他
这是正反馈调节
全体起立！
我及得有个真人版，小学生演的不错
最期待的一集
玩狒狒14玩的
记得有点刀，没坚持到结局。妈妈这辈子的家太恐怖了
《影之无力者》
终于出了
是不是一块面包50万马克呀？
啊啊啊啊啊
好像听说主角幸运值很强，甚至能给队友提升幸运值
啊？四年了？
？？？
十月文艺复兴是吧
叫我好等啊
神经
？？？？
魔理沙救我！！！
扳机？
地错已经沦为路人番了……
呼延觉罗家族的？
啊？？
便当？
这应该是女性向吧？
真人电视剧也超级好看
真神
真好啊，真好啊
我去，小时候看过
真神
先打一拳，然后再把问题问遍
要萎了……
龙哥！
感觉又是好看不火系列
神人
鉴定技能贵族最速第二季？！
悠木碧！
你们不要再打啦！
魔法少女跑外卖（
用谈话的方式治疗这叫话聊
是你，和真？
泄露完了
好多想看的
啊？刀剑？！
？？？？
这个好看
女神之路
阿拉斯加草
啊？重来魔王第二季？！
这不东野圭吾的秘密吗
典，但是爱看
Tiger and bunny
漫画这么惊艳的表现基本不会翻车吧
这个感觉可以诶
对击斗魂（
我的夏目啊！！！！！！！！！！！！！‘
！！！！！
魔夜的bgm！
感觉厕纸已经不止异世界了
很有特色的画风啊。
不会犬夜叉也要重置了吧
才一根？先来个五根加一只耳朵吧
强劲的bgm
110
如果你是龙
求一个幻想数学大战谢谢
刀、刀哥
神金
就知道褒姒，原作是不看的
恶作剧之吻？
这个是真不错
解构
我操谁唱的？？？
卧槽我的童年回忆！
我已经开始笑了
哈哈哈哈哈哈哈哈哈哈哈哈哈
takisensei
我草！出2了！
她经济不可阻挡
黄油？
卧槽
针不戳
日本科幻，褒姒预定
磁力机械
最喜欢恶女了
没有想看的目前
相信是不需要理由的
这下必看了
watergate(
来了来了！
才反应过来是魔夜bgm（）
马场英雄看你干的好事
这封面。。一眼gal
棍勇
我靠我壓箱底的漫畫全動畫化啦？？
回家的诱惑
不是水门还阴啊
泛式精选
ciallo
真不错
香格里拉真神
现在看觉得好无聊
这个好像可以
全场真神降临
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！！！！
晴明
这个看pv已经打咩了
？
这个题材，要不你把元气少女缘结神结局给它做了
也就看看乱马了
我超
唯一真神
这季度的番好多啊...
是你吗，金木
这画风有点老啊，最近在看物语系列，觉得有丁点像
你也是龙，也好
什么金色魔术使中二版……
啊这个太抽象了，说实话能接受的觉得很好看
真神！
啥，三哥打斗都有人学了
这东西还能有第二季？
团子？
我超，网球王子
不够颜艺
奶妈下本很重要好吧，肉才是最没用的
我擦
好耶
考 不 上 就 二 战（）
我去
我靠，怎么不错耶
不如7月
全是构思
晋江打过去了？
啊？
这个老早就看到了，是已经出过了吗？
元气少女缘结神，男版
中国是去非洲，日本就说是去西伯利亚是吧
哇这部！
真实之泪be like
画男硬说女？
啊?
香境，启动！
这不番不太尊重原作者，原作者小西老师希望大家不要觉得黑帮是什么好人，但制作者好像想做什么欢喜冤家，估计悬
?握草
说起这个题材我就想到了小破站的万国志，不错的国漫
青驱！！
快快快，赶紧召唤魔理沙
典
典
《拯救世界全勤奖》
压轴！！！
救命，仿佛进了晋江文学城
甘神impart
这是我见过的最gal的pv
燃爆10月！
羽球少年，篮球少女？
滴滴魔女是吧
天杯龙
这个题材撞了吧
这个居然动漫画了！这漫画可带劲了
听日语说麻将也太搞笑了
信长：我跟跟水濑祈对线真的假的
因為水門篇劇情太少，與其湊不滿24集不如維持第一集長篇的傳統然後8+8
这下不得不看了
我天 这个居然出动画了？高低要去瞅两眼
上钩重拳
35岁会被开除吗
这下一定要看生放送了
典
打本踢奶妈，会不会玩啊
好好好!!!!
安能辨我是雌雄
别想了，现实中老师会丢工作的
等等？？？
似乎这类一般叫“形婚”？
我是英语老师，这就是SM
这集好像看过i（）
艾斯艾慕
过年啦
清羽飞扬男性版
英女王穿越到日本古代繁殖柯基
雀魂玩家狂喜
男版蛇喰梦子？
这个是不是影视剧改
和真是吧
先规培，再考职业魔法少女证
香境启动！
这下看懂了，ciallo
泪流满面
伪恋2.0？
这部虽然评分不高，我还挺喜欢的
？什么棍之勇者成名录？
已经心痒痒的了
啊啊啊啊啊啊啊啊啊啊啊啊啊彻底疯狂彻底疯狂
互攻？
拉格纳好看啊
？
和真
喜欢颠的看这个的漫画没问题，挺好看的，不过前提是你喜欢颠
？奶妈都能踢的啊？
？？？？？？？？？？？
典
gt指日可待
啊，老前辈们都还硬朗吗
卧槽起立
萨斯给
啊？沃日！
为啥改成阿拉斯加？不敢去西伯利亚？
BGM from 银之匙
那这不就是黑礁的罗贝尔特吗？
都还活着？
又来
下一季将在8年后
这个画风不错啊
哟西
re0要来力
哪里的韩漫
这完全就是晋江吧！
真神来了
这漫画是重量级
ciallo
云南的，吃了没熟的菌子
从上往下，工藤新一，灰原哀，世良真纯，柯南，17岁
期待
新GT
这个有真人版吧
我想起一个双女主的漫画
神中神
流汗了
麻将都能出动漫了，电竞啥时候出正经动漫呀
龙哥就是龙 惹啊
这下听懂了
来啦
终于来辣
我超，老东西一个个都打赢复活赛了
好有炉石牧师法术的取名风格
啊？那这算不算伪谷
这个很好看
FF14本分奶现状
????
地动说，不管是剧情，画风还是分镜，都相当难改编成动画，只能说不爆死就谢天谢地了
东野圭吾的秘密我记得是妻子附身到女儿身上吧，有点不一样
这个也动画化了？好看真的
似曾相识啊？
约尔太太为任务扮女仆
千恋万花
雷姆醒了也没戏份
这感觉更像日剧()
乐子番
音乐好az
等等？什么动画化了？？
这年头居然还有GL改
寄
极速车魂好是好 就是漫画也是开放结局5555
啊？下班了不用了不用了
有没有青春留念
new game
？我靠，这个漫画很好看
啊？只会加血有什么不对？
上一个还是被队伍驱逐的驯兽师
先婚后爱
这豪华阵容啊
这就是10霸权，不用争了
9月底有骨王，不过是剧场版
让我有点想起以前看的小说奥术神作了
真神降临
我去 乳龙帝
期待!
为什么日本能做出这种题材
这个好看的
meme
丸辣！！！
啊!!!
厕纸
世界奇妙物语
这就出动画了
地错神中神
啊？
！男梁
卧槽！
wc
woc
30多年了
缘结genshin家
修罗牌浪！
《你逆天》  《你也逆天》
终于来了
这下不得不看了
地狼
6
卧槽，data千变万化
《听爸爸的话》
厚，又是晋江早就写烂的梗，咱晋江真全面
国乙Only男勿进COSPLAY组是吧
这个真神吧？
广末凉子那部电影？
羽球人狂喜！
？
真的要结婚吗？
不行，男主太拉了
你们是正经推理番吗喂（
鱼丰
鱼f
真神降临！！！
画风一看就有内味了
我看过
鱼韵哇！
我去！
woc
擦不完，根本擦不完
理性的人，从不感性用事，这是他的悲剧，也是他的浪漫。
我感觉我咋好像看过
强烈推荐看漫画，真的超级浪漫的科学史诗
真神
我焯网王
太伟大了哈耶克
服了
这剑斗不错吧
拉格纳虽然穷，但演出牛壁
我就说总感觉有印象，原来有原作和真人版
我们羽球人有自己的恋爱番
童年!
Ciallo～(∠◠ڼ◠)⌒☆
鬼神童子什么时候重置
大叔怎么你了（
找凉宫
量大管饱
GGO 天下第一期待
？
已经四年了啊
火龙果！！！！！！！！！！
神
后会有7
哈哈，没意思下一个
神
其实这个还行
好！！！
？？？？？？
又是我追过漫画的，好多喜欢的动画化呀下个月
开幕雷击
诶？！这本竟然动画化了（漫画都没有汉化了…
钓鱼佬边钓边看
别说了别说了
安塞腰鼓第二季
这本我追漫画好久了！！
真神！！！！
这下听懂了
这个电影超好看
要是吃药不用回合？？？那只会加血的牧师的确没用了
竹鱼：？
如果你是龙，也好
芳乃+丛雨+茉子
牛逼，这个
真神
漫画超好看 而且作画 分镜简直强爆了
可以一看
龙幸神！！！！
不知所谓！
king转世
黑暗决斗（）
狗卷？
这能动画化啊
是你！闪光的勇者——正幸
《平凡职业》
赌神
安塞腰鼓第二季
？
？好家伙
憧憬什么？
格子牙～～天修！！！
稳辣
？
男主声优不是大老师我不能接受
平凡职业！
制作感觉一般啊
安塞腰鼓！第二季！
啊？这个还有续作吗！
？
什么新编集
典中典
啊？？？
无敌
帅的都是女生哦
推子开创的盛世（确信
这个老好看了，后面纯爱死我了
我的精灵幻想记啊啊啊啊啊啊啊啊啊啊啊啊啊啊
典
当搭当！！！
越来越抽象了
你是龙，也好
这个有意思
香格里拉可以
好好好
你好水濑祈前辈(超大声！！！)
好好好
卧槽
我去？
草
典
？？？
...
666
我真是嗨到不行了——————
？？
哦呼
啊啊？？？
又来了
？
6
卧槽，鱼韵！
？
卧槽，叔！
我的童年！现在都还有去雨林找解药的故事
有啥已经可以看了？？
抽象
？
刮刮乐是吧
我了个去
沃趣
我超冰
叶修！
鱼味溢出来了
好看
鱼味
今夕是何年？
那不更好！
沃趣re0
？
？
但是制作很雷啊
必看
必看
反正就是一个信科学，一个信玄学呗！
wocao
ggo外传还能出是没想到的
？？
？
早苗
芜湖！恶役赛高耶比耶比！！！
这个好看
？
玲珑不是国创吗，平常不在这里讲吧
包饺砸！
就喜欢惊悚
啊？
这不是“在下求搞吗”？
听着我就忍不住哈哈哈
魔夜bgm!!
真P必看了
？
gt正统续作()
我的回复术士重启人生第二季呢？？？
我靠这个作画和画风，必看
是不是有部电影也是这个剧情
这里bgm是什么好熟悉！
厉害
蓝铜监狱
画男硬说女和画女硬说男选一个吧
这个真的巨好笑
火之神神乐？
真的吃不下了（
乱马对峙龙珠，怎么回到了之前那个时代
我是火之z
宝冢是吧
感觉还蛮时髦的
奥尔斯帝德
好
地错！
？？？这也动画化了
真的很像青之驱魔师
ciallo
不得不看了
蓝箱！
哈哈哈
刀剑神域 本传啥时候出呀
稳啦
6
言叶之庭？
啊啊啊！！！剧透了！！！
6
哦豁，鉴定第二季，好耶
我居然看过这个漫画
神
？？？
这下听懂了
奶妈不加血加什么啊
话疗？
这下不得不看了
坏了，我成魔法少女了
伪恋？
ccccc
神作
有点无聊的反差，这类太多了
纳塔
提示一下，这个老师叫安倍晴明
呱！我不要看这个呀！
群贤毕至
哎
啊？商战？嘶——
有点意思
水门:我来晚了吗？
形
终于动画了
真神降临
美术看起来不错
这个题材看着就催泪
？
啊啊啊啊啊
？
相信是不需要理由的
菜狗
啊？神知？
我靠啊
卧槽
哈哈哈哈哈
平成的怪物
？
你说的对 但是二十年了小林立还没画完天麻
伪恋？
？？？
来了来了，我的死神！！
Meme演的哎
好看的！
yozusoft，启动！
什么晋江
好耶
猎犬是吧
厕纸
复活吧，额滴爱人！
不找个对象活不下去是吧
神仙大战
我超ggo
一般名字太长的异世界题材基本都是厕纸...
我靠，终于重制了，我等了好久
？
感觉会寄啊…大家别报太大期望
声优都是怪物
救命啊
哈哈哈哈踢治疗嚯哈哈哈哈哈哈哈
什么选购
好像在小壆的时候看过漫画！！！
爷的童年回来了
这个好看！！
哈哈哈哈哈哈哈
动物狂想曲居然还有得出，必看
我在等唯一真神——魔圆
厕纸听困了
彬之K 吗  哈哈哈
科幻
千年血战
？？
彼女 彼女 彼女
啊？
我放一个魔理沙在这什么都不说
可是，97年的已经27了
神龟！
开始啦水门要打的狠死了
笑了
青箱真神！！！！！
地狼
青箱
十六夜咲夜（）
声音，姓都佐助
死神无敌
契约之吻？
谁还记得万国志啊
纳兹米
我草这个题材真值得一看吧
m
芜湖起飞
啥时候听到这音乐可以不笑啊
我的蓝色时期 明明漫画那么好看
？
感觉跟东野圭吾的《秘密》有点像
同居的粘液
神中神
这下不得不看辣
我要再提一遍，这个给我感觉真的像东野圭吾的《秘密》
那么月刊少女野崎君的第二季什么时候会端上来呢
金玉良缘
稳啦
好好听的bgm
这个冥土...他...他像青蛙吗（）
我滴个乖乖，青之驱魔师和网球王子也来了
这个是真不错
看蓝锁的这辈子真有了
啊！
偷腥猫！
哈哈哈哈哈哈哈哈
好好好
这个更是重量级
典
这个可以有！
这个有点意思
wdf？？？？？这个漫画我超级喜欢
！！！
为啥觉得这个不错
求你了beastars，op或者让yoasobi来负责一个吧
蚌埠住了
这个漫画超级无敌好看！！！
我去，童年啊
神作！！真神！！
DDDDDDDDDV
这么多第二季，为啥没有波奇第二季
这部原作漫画好看
不是哥们？奶妈都踢？
看过漫画版可感人
刚看完电视剧版
我嘞个雷
突然激动
还可以
神！！！！！！！
幻视东海帝王
来啦！
义妹生活plus
这么多厕纸
厕纸太多了
？？？
这个有真人版，很好看。
服装像盾勇
我去yyky（
沃日！！！
这下不得不看了
要结婚？太好了，那就一起派去出差吧
放一起能好看吗
有点斩服那味了
不如太平天书
啊？
谁还我蓝色时期。。。
这么有实力那不能不看了
张老八
草
？刚刚什么过去了？
这个真人版超感人的
败犬
还是小鞠写的
艾达祝你身体健康
蓝箱
啊？
害怕
好耶
终于！！！！！！
这下不得不看了
新一变小哀??
乱马太经典了，可惜只出了168集  没完结
啊啊啊乱马 我的童年回忆
泽野，那基本上高开低走了（doge）
太爽了...这么多老东西
二柱子又行了
这个好看！
哦，其他时候最多踢一个dps或者辅助，这下奶妈都不要了？
神
？
蛙趣
我靠科学实验王
不是，恶役流最近是不是太泛滥了
互 攻
更典了
啊这
好多第二季 追不完了
必看治愈番
懂了 是老千生涯影视化
最近霓虹的恋爱番真的超多晋江梗
怎么感觉这季度新番画风都不咋样
典中典
斩服少女
呼叫初夏
DATE大佬上岸了？
你是龙，也好
鸭鸭越看越好看
啊啊啊啊啊啊啊必看来了
海腾会永远存在与大伙的心中
神
可以去听一听大风关于这个漫画写的歌
这个是真后宫哦
艹，果然是轨迹
神知漫画结局意难平
鸟山明老爷子！！！
今夕是何年
同居的粘液（doge）
相爱相杀（）
淡淡物语
比七月牛
好
千早爱音
突然掀棺而起
憧魔！！！！！！！淦！！！
啊啊啊啊啊啊啊啊啊
香境，启动！！！
后回有七啊！！！！！！
神之十月，爷的青春回来了
houhuiyi
好好好
真多啊，，，
[ohhhhhhhhhhhhhhhhh]
魔！理！沙！何时来！！！
少女漫画风
马克龙日本版
今昔是何年
后会有七！！！
一下子回到小学了
来啦，等了好久！！！！
？？？？？？？？？？？
我想要憧魔
为了道馆想象力还挺丰富
漫画给我看哭了
这位更是重量级
啊？？？
这个是好东西
全是石
这个10月的原创怎么那么多恋爱番？
不管怎么说，先插一个！肌肉雾雨魔理沙！肌肉魔理沙：晚上好啊，各位，我嗅到了寿命论的气息，真的是被看扁了呢。爱的力量，是无限的！
来了吗
罗刹？
哇哦很不错的样子
?????
好
撒斯噶joker
一转寿命论
特别慢
？？？？？？？？？？？？
变回去！
卧槽
有个韩漫bl也是这个题材
牛尾大佬是为乒乓配乐的
黑发蓝眼再添新人（
蓝色饭圈
才8集？？
我闻到了ctrl c ctrl v的味道
终于来个好看的
敢搞《秘密》那种似人结局我包寄刀片
一眼幼儿向啊龙珠
鸟山明老师最后的波纹
新作不行啊
这不king吗
坏了，我明年毕业
？？？
你是龙，也好
出周边：男主的蛋蛋
熊熊帮忙团
最后的台词
这个画风。。。
我去 鱼韵
草，我听成了崇祯大小姐
反暗影大人？
海腾处刑曲
狒狒拾肆（
院子里长出蘑菇云，故事讲的是一位住在广岛的男主……
谁配乐？完了
兄弟，来抓攘夷派
为什么是最后呢。。因为鸟叔走了啊。。
有日剧
这个有人真人剧
不如去年十月
啊啊啊啊啊啊啊啊啊啊啊啊啊
关原合战属于是
赛博坦寄生兽
看看我浪宝的修罗牌浪！！！！
伪恋？
那小孩子原先的家庭呢，不管了吗
卧槽冻牌出动画了？？？？？？？
QB已经成为日常烧烤材料的世界
变回去
咋全是恋爱。。。。
暗影得等明年
这个电视剧还可以
行 动 战 士
全体起立
蓝箱啊
安塞腰鼓第二季
事实上已经出了好几话了
配音室最危险的一集
太炫酷了
啊？超级飞侠？
狂狮唐导！！！
re0
6
我去。大姐头来了！
男A女免，然后没有男的来
奶妈如果还要会别的，那还要你干什么？
啊？小野贤章？
真神
kj.
卧槽，冲
“不要牧师”
好晋江
啊？？内山昂辉？？这下不得不看了
那不会听起来老吗
这个还行
啊？霸权预订
真神！
夜鹿！！！！！！
全体起立！
警察：你继续说，我在听
我嘞个晋江季度
